Cross sections and quantum yields (0 pressure and estimates for 1 atm)
for pivaldehyde from the book of Calvert et al. (2011):
The Mechanisms of Atmospheric Oxidation of the Oxygenates,
Oxford University Press, 2011.
and Calvert et al. (2006):
Mechanisms of Atmospheric Oxidation of the Alkanes, Final Report CRC Project A-58.

λ/nm	σ/1E-20 cm2	Φ1(0atm)	Φ1(1atm)
280	3.90	0.18	0.10
281	3.92	0.21	0.11
282	3.94	0.24	0.12
283	3.95	0.27	0.13
284	3.98	0.30	0.14
285	4.00	0.33	0.15
286	4.02	0.36	0.16
287	4.06	0.38	0.17
288	4.05	0.41	0.18
289	4.13	0.44	0.19
290	4.16	0.46	0.19
291	4.21	0.48	0.19
292	4.24	0.51	0.19
293	4.26	0.53	0.19
294	4.27	0.55	0.20
295	4.26	0.57	0.21
296	4.22	0.59	0.23
297	4.16	0.61	0.25
298	4.08	0.63	0.27
299	4.01	0.67	0.29
300	3.95	0.70	0.30
301	3.91	0.75	0.31
302	3.87	0.81	0.31
303	3.85	0.87	0.30
304	3.81	0.90	0.30
305	3.75	0.92	0.29
306	3.66	0.91	0.29
307	3.54	0.87	0.29
308	3.40	0.83	0.29
309	3.27	0.81	0.29
310	3.13	0.79	0.30
311	3.01	0.81	0.31
312	2.90	0.84	0.32
313	2.80	0.88	0.33
314	2.68	0.91	0.34
315	2.57	0.92	0.34
316	2.43	0.90	0.34
317	2.27	0.84	0.34
318	2.10	0.79	0.32
319	1.95	0.74	0.33
320	1.78	0.70	0.33
321	1.64	0.69	0.34
322	1.48	0.70	0.34
323	1.35	0.71	0.35
324	1.23	0.73	0.36
325	1.09	0.74	0.37
326	0.97	0.74	0.37
327	0.87	0.72	0.37
328	0.76	0.70	0.37
329	0.66	0.68	0.37
330	0.56	0.66	0.37
331	0.45	0.60	0.32
332	0.37	0.52	0.29
333	0.28	0.45	0.25
334	0.19	0.40	0.22
335	0.08	0.33	0.18
336	0	0.27	0.15
337	0	0.20	0.11
338	0	0.14	0.08
339	0	0.07	0.03
340	0	0	0


       335  3.58E-21      0.66
       340  1.87E-21      0.66
       345  9.05E-22      0.66
       350  4.08E-22      0.66
       355  1.71E-22      0.66
       360  6.63E-23      0.66
       365  2.40E-23      0.66
       370  8.03E-24      0.66
       375  2.50E-24      0.66
       380  7.24E-25      0.66
       385  1.95E-25      0.66
       390  4.86E-26      0.66
