Cross sections and quantum yields for cyclopropanone photolysis
from the book of Calvert et al. (2011):
The Mechanisms of Atmospheric Oxidation of the Oxygenates,
Oxford University Press, 2011.
and Calvert et al. (2006):
Mechanisms of Atmospheric Oxidation of the Alkanes, Final Report CRC Project A-58.
original data from Thomas and Rodriguez, J Am Chem Soc 93, 5918-5920, 1971.

λ/nm	σ/1E-20 cm2	Φ1
278	1.80	1.00
279	2.02	1.00
280	2.29	1.00
281	2.48	1.00
282	2.67	1.00
283	2.79	1.00
284	2.94	1.00
285	3.02	1.00
286	3.13	1.00
287	3.29	1.00
289	3.55	1.00
290	3.82	1.00
291	4.28	0.99
292	4.39	0.98
293	4.48	0.96
294	4.55	0.94
295	4.78	0.92
296	5.04	0.90
297	5.23	0.89
298	5.46	0.87
299	5.54	0.86
300	5.62	0.85
301	5.67	0.83
302	5.73	0.82
303	5.84	0.81
304	5.96	0.79
305	6.11	0.78
306	6.22	0.78
307	6.26	0.76
308	6.20	0.76
309	6.17	0.75
310	6.30	0.74
311	6.42	0.73
312	6.46	0.72
313	6.46	0.72
314	6.34	0.71
315	6.25	0.71
316	6.21	0.70
317	6.07	0.69
318	6.04	0.69
319	5.98	0.68
320	5.88	0.68
321	5.71	0.67
322	5.54	0.67
323	5.36	0.67
324	5.18	0.66
325	5.12	0.66
326	5.04	0.66
327	4.97	0.65
328	4.91	0.65
329	4.85	0.65
330	4.81	0.65
331	4.78	0.65
332	4.73	0.64
333	4.70	0.64
334	4.67	0.64
335	4.64	0.64
336	4.60	0.64
337	4.55	0.64
338	4.45	0.64
339	4.35	0.64
340	4.20	0.64
341	3.97	0.63
342	3.82	0.63
343	3.67	0.63
344	3.51	0.63
345	3.40	0.63
346	3.24	0.63
347	3.07	0.63
348	2.90	0.63
349	2.74	0.63
350	2.58	0.63
351	2.42	0.63
352	2.25	0.63
353	2.18	0.63
354	2.06	0.63
355	1.87	0.62
356	1.80	0.62
357	1.72	0.62
358	1.57	0.62
359	1.49	0.61
360	1.41	0.61
361	1.32	0.61
362	1.22	0.61
363	1.13	0.60
364	1.05	0.60
365	0.97	0.60
366	0.86	0.59
367	0.83	0.58
368	0.80	0.57
369	0.73	0.57
370	0.69	0.56
371	0.65	0.55
372	0.59	0.54
373	0.55	0.53
374	0.50	0.52
375	0.48	0.51
376	0.46	0.49
377	0.44	0.47
378	0.40	0.46
379	0.33	0.44
380	0.32	0.42
381	0.32	0.36
382	0.32	0.32
383	0.31	0.13
384	0.31	0
385	0.31	0
386	0.30	0
387	0.29	0
388	0.28	0
389	0.28	0
390	0.27	0
391	0.26	0
392	0.26	0
393	0.26	0
394	0.25	0
395	0.25	0
396	0.24	0
397	0.24	0
398	0.24	0
399	0.23	0
400	0.23	0
