,Unnamed: 0,A dataframe generated file,Unnamed: 1,CVNOX_CapeVerde
0,0,,,
1,1,Index,Species,CVNOX_CapeVerde
2,2,ii,TIME,432000
3,3,ii,TEMP,298
4,4,ii,LAT,16.5
5,5,ii,LON,23.4
6,6,ii,JDAY,173.5
7,7,ii,H2O,0.02
8,9,ii,PRESS,1013
9,13,s,SPINUP,1e99
10,14,O3,O3,3.610526e-08
11,16,NO,NO,8.439533e-13
12,17,NO2,NO2,0.003693765
13,21,C2H6,C2H6,3.280932e-10
14,22,C2H4,C2H4,2.092983e-11
15,23,C3H8,C3H8,2.050237e-09
16,24,C3H6,C3H6,6.235611e-11
17,25,IC4H10,IC4H10,0.3094878
18,26,NC4H10,NC4H10,1.940849
19,27,C2H2,C2H2,6198941000000000.0
20,30,IC5H12,IC5H12,126313100000000.0
21,31,NC5H12,NC5H12,1156.33
22,37,BENZENE,BENZENE,4.526491e-05
23,39,TOLUENE,TOLUENE,1.040541e-10
