Description: Optional,Do not write time more than once. ,,
,,,
Index,Species,Constrain,Edw14
ii,TIME,NA,518400.
ii,TEMP,0,26824.
ii,LAT,0,40.135
ii,LON,0,-109.47
ii,JDAY,0,31.292
ii,H2O,1,0.0034808
ii,O3COL,1,350.
ii,ALBEDO,1,0.85
ii,PRESS,0,846.
ii,FEMISS,1,1
ii,DEPOS,0,0
   1,NO2,0,2.00E-09
   2,O3,0,4.50E-08
   3,CO,1,1.83E-07
   5,XJO1D,1,1.42E-05
   6,XJNO2,1,1.19E-02
   7,C2H6,0,5.00E-08
   8,C2H4,0,8.00E-10
   9,C2H2,0,2.50E-10
  11,C3H6,0,1.00E-10
  12,IC4H10,0,5.00E-09
  14,HCHO,0,1.00E-09
  15,IC5H12,0,5.00E-09
  16,NC5H12,0,5.00E-09
  17,NEOP,0,5.00E-11
  18,NC6H14,0,2.00E-09
  19,M22C4,0,1.00E-10
  20,XM2PE,0,9.06E-10
  21,M3PE,0,5.00E-09
  22,NC7H16,0,1.00E-09
  23,XNC8H18,0,9.20E-10
  24,XNC10H22,0,1.31E-10
  25,XNC9H20,0,2.96E-10
  26,XNC11H24,0,7.52E-11
  27,CHEX,0,7.00E-09
  28,TM123B,0,1.00E-11
  30,TOLUENE,0,1.00E-09
  31,OXYL,0,5.00E-11
  32,MXYL,0,1.00E-10
  33,EBENZ,0,5.00E-11
  34,XSTYRENE,1,6.44E-14
  35,TM124B,0,3.00E-11
  36,TM135B,0,2.00E-11
  37,IPBENZ,0,4.00E-12
  38,PBENZ,0,5.00E-12
  39,OETHTOL,0,4.00E-12
  40,METHTOL,0,2.00E-11
  41,CH3CHO,0,5.00E-10
  42,XC2H5CHO,0,1.19E-10
  43,XC3H7CHO,0,2.34E-11
  44,XBENZAL,1,1.20E-11
  45,CH3OH,0,2.18E-08
  46,XC2H5OH,0,3.17E-10
  47,XCH3COCH3,0,8.39E-10
  48,MEK,0,2.29E-10
  49,XC5H8,1,8.68E-13
  50,XMACR,0,8.57E-12
  51,XMVK,0,7.79E-12
  52,XNO,0,1.00E-09
  53,XMAGIC,0,1.00E-09
  54,HNO3,0,1.00E-09
  55,FORMSRC,1,9.70E-10
  56,XHONOSRC,0,4.50E-11
  57,DIME35EB,0,8.05E-11
  58,DIET35TOL,0,2.75E-11
  59,CH4,0,3.00E-06
  60,BENZENE,0,5.00E-10
  61,C3H8,0,2.00E-08
  62,NC4H10,0,1.00E-08
  88,PAN,0,4.00E-10
  89,PPN,0,5.00E-11
  90,XNOSCAV,0,1.00E-09
  91,XNO2SCAV,0,3.00E-08
  93,NO3,0,1.00E-12
  94,N2O5,0,1.00E-10
  95,CLNO2,0,1.70E-10
  96,ACRPAN,0,1.00E-11
  97,XM,0,1.00E+00
  98,XJNO2FACT,0,2.83E-20
  99,XJO1DFACT,0,2.20E-20
 100,XRO2,0,2.68E-13
 101,XDIME35EBEMIS,0,0.00E+00
 102,XDIET35TOLEMI,0,0.00E+00
 104,XDUMMY,0,2.89E-08
 105,XSO3,0,0.00E+00
 106,H,0,0.00E+00
 107,XO2,0,0.00E+00
 108,XMAGIC,0,0.00E+00
 109,XA,0,0.00E+00
 111,XHONOSRC,0,0.00E+00
 112,XNOSCAV,0,0.00E+00
 113,XNO2SCAV,0,0.00E+00
 114,C51OH,0,8.18E-16
 115,HO2CO3C4O,0,0.00E+00
 116,C5CO24O,0,0.00E+00
 117,XO1D,0,0.00E+00
 118,HSO3,0,0.00E+00
 119,XSURF,0,0.00E+00
 120,PTLQO,0,3.46E-26
 121,PMALANHY,0,3.40E-16
 122,TM124OLOH,0,4.51E-17
 123,DMEPHOLOH,0,8.77E-17
 124,METLBPR2OH,0,1.85E-16
 125,NC4IPDCO2,0,2.54E-28
 126,MXYOLOH,0,1.51E-15
 127,MXYQOH,0,4.17E-18
 128,PMALNHY2OH,0,7.00E-23
 129,CHOC4O,0,1.31E-27
 130,TMB2FUOH,0,2.32E-18
 131,MEBFUOH,0,2.57E-16
 132,MXYFUOH,0,2.27E-16
 133,CO3C75O,0,2.17E-25
 134,CHOC4OHO,0,1.91E-26
 135,CYC6DIONO,0,5.01E-32
 136,TMB1FUOH,0,1.53E-17
 137,EBENZOLOH,0,1.72E-16
 138,TM124BP2OH,0,8.34E-17
 139,OETLBPR2OH,0,3.65E-18
 140,C24O3CCO2H,0,3.28E-13
 141,PXYFUOH,0,1.61E-16
 142,MC6OTKETOH,0,1.58E-18
 143,TM123OLOH,0,1.28E-17
 144,IPBENZOLOH,0,1.12E-17
 145,DMMALYOH,0,1.66E-19
 146,OETLQO,0,2.91E-28
 147,OXYFUOH,0,6.08E-18
 148,DEMPHOLOH,0,4.67E-17
 149,M3PECOH,0,4.16E-16
 150,NC4DCO2,0,1.77E-26
 151,METLQO,0,1.81E-27
 152,DMEBPR2OH,0,1.78E-15
 153,NC4MDCO2,0,1.13E-25
 154,TM124QO,0,1.43E-27
 155,CH3O2NO2,0,3.16E-12
 156,PHIC3OH,0,4.86E-20
 157,TM124QOH,0,2.06E-19
 158,IPRBQO,0,1.31E-28
 159,PHENOH,0,5.04E-17
 160,C6145COO,0,1.08E-32
