A continuation ics file,,,
,,,
Index,Species,Constrain,base
ii,TIME,0,432000
continue,TEMP,0,298.0
continue,LAT,0,53.95799999999999
continue,LON,0,0.0
ii,JDAY,0,173.5
continue,H2O,0,8.12280601568647e-22
ii,ALBEDO,0,0
continue,PRESS,0,4.1142012469451974e-17
ii,NOx,0,0
ii,DEPOS,1,0
ii,FEMISS,1,0
continue,SPINUP,0,6.632108655687689e-13
<<<<<<< HEAD
=======
continue,JO1D,0,0.0
continue,JNO2,0,0.0
continue,J1,0,1.6642170321992582e-24
>>>>>>> 627465599f3470471195f52354ed1306354027f3
continue,O1D,0,1.1931478717315373e-21
continue,CH3O2NO2,0,1.3723895147495836e-33
continue,H2O2,0,6.26275234571943e-52
continue,N2O5,0,1.1747982691259382e-13
continue,C2H6,0,1.9452092982263924e-10
continue,CH3CO2H,0,4.4421068339016666e-55
continue,CH3OH,0,6.301150003212568e-54
continue,CH4,0,1.7700000398690467e-06
continue,ETHGLY,0,8.734669577185542e-102
continue,H2,0,4.86302324556598e-07
continue,HOC2H4CO2H,0,5.925239127328228e-101
continue,HOC3H6OH,0,4.524434227082903e-102
<<<<<<< HEAD
continue,HONO,0,7.671993320344614e-30
=======
>>>>>>> 627465599f3470471195f52354ed1306354027f3
continue,PROPACID,0,6.250518253346748e-55
continue,C3H8,0,1.945209298226392e-09
continue,IPROPOL,0,1.057299263957589e-56
continue,ETHOHNO3,0,4.43911219357018e-79
continue,HCOCO2H,0,5.010162790255643e-105
continue,HO2NO2,0,2.488003810841965e-32
continue,HOC2H4CO3H,0,7.788329980046143e-101
continue,HOCH2CO2H,0,8.19648012470769e-101
continue,PERPROACID,0,8.57356024012772e-55
continue,PROLNO3,0,5.139854219978778e-79
continue,PROPOLNO3,0,2.8755769640401604e-77
continue,CH3CO3H,0,6.336873731888176e-55
continue,CH3O,0,2.678142459059616e-37
continue,HO1C3O,0,1.139759719860011e-85
continue,C2H5OH,0,1.6269407803502803e-56
continue,IC3H7O,0,9.63908351718748e-39
continue,NC3H7O,0,2.2174137568710798e-39
continue,NPROPOL,0,6.3458303805202225e-56
continue,CH3COCH2O,0,3.146325889973239e-61
continue,HCOCO,0,2.580081194641447e-93
continue,HCOCO3H,0,1.2423365162518635e-103
continue,HO1C3NO3,0,3.1987597612998862e-78
continue,CH3NO3,0,1.074039635889797e-31
continue,HO1C3OOH,0,1.139700502083807e-99
continue,C2H5NO3,0,1.1472432362299539e-32
continue,C2H5O,0,7.548569454827737e-40
continue,HOCH2CH2O,0,8.703152547947246e-87
continue,HOCH2CO3H,0,1.0756479972923719e-100
continue,C2H5OOH,0,4.7739207361404155e-54
continue,HYPROPO,0,4.125607219339466e-85
continue,IC3H7NO3,0,3.2865062201638134e-31
continue,IC3H7OOH,0,4.4285399960780275e-53
continue,IPROPOLO,0,9.177954336867649e-88
continue,IPROPOLPER,0,2.373990786629329e-123
continue,NC3H7NO3,0,5.560863322761161e-32
continue,NC3H7OOH,0,1.5312485166103962e-53
continue,CH3OOH,0,3.359478457831371e-52
continue,HCOCH2O,0,1.886739768485707e-61
continue,PROPGLY,0,5.1505449264528724e-101
continue,C3PAN1,0,1.9021646554178408e-81
continue,HYETHO2H,0,6.072836969371103e-100
continue,HYPERACET,0,4.208031792847284e-74
continue,IPROPOLPAN,0,4.291054513560833e-104
continue,PAN,0,6.804028373962937e-33
continue,PHAN,0,2.8690189158227375e-81
continue,PPN,0,1.5199775908663222e-32
continue,HYPROPO2H,0,8.014084209732552e-99
continue,IPROPOLO2H,0,3.6607198223402447e-100
continue,HCOCH2OOH,0,2.7618176181725435e-74
continue,CH3COCH3,0,7.639237860036251e-30
continue,MGLYOX,0,4.3392864705704345e-76
continue,O,0,9.196026047421106e-16
continue,HO1C3O2,0,4.421784360601314e-81
continue,NC3H7O2,0,1.0031494038549672e-34
continue,HOC2H4CHO,0,1.0741224164620222e-76
continue,C2H5CHO,0,1.769161271370059e-30
continue,C2H5O2,0,2.53518521480553e-35
continue,GLYOX,0,1.5874014959574127e-76
continue,HNO3,0,2.4210203202162514e-28
continue,HYPROPO2,0,3.1092863575969312e-80
continue,CH3CHOHCHO,0,2.784997904366992e-99
continue,IC3H7O2,0,2.9046928926964494e-34
continue,CH3COCH2O2,0,2.5441609452492183e-55
continue,CO,0,1.9452092982263899e-07
continue,ACETOL,0,1.4268823456299516e-75
continue,IPROPOLO2,0,1.4211964182163189e-81
continue,CH3CHOHCO3,0,8.115178495843073e-108
continue,C2H5CO3,0,5.357715826954907e-37
continue,CH3CHO,0,1.0730078365758296e-30
<<<<<<< HEAD
continue,CH3O2,0,2.5206534150227982e-33
=======
>>>>>>> 627465599f3470471195f52354ed1306354027f3
continue,CH3CO3,0,3.1831664400559095e-36
continue,HCHO,0,3.4542731912791205e-29
continue,HCOCH2O2,0,1.525642860738819e-55
continue,HOCH2CO3,0,5.488394325061013e-85
continue,HCOCO3,0,8.494124966351647e-87
continue,O3,0,2.3540739274318884e-08
continue,HOC2H4CO3,0,3.398667571494402e-85
continue,HOCH2CH2O2,0,1.5940285326663479e-81
<<<<<<< HEAD
continue,NO,0,10.558016039688154e-09
continue,NO3,0,3.0444744645757415e-14
continue,HO2,0,1.483294348064012e-32
continue,OH,0,9.548431407823738e-33
continue,HOCH2CHO,0,4.590144434049839e-76
continue,NO2,0,10.626683935907155e-09
=======
continue,NO3,0,3.0444744645757415e-14
continue,HOCH2CHO,0,4.590144434049839e-76
>>>>>>> 627465599f3470471195f52354ed1306354027f3
