,,,,,
,,,,,
Index,Species,Constrain,base,spin_1,spin_2
ii,TIME,0,1036800,1036800,1036800
ii,TEMP,0,298,298,298
ii,LAT,0,51.5,51.5,51.5
ii,LON,0,0.1,0.1,0.1
ii,JDAY,0,173.5,173.5,173.5
ii,H2O,0,0.02,0.02,0.02
ii,ALBEDO,0,0,0,0
ii,PRESS,0,1013,1013,1013
ii,NOx,0,0,0,0
ii,DEPOS,1,0,0,0
ii,FEMISS,1,0,0,0
ii,H2,0,0.0000005,0.0000005,0.0000005
ii,NO,0,0.00000001,0.00000001,0.00000001
ii,NO2,0,0,0,0
ii,O3,0,0.00000004,0.00000004,0.00000004
ii,CH4,0,0.00000002,0.00000002,0.00000002
ii,OH,0,1e-6,1e-6,1e-6
s,SPINUP,0,1e99,3.0,4.0
