Description: Optional,Do not write time more than once. ,,
,,,
Index,Species,Constrain,Borneo
ii,TIME,NA,432000
ii,TEMP,0,298
ii,LAT,0,0.9619
ii,LON,0,114.5548
ii,JDAY,0,180
ii,H2O,0,0.021
ii,ALBEDO,0,0.1
ii,PRESS,0,1013.25
ii,NOx,0,0
ii,DEPOS,0,0
ii,FEMISS,0,0
ii,CH4,0,0.00000118
ii,H2,0,0.0000005
O3,O3,0,1.45E-008
NO2,NO2,0,2.9E-009
CO,CO,0,0.000000145
C5H8,ISOP,0,0.000000004
APINENE *lumped,XMTPA,0,2E-010
XLIMONENE,XLIMONENE,0,1.6E-010
ethane,C2H6,0,9E-010
propane,C3H8,0,3.5E-010
nbutane*,ALK4,0,1E-010
Npentane* added to alk4 – order of mag smaller therefore no diff,XX,0,0
ethene,XC2H4,0,5E-010
propene,PRPE,0,1.4E-010
acetylene,XC2H2,0,4.2E-010
