Description: Optional,Do not write time more than once. ,,
,,,
Index,Species,Constrain,Borneo
ii,TIME,NA,432000
ii,TEMP,0,298
ii,LAT,0,0.9619
ii,LON,0,114.5548
ii,JDAY,0,180
ii,H2O,0,0.021
ii,ALBEDO,0,0.1
ii,PRESS,0,1013.25
ii,NOx,0,0
ii,DEPOS,0,0
ii,FEMISS,0,0
ii,H2,0,0.0000005
ii,CH4,0,1.18E-006
ii,CO,0,1.00E-007
,O3,0,1.45E-08
,NO2,0,2.90E-09
,CO,0,1.45E-07
,C5H8,0,4.00E-09
,APINENE,0,2.00E-10
,LIMONENE,0,1.60E-10
ethane,C2H6,0,9.00E-10
propane,C3H8,0,3.50E-10
nbutane,NC4H10,0,1.00E-10
npentane,NC5H12,0,3.50E-11
ethene,C2H4,0,5.00E-10
propene,C3H6,0,1.40E-10
acetylene,C2H2,0,4.20E-10
