A dataframe generated file,Unnamed: 1,Unnamed: 2,borneo~BukitAtur_Sabah_Borneo
,,,
Index,Species,Constrain,borneo~BukitAtur_Sabah_Borneo
ii,TIME,0,432000
ii,TEMP,0,298
ii,LAT,0,0.9
ii,LON,0,114.5
ii,JDAY,0,173.5
ii,H2O,0,0.02
ii,PRESS,0,1013
s,SPINUP,0,1e99
O3,O3,0,4.694461e-12
CO,CO,0,7.780181e-09
NO,NO,0,8.319429e-09
NO2,NO2,0,1.275092e-15
C2H6,C2H6,0,6.43987e-09
C2H4,C2H4,0,7.585919e-12
C3H8,C3H8,0,0.002324376
C3H6,C3H6,0,2.775109e-15
IC4H10,IC4H10,0,1.157186e-05
NC4H10,NC4H10,0,3.422977e-10
C2H2,C2H2,0,7.908337e-09
IC5H12,IC5H12,0,1.845897e-13
NC5H12,NC5H12,0,5.514724e-11
NC6H14,NC6H14,0,9.67406e-15
C5H8,C5H8,0,1.131899e-21
LIMONENE,LIMONENE,0,0.001002039
MACR,MACR,0,2.299356e-08
