A dataframe generated file,Unnamed: 1,Unnamed: 2,cape~CVNOX_CapeVerde
,,,
Index,Species,Constrain,cape~CVNOX_CapeVerde
ii,TIME,0,432000
ii,TEMP,0,298
ii,LAT,0,16.5
ii,LON,0,23.4
ii,JDAY,0,173.5
ii,H2O,0,0.02
ii,PRESS,0,1013
s,SPINUP,0,1e99
O3,O3,0,3.610526e-08
NO,NO,0,8.439533e-13
NO2,NO2,0,0.003693765
C2H6,C2H6,0,3.280932e-10
C2H4,C2H4,0,2.092983e-11
C3H8,C3H8,0,2.050237e-09
C3H6,C3H6,0,6.235611e-11
IC4H10,IC4H10,0,0.3094878
NC4H10,NC4H10,0,1.940849
C2H2,C2H2,0,6198941000000000.0
IC5H12,IC5H12,0,126313100000000.0
NC5H12,NC5H12,0,1156.33
BENZENE,BENZENE,0,4.526491e-05
TOLUENE,TOLUENE,0,1.040541e-10
