,source,target,flux
0,C51NO324CO,C5CO24O,[14.31181247 -inf]
1,CO3C4NO3OH,HO2CO3C4O,[16.50976332 -inf]
2,HO124C5,C51OH,[18.07863332 18.06737999]
3,C51O2,C51OH,[18.79171914 20.14871706]
4,INB1HPCO3,INB1HPCO2H,[14.15029072 15.66505768]
5,APINCO2,APINCOH,[15.78700904 17.01646276]
6,BPINCO2,BPINCOH,[16.09242978 17.92150361]
7,C101OOH,C101O,[17.20887397 -inf]
8,C101O2,C101O,[22.50192462 20.44054515]
9,C111OOH,C111O,[17.31890472 -inf]
10,C111O2,C111O,[22.60645381 20.52522428]
11,C121OOH,C121O,[17.86640173 -inf]
12,C121O2,C121O,[23.14666498 21.04764263]
13,TLFUONOO,C24O3CCO2H,[23.26210783 20.9533978 ]
14,C510O2,C510OH,[16.91130863 21.53180403]
15,C626O2,C511CHO,[10.82295927 11.17241342]
16,C518CHO,C520OOA,[22.7023063 20.37943886]
17,C57O2,C57OH,[17.16132463 16.39463116]
18,C58O2,C58OH,[17.3921454 18.24176124]
19,C6145COOOH,C6145COO,[13.74000954 -inf]
20,C6145COO2,C6145COO,[17.61426413 14.99367261]
21,C619OOH,C619O,[18.18616439 -inf]
22,C619O2,C619O,[23.50842999 22.45793356]
23,C622CHO,C628OOA,[22.91562679 21.28084478]
24,C624CHO,C629OOA,[21.78059307 19.31513079]
25,C6CO34HO1,C6CO134,[16.91176808 16.92811925]
26,C6CYTONOOH,C6CYTONO,[16.72371103 -inf]
27,C6CYTONO2,C6CYTONO,[21.45539067 19.69686673]
28,C719O2,C719OH,[17.36655619 18.72307491]
29,C721OOH,C721O,[18.58547253 -inf]
30,C721O2,C721O,[22.07861405 19.65979664]
31,C729CHO,C735OOA,[22.74468755 21.67849226]
32,C812O2,C812OH,[17.19418635 17.72781384]
33,C85OOH,C85O,[19.77457797 -inf]
34,C85O2,C85O,[22.57390243 20.39490608]
35,C88OOH,C88O,[17.77786744 -inf]
36,C88O2,C88O,[23.16795636 20.41598378]
37,NOPINOOA,C8BC,[23.14103478 22.5084276 ]
38,C914OOH,C914O,[18.08410522 -inf]
39,C914O2,C914O,[23.06600614 20.96787262]
40,C917O2,C917OH,[15.98410683 18.75107544]
