Cross sections and quantum yields for methacrolein
from the book of Calvert et al. (2011):
The Mechanisms of Atmospheric Oxidation of the Oxygenates,
Oxford University Press, 2011.

λ/nm	σ/1E-20 cm2	Φ
250	0.21
251	0.19
252	0.19
253	0.18
254	0.18
255	0.18
256	0.18
257	0.18
258	0.19
259	0.19
260	0.20
261	0.21
262	0.22
263	0.24
264	0.26
265	0.28
266	0.30
267	0.33
268	0.36
269	0.40
270	0.44
271	0.48
272	0.52
273	0.57
274	0.62
275	0.67
276	0.73
277	0.79
278	0.86
279	0.94	0.0401
280	1.01	0.0397
281	1.09	0.0393
282	1.18	0.0388
283	1.26	0.0383
284	1.35	0.0379
285	1.45	0.0375
286	1.56	0.0370
287	1.67	0.0365
288	1.79	0.0361
289	1.90	0.0356
290	2.03	0.0352
291	2.16	0.0347
292	2.28	0.0343
293	2.40	0.0338
294	2.52	0.0333
295	2.68	0.0329
296	2.85	0.0325
297	2.99	0.0320
298	3.13	0.0315
299	3.26	0.0311
300	3.44	0.0306
301	3.61	0.0302
302	3.76	0.0297
303	3.91	0.0293
304	4.04	0.0288
305	4.19	0.0284
306	4.40	0.0279
307	4.58	0.0274
308	4.71	0.0268
309	4.81	0.0265
310	4.92	0.0261
311	5.13	0.0256
312	5.35	0.0252
313	5.50	0.0247
314	5.61	0.0243
315	5.70	0.0238
316	5.87	0.0235
317	6.04	0.0229
318	6.19	0.0225
319	6.28	0.0220
320	6.27	0.0216
321	6.18	0.0211
322	6.21	0.0206
323	6.34	0.0203
324	6.58	0.0197
325	6.74	0.0194
326	6.73	0.0188
327	6.68	0.0184
328	6.83	0.0179
329	7.07	0.0175
330	7.15	0.0170
331	7.16	0.0166
332	7.03	0.0161
333	6.69	0.0157
334	6.41	0.0153
335	6.08	0.0147
336	5.97	0.0143
337	6.25	0.0139
338	6.38	0.0135
339	6.37	0.0130
340	6.24	0.0125
341	6.02	0.0120
342	5.98	0.0116
343	6.58	0.0112
344	6.79	0.0107
345	6.53	0.0103
346	6.11	0.0098
347	5.63	0.0094
348	5.22	0.0088
349	4.55	0.0084
350	4.16	0.0080
351	3.85	0.0075
352	3.89	0.0071
353	4.35	0.0065
354	4.31	0.0062
355	4.14	0.0057
356	3.62	0.0053
357	3.53	0.0048
358	3.46	0.0044
359	3.81	0.0039
360	5.05	0.0035
361	4.28	0.0030
362	3.61	0.0025
363	2.86	0.0021
364	2.68	0.0016
365	2.33	0.0012
366	1.92	0.0007
367	1.62	0.0003
368	1.40	0.0000
369	1.31
370	1.42
371	1.67
372	1.53
373	1.43
374	1.08
375	0.98
376	1.00
377	1.07
378	1.35
379	2.18
380	1.30
381	0.98
382	0.56
383	0.46
384	0.36
385	0.33
386	0.25
387	0.21
388	0.18
389	0.16
390	0.15
391	0.16
392	0.16
393	0.15
394	0.15
395	0.12
396
397
