Cross sections and quantum yields for cyclobutanone
from the book of Calvert et al. (2011):
The Mechanisms of Atmospheric Oxidation of the Oxygenates,
Oxford University Press, 2011.
and Calvert et al. (2006):
Mechanisms of Atmospheric Oxidation of the Alkanes, Final Report CRC Project A-58.
Original data: Carless and Lee, J Am Chem Soc 94, 1-6, 1972.

λ/nm  σ/1E-20 cm2 Φ1    Φ2
278    6.15    0.61    0.37
279    6.42    0.61    0.37
280    6.69    0.62    0.37
281    6.95    0.62    0.36
282    7.11    0.62    0.36
283    7.14    0.63    0.35
284    7.11    0.63    0.35
285    6.88    0.63    0.35
286    6.34    0.63    0.34
287    6.15    0.64    0.34
288    6.26    0.64    0.33
289    6.49    0.64    0.33
290    6.76    0.64    0.33
291    6.88    0.65    0.32
292    6.80    0.65    0.32
293    6.42    0.65    0.32
294    6.00    0.65    0.31
295    5.62    0.66    0.31
296    5.49    0.66    0.31
297    5.34    0.66    0.30
298    5.20    0.66    0.30
299    5.04    0.67    0.30
300    4.89    0.67    0.29
301    4.84    0.67    0.29
302    4.78    0.67    0.29
303    4.73    0.68    0.28
304    4.66    0.68    0.28
305    4.58    0.68    0.28
306    4.43    0.68    0.28
307    4.20    0.68    0.27
308    3.90    0.69    0.27
309    3.36    0.69    0.27
310    3.09    0.69    0.27
311    2.93    0.69    0.27
312    2.80    0.70    0.26
313    2.67    0.70    0.26
314    2.54    0.70    0.26
315    2.41    0.70    0.26
316    2.29    0.70    0.25
317    2.14    0.70    0.25
318    1.87    0.71    0.25
319    1.57    0.71    0.25
320    1.18    0.71    0.25
321    0.92    0.71    0.25
322    0.76    0.71    0.25
323    0.62    0.71    0.24
324    0.48    0.72    0.24
325    0.35    0.72    0.24
326    0.25    0.72    0.24
327    0.19    0.72    0.24
328    0.15    0.72    0.24
329    0.11    0.72    0.24
330    0.08    0.73    0.24
331    0.06    0.73    0.24
332    0.04    0.73    0.24
333    0.02    0.73    0.23
334    0.01    0.73    0.23
335    0.01    0.73    0.23
336    0.003   0.74    0.23
337    0.002   0.74    0.23
338    0.002   0.74    0.23
339    0.001   0.74    0.23
340    0.      0.74    0.23
