,source,target,flux
0,C51NO324CO,C5CO24O,[ -inf 15.29942572]
1,CO3C4NO3OH,HO2CO3C4O,[ -inf 15.29942572]
2,HO124C5,C51OH,[9.39093511 9.39093511]
3,C51O2,C51OH,[10.50252254 12.9740954 ]
4,INB1HPCO3,INB1HPCO2H,[11.75449729 14.2259079 ]
5,APINCO2,APINCOH,[ 8.58040933 11.05198219]
6,BPINCO2,BPINCOH,[ 8.58040933 11.05198219]
7,C101OOH,C101O,[ -inf 15.05785135]
8,C101O2,C101O,[10.68548684 13.14676061]
9,C111OOH,C111O,[ -inf 15.05785135]
10,C111O2,C111O,[10.68548684 13.14676061]
11,C121OOH,C121O,[ -inf 15.05785135]
12,C121O2,C121O,[10.68548684 13.14676061]
13,TLFUONOO,C24O3CCO2H,[20.46796353 20.51938291]
14,C510O2,C510OH,[ 9.71812235 12.18969522]
15,C626O2,C511CHO,[7.41497335 7.41497335]
16,C518CHO,C520OOA,[2.94001817 2.94001817]
17,C57O2,C57OH,[ 9.71812235 12.18969522]
18,C58O2,C58OH,[ 9.71812235 12.18969522]
19,C6145COOOH,C6145COO,[ -inf 16.54612702]
20,C6145COO2,C6145COO,[11.57954847 14.04982042]
21,C619OOH,C619O,[ -inf 14.79055252]
22,C619O2,C619O,[11.00477065 13.47143639]
23,C622CHO,C628OOA,[2.94001817 2.94001817]
24,C624CHO,C629OOA,[2.94001817 2.94001817]
25,C6CO34HO1,C6CO134,[9.16435286 9.16435286]
26,C6CYTONOOH,C6CYTONO,[ -inf 15.05785135]
27,C6CYTONO2,C6CYTONO,[11.22465669 13.69327859]
28,C719O2,C719OH,[ 9.71812235 12.18969522]
29,C721OOH,C721O,[ -inf 14.79055252]
30,C721O2,C721O,[11.39316302 13.8627361 ]
31,C729CHO,C735OOA,[2.94001817 2.94001817]
32,C812O2,C812OH,[ 9.71812235 12.18969522]
33,C85OOH,C85O,[ -inf 15.05785135]
34,C85O2,C85O,[ 9.38169425 11.57614597]
35,C88OOH,C88O,[ -inf 14.79055252]
36,C88O2,C88O,[11.00477065 13.47143639]
