,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1,ev  1
RO2,0.5227756785996286,0.6705034162699568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5CO24O,0.0,0.0,4.967809571277374e-05,0.0007427581084426839,0.033020477377718356,5.696072996064497e-05,5.784862259741806e-12,0.0,0.0,0.0,0.0,0.0
HO2CO3C4O,0.0,0.0,6.106446995620536e-05,0.0007427581084426839,0.031686423668634285,6.339870266879106e-05,1.6093128224249255e-08,0.0,0.0,0.0,0.0,0.0
C51OH,0.1215150494738263,0.43394840504922794,0.00010040753475663122,0.0007427581084426839,0.029887226051534176,6.082351358553263e-05,3.5694660547192096e-07,0.00010954801178640199,0.0007425742574257426,0.026299014632571442,5.668739689022133e-05,5.864618135467959e-07
INB1HPCO2H,0.0,0.11595857818943522,4.925714995470837e-05,0.0002475860361475613,0.0,0.0,5.706531283647792e-09,7.290430164282429e-05,0.0004950495049504951,0.024196472135791115,0.0,1.2805303414085264e-07
APINCOH,0.020799574414990092,0.1215832558376867,4.7841735602564035e-05,0.0004951720722951226,0.024530081911955673,0.0,1.960796816006478e-09,5.452846672218046e-05,0.0004950495049504951,0.02316707838530606,0.0,2.9066360223894467e-09
BPINCOH,0.0452968808770703,0.16274824287176162,4.7678586433932265e-05,0.0004951720722951226,0.024468720960952133,0.0,2.142995267354376e-09,5.446332275511342e-05,0.0004950495049504951,0.023055208755179246,0.0,3.5843615150829915e-09
C101O,0.0,0.0,0.0001237940910849422,0.0007427581084426839,0.029661007525613965,0.00014004123490862552,1.5647654922812685e-08,0.00018414771920974884,0.0004950495049504951,0.025021545993898987,0.0004830379051769995,2.8488918889516664e-08
C111O,0.0,0.0,0.00012418528096879778,0.0007427581084426839,0.03072010278718892,0.00014678577774573096,1.5960893004081695e-08,0.0001841336529125475,0.0004950495049504951,0.0258482581968481,0.0005028938150066554,2.821303497419878e-08
C121O,0.0,0.0,0.00012411811431400677,0.0007427581084426839,0.03048121523988453,0.00014053174711496047,1.8893189368089394e-08,0.0001841268312905826,0.0004950495049504951,0.025577278496257193,0.0004978685538769277,3.5451876680535915e-08
C24O3CCO2H,0.4678281307965981,0.5711056501661681,6.404074441986844e-05,0.0004951720722951226,0.02472601222973113,1.8394207737560271e-07,3.1112065165877636e-07,6.156775214248882e-05,0.0004950495049504951,0.023532103031034132,5.478760304849499e-05,7.749415093929164e-08
C510OH,0.18388941418724555,0.44300789064348517,5.5711741468420105e-05,0.0004951720722951226,0.02805055263394073,0.0,1.9616481835874244e-08,6.908746539474478e-05,0.0004950495049504951,0.023305808192590285,0.0,7.397686925594408e-08
C511CHO,0.0,0.0,6.806432530354767e-05,0.0002475860361475613,0.0,0.0,4.614086618099011e-07,7.517822945763531e-05,0.0004950495049504951,0.03287553162401001,0.00014003319123692513,2.317689589692888e-06
C520OOA,0.0,0.0,9.312978659494959e-05,0.0004951720722951226,0.030636583567435715,0.00098525508044952,3.7724517424436593e-06,9.366984555919742e-05,0.0004950495049504951,0.02580852036854446,0.0009895474568501663,1.029989753448303e-05
C57OH,0.03370875008977781,0.20056807849299516,4.3974559868710965e-05,0.0004951720722951226,0.02832953208313468,0.0,5.14769238960606e-07,4.541204236911895e-05,0.0004950495049504951,0.02649407985304431,0.0,2.662712895681678e-06
C58OH,0.03081589628281542,0.2998503206018993,4.850300866201237e-05,0.0004951720722951226,0.028319163799224813,0.0,3.771160270908173e-07,5.47476544896744e-05,0.0004950495049504951,0.02386686103401666,0.0,1.9585698101474766e-06
C6145COO,0.0,0.0,0.00019630157390420356,0.0007427581084426839,0.03185016404184201,0.00029203870484666524,6.499023317366051e-10,0.00021643829795875782,0.0004950495049504951,0.02910817845625528,0.0004996457803740265,1.908278533192909e-09
C619O,0.0,0.0,0.00012157551607774146,0.0007427581084426839,0.028189689012382172,0.0,9.134305744676133e-06,6.619807348868444e-05,0.0004950495049504951,0.025643985576875906,0.0,5.271662983125892e-05
C628OOA,0.0,0.0,7.080646395173948e-05,0.0004951720722951226,0.02756598009800866,0.00125840906535229,1.050308047742332e-05,7.41841225361521e-05,0.0004950495049504951,0.02168684274150125,0.0012513513049745182,3.1326550881196055e-06
C629OOA,0.0,0.0,4.7172257037463676e-05,0.0004951720722951226,0.03101798055030649,1.2017549055206044e-05,3.468300260003221e-08,4.502902526416598e-05,0.0004950495049504951,0.026616152775070148,8.273295762356628e-06,3.2629008039060365e-08
C6CO134,0.0,0.1692466967834532,6.348169499969459e-05,0.0004951720722951226,0.0321497760850795,6.113008371449197e-05,2.9968313344994294e-08,0.00015543780035745836,0.0004950495049504951,0.028491287866446682,0.0002773699008920451,7.577232050124897e-08
C6CYTONO,0.0,0.0,0.00013281741001317578,0.0007427581084426839,0.027152095811156653,0.00013280617986518515,7.744429217155921e-08,0.00024952036891509366,0.0004950495049504951,0.022801641537482025,0.00023508416699555572,4.538953121413172e-07
C719OH,0.027579214102820857,0.3460421533628542,9.42697396994464e-05,0.0004951720722951226,0.029480784163200862,0.0,1.3073053575386026e-07,0.00011906376648303078,0.0004950495049504951,0.02217005052200635,0.0,1.924517622585956e-07
C721O,0.0,0.0,0.00024943741994456624,0.0007427581084426839,0.02232339143948899,0.0016520451109360798,6.551272196420824e-07,0.00023689735163881222,0.0004950495049504951,0.02050500394629911,0.0016440570771610462,4.142840135438395e-06
C735OOA,0.0,0.0,6.040674102439097e-05,0.0004951720722951226,0.027427986931889446,1.8271579685976536e-05,2.5279345899743945e-07,7.314535069089701e-05,0.0004950495049504951,0.021954898128922297,2.4513468925501118e-05,6.78488127645398e-07
C812OH,0.041797785749461865,0.3075526038014075,8.431114803026802e-05,0.0004951720722951226,0.02387807946364438,0.0,1.863809049243065e-07,8.27043006233057e-05,0.0004950495049504951,0.022525208418938077,0.0,2.2468834696938438e-06
C85O,0.0,0.0,0.0003567571486129832,0.0007427581084426839,0.022131963949408435,0.0018294879015777446,0.0002601904811962672,0.00026071710379440324,0.0004950495049504951,0.020388096453271397,0.001578667398802272,0.0001277637183830029
C88O,0.0,0.0,0.0001733170554925052,0.0007427581084426839,0.02929650249391067,0.0,1.5686420150711516e-05,0.00010550758261246919,0.0004950495049504951,0.026808362510338177,0.0,5.691632642602483e-05
C8BC,0.534188953889174,0.6595964910432776,4.9286147908120114e-05,0.0004951720722951226,0.023449233937913542,2.575189083258438e-06,1.0763837433253067e-10,4.928569074258746e-05,0.0004950495049504951,0.01866337017338423,2.5739142371776172e-06,3.470615877756759e-11
C914O,0.0,0.0,0.00023199148040820087,0.0007427581084426839,0.028700354794219216,0.0,1.0558409981484112e-05,0.00013814868909464185,0.0004950495049504951,0.025986893129968956,0.0,0.00013951165905748387
C917OH,0.008931696481557339,0.28473665711705953,0.00012125989420168705,0.0004951720722951226,0.024268947702534363,0.0,0.00011133282057281565,0.00011078653030536827,0.0004950495049504951,0.022344139049121133,0.0,0.0005266155163792641
C91O,0.0,0.0,0.00012723074805194302,0.0007427581084426839,0.02838390743944266,0.0001308441310398454,4.866170953792371e-08,0.00018416590958252087,0.0004950495049504951,0.02468352236655808,0.0004704134686803664,2.7553588217565575e-08
C920O,0.0,0.0,0.00017369696375320507,0.0007427581084426839,0.01905513959816174,0.00018596544022673434,1.7112488166557036e-07,0.00013919028230001399,0.0004950495049504951,0.01848055546529179,0.00017570028852352925,2.9218718773359833e-07
C921O,0.0,0.0,0.0002062357466131318,0.0007427581084426839,0.02193562067534011,0.0003597907033466789,1.4648791222316182e-07,0.00016614221336867183,0.0004950495049504951,0.02094837154923881,0.0003417177568214856,1.915141339312366e-07
CH3O2NO2,0.5466250049040149,0.6651219268114233,0.004454089393285485,0.0004951720722951226,0.026936694351321785,0.0,0.031560888410757916,0.0026225928176412585,0.0004950495049504951,0.024607410259780315,0.0,0.028560242140860292
CHOC4O,0.0,0.0,0.00017767041096926805,0.0007427581084426839,0.03002278304777559,0.00012557112482174479,1.7373434438964518e-07,0.0001342610418539204,0.0004950495049504951,0.026652369861424805,0.0001185226222547979,3.4563554367735424e-07
CHOC4OHO,0.0,0.0,0.00015312065635274347,0.0007427581084426839,0.029190164560983185,0.00012563243884753666,2.2263718469592938e-07,0.00010151822738451437,0.0004950495049504951,0.026320617495531204,0.00011680667943001283,1.9709569660490889e-07
CO14O3CO2H,0.4011933572612507,0.504009884218595,6.401456679789647e-05,0.0004951720722951226,0.028718972460235703,7.970823352942785e-07,1.4871479787018466e-07,6.171460333458916e-05,0.0004950495049504951,0.02564192755477135,7.966877400787863e-07,4.031430433249228e-08
CO2C3CO2H,0.43645619618629017,0.6192765018556037,6.529021722281688e-05,0.0004951720722951226,0.028226141977789356,1.1036524642536163e-06,1.792769563248491e-09,6.617591220031012e-05,0.0004950495049504951,0.02576608157408729,5.509402141006376e-05,1.1147709193874387e-09
