,source,target,flux
0,C51O2,C51OH,[19.30836039 17.86870201]
1,C51NO324CO,C5CO24O,[17.10673239 20.73056508]
2,CO3C4NO3OH,HO2CO3C4O,[19.49707142 24.54330521]
3,INB1HPCO3,INB1HPCO2H,[17.1526237 19.87110465]
4,APINCO2,APINCOH,[20.5019979 22.38124218]
5,C101OOH,C101O,[20.11388227 23.47621767]
6,C101O2,C101O,[21.40070242 22.91826972]
7,C111OOH,C111O,[21.21082548 24.97866467]
8,C111O2,C111O,[20.67202263 25.39090559]
9,C121OOH,C121O,[15.09834052 21.4157289 ]
10,C121O2,C121O,[20.67582987 23.74927164]
11,TLFUONOO,C24O3CCO2H,[17.50543715 23.56719233]
12,C510O2,C510OH,[17.29702651 20.28984933]
13,C626O2,C511CHO,[20.87217281 22.72642246]
14,C518CHO,C520OOA,[18.29279736 21.19310972]
15,C57O2,C57OH,[10.00070413 15.17362829]
16,C58O2,C58OH,[14.33695411 19.40527314]
17,C622CHO,C628OOA,[22.60167103 25.8117596 ]
18,C624CHO,C629OOA,[19.48511799 21.97689942]
19,C6CO34HO1,C6CO134,[20.40013134 17.31352898]
20,C6CYTONOOH,C6CYTONO,[ -inf 20.7784739]
21,C6CYTONO2,C6CYTONO,[22.63557448 23.90597171]
22,C719O2,C719OH,[ -inf 21.06871788]
23,C721OOH,C721O,[ -inf 18.68191441]
24,C721O2,C721O,[17.66966998 21.22606885]
25,C729CHO,C735OOA,[19.12016593 19.57610209]
26,C812O2,C812OH,[18.5727351 21.0166432]
27,C85OOH,C85O,[21.02092041 19.17100969]
28,C85O2,C85O,[23.75768349 22.97038327]
29,C91OOH,C91O,[ -inf 18.09722616]
30,C91O2,C91O,[19.27994722 20.72265758]
31,C920OOH,C920O,[18.38663132 24.45576536]
32,C920O2,C920O,[22.43800333 24.84720908]
33,C921OOH,C921O,[22.04391988 23.88355208]
34,C921O2,C921O,[19.25404842 22.74002599]
35,CH3O2,CH3O2NO2,[20.13554032 20.14175428]
36,BZFUONOO,CO14O3CO2H,[17.39305233 20.80445698]
37,CO2C3OO,CO2C3CO2H,[13.5303185 18.29322197]
38,CO3C75OOH,CO3C75O,[17.20241292 22.08965989]
39,CO3C75O2,CO3C75O,[24.23372409 25.7503726 ]
40,CO3C85OOH,CO3C85O,[17.08418735 20.24242152]
41,CO3C85O2,CO3C85O,[15.89068829 19.70316856]
42,CRESO2,CRESOH,[21.96167128 25.96122686]
43,DMMALYO2,DMMALYOH,[20.98676216 24.52463344]
44,EBENZOLO2,EBENZOLOH,[17.05492037 17.20312055]
45,NC4EDCO2,EMALANHY,[16.59338925 18.43714861]
46,EMALANHYO2,EMALNHY2OH,[21.40119659 22.02330359]
47,EOCOCH2OOH,EOCOCH2O,[21.22967641 25.02315249]
48,EOCOCH2O2,EOCOCH2O,[20.31903196 20.96774143]
49,EOCOCH2O2,EOX2COMEOH,[16.69588379 20.27580164]
50,IBUTOLCO2,IBUTOLOHC,[18.73795911 22.67730924]
51,IEPOXB,IEB1CHO,[19.73959845 23.39464133]
52,IEPOXB,IEB4CHO,[18.92431041 20.80767099]
53,INANCO,INANCOCHO,[18.6098994 20.89794826]
54,ISOPBO2,ISOPBOH,[11.36713204 17.34479186]
55,LIMAL,LIMALOOA,[20.09247609 18.98298826]
56,MPAN,MAE,[18.34918918 19.11421366]
57,MALANHYOOH,MALANHYO,[22.06288508 24.54625252]
58,MALANHYO2,MALANHYO,[20.30183288 25.16570841]
59,MC6OTKETO2,MC6OTKETOH,[20.97617372 21.503609 ]
60,METLBIPRO2,METLBPR2OH,[20.82868419 24.24816775]
61,METLQOOH,METLQO,[21.38875369 25.32702724]
62,METLQO2,METLQO,[19.73547815 24.10550091]
