,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1,ev  1
RO2,0.6253796531257508,0.610517379239601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C51OH,0.2507830222086652,0.2914658081507657,8.076624345226897e-05,0.0006255864873318737,0.02229236394271904,0.0,2.135857873275422e-07,8.141686196639467e-05,0.0006240249609984399,0.016236907798913142,0.0,7.303281428155903e-07
C5CO24O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HO2CO3C4O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INB1HPCO2H,0.0,0.12897376318447448,8.245770649793343e-05,0.0006255864873318737,0.020194658926600037,4.012679283574283e-06,2.071679863411513e-08,8.731640755051104e-05,0.0006240249609984399,0.01370065618960169,0.0,1.1872138568656454e-07
TRICLETH,0.6374827701293242,0.6374588993729845,4.803284947672407e-05,0.0006255864873318737,0.023915516110132085,0.0,1.556869310349693e-13,4.756229778152268e-05,0.0006240249609984399,0.017534082814099735,0.0,5.042471901228519e-14
APINCOH,0.12244322421813038,0.10522409598608498,6.451092286524053e-05,0.0006255864873318737,0.01782129319581257,1.761664075715539e-06,6.999530792183854e-10,6.744375843299426e-05,0.0006240249609984399,0.014014589386601979,0.0,2.3710493681930122e-09
C101O,0.0,0.002765299504144069,0.0002437421159981621,0.0006255864873318737,0.020450706472443375,0.0003470478229159612,5.5674494120734865e-09,0.0002348280334930527,0.0006240249609984399,0.015728264041332783,0.00034531718347385583,2.066935148681118e-08
C111O,0.0,0.02189931032212932,0.0002434522168091077,0.0006255864873318737,0.02068099639083946,0.00037875777627884087,6.948717799306295e-09,0.00023479236330424245,0.0006240249609984399,0.01606845711147382,0.00037686900734456343,2.2899843576517437e-08
C121O,0.0,0.039060379033818544,0.0002432077228028456,0.0006255864873318737,0.02042802348967641,0.00036799205137169036,8.473776807142008e-09,0.00023476178850438564,0.0006240249609984399,0.015989047906682114,0.0003661569683761133,2.5105253391955103e-08
C24O3CCO2H,0.4522937008242735,0.47464961690453356,7.70244082265203e-05,0.0006255864873318737,0.01709585474193441,3.298226630645203e-05,1.8060865705294043e-08,7.728806011019339e-05,0.0006240249609984399,0.01379774588918108,3.281779211243356e-05,2.683449046933287e-08
C510OH,0.184278961459935,0.03792679608510263,8.157749460977075e-05,0.0006255864873318737,0.018501627416742415,0.0,6.553988234855908e-09,8.545345477544179e-05,0.0006240249609984399,0.014601879268129277,0.0,4.7280030105904616e-09
C57OH,0.06660754458712495,0.12265556756079762,5.449596277525826e-05,0.0006255864873318737,0.021970825120840344,4.8935113214320526e-06,5.19243943111712e-07,5.664608534821329e-05,0.0006240249609984399,0.01631224770162435,0.0,1.2921044623233406e-06
C58OH,0.12301967458163704,0.14195660758028253,6.561647662046562e-05,0.0006255864873318737,0.018746929976331837,5.5786029064325395e-06,9.224283589363715e-07,6.746417077681168e-05,0.0006240249609984399,0.014293071007223063,0.0,1.186031806820712e-06
C6CO134,0.12177134140010086,0.2712756767004626,0.00019313386561876968,0.0006255864873318737,0.025537996841434926,0.00017225159851440826,3.31486761174561e-09,0.00019428946501008902,0.0006240249609984399,0.017382341437712737,0.00016905545135663104,5.6564198876608466e-08
C6CYTONO,0.0,0.0,0.00029485579845905,0.0006255864873318737,0.01702847452352478,0.00014915422507724897,1.9492598701668656e-08,0.00028196312504091207,0.0006240249609984399,0.013121741255225165,0.00014841043079925445,1.2375552453708406e-07
C719OH,0.20440052907008618,0.19905162832898998,0.00011957043124127047,0.0006255864873318737,0.017100736679292627,0.0,2.2470532669574737e-08,0.00012754902414528963,0.0006240249609984399,0.013380844181945812,0.0,7.388667558143288e-08
C721O,0.0,0.0,0.00030691019322134325,0.0006255864873318737,0.01506000078009817,0.00012341435552651637,7.105928035780818e-07,0.0002906615688095265,0.0006240249609984399,0.01194610691413774,0.00012240939075765277,1.3131926536221405e-06
C812OH,0.21439685058089547,0.20200782505256515,9.634498796776505e-05,0.0006255864873318737,0.01733276343246467,0.0,2.1946742758894876e-07,9.880909579937097e-05,0.0006240249609984399,0.013675893682501479,0.0,1.7018829963072407e-07
C85O,0.0,0.0,0.00041914500852548246,0.0006255864873318737,0.014636660332702786,0.0022285050557801565,0.0003308156499614799,0.00037033441673014415,0.0006240249609984399,0.011592638374977052,0.0022356025327155407,0.00033316602138989525
C91O,0.0,0.0,0.00024389042429072026,0.0006255864873318737,0.02027485329477732,0.0003159250909116533,5.179590967659747e-09,0.00023484738770829873,0.0006240249609984399,0.015402862286737751,0.0003137653596031482,2.0367413628391127e-08
C920O,0.0,0.0,0.00018658045659125704,0.0006255864873318737,0.012440721578374175,0.0001170527908086547,2.6003463533344777e-07,0.00017743465910613948,0.0006240249609984399,0.010496678134572635,0.00011646907823878498,1.274608009187538e-07
C921O,0.0,0.0,0.00022293213036416186,0.0006255864873318737,0.014553147782000918,0.0002186420858415841,1.6356767064133644e-07,0.00021088341963500893,0.0006240249609984399,0.012210463368224225,0.00021755177323197798,1.0064589114866226e-07
CH3O2NO2,0.4880811260495434,0.566554699927247,0.003382988529929712,0.0006255864873318737,0.017682700121814925,0.0,0.0389862866180986,0.0028717977852927797,0.0006240249609984399,0.015144003345336261,0.0,0.0305073517615947
CO14O3CO2H,0.4183101960596701,0.3602448800759011,7.679833240577794e-05,0.0006255864873318737,0.019210173782204572,1.2723129435723337e-06,1.1408284413533083e-08,7.705853675531238e-05,0.0006240249609984399,0.015698261478249473,1.168586069285468e-06,1.3829446678745299e-08
CO2C3CO2H,0.4604229559956827,0.4823097034606953,8.228511679145882e-05,0.0006255864873318737,0.019697910434762905,3.347161743859524e-05,4.031878941805007e-10,8.265413288031557e-05,0.0006240249609984399,0.016036088717416293,3.330470297463584e-05,1.8438180896137712e-10
