,name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydro peroxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,nogroups,smiles
0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,C918NO3,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,O=CCC(=O)C1CC(ON(=O)=O)C1(C)C
2,C134CO,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,OCCC(=O)C(=O)C(=O)C(C)(C)C(=O)CCC(=O)C
3,NBUTACET,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,CCCCOC(=O)C
4,C124O2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,CCCCCCC(=O)C(O[O])CC(=O)CC
5,PROL1MPAN,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCC(C)(O)C(=O)OON(=O)=O
6,BCCOOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,OCC1(OO)CC\C=C(\C)/CCC2C1CC2(C)C
7,IPRHOCO2H,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,OC(=O)C(C)(C)O
8,TM124NO2O,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,CC1=CC([O])(O)C2(OOC1(C)C2O)N(=O)=O
9,C3EODBCO2H,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,CCC(=CC(=O)O)C=O
10,DMEBPOXMUC,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,CC(=CC(=O)CC)C1OC1(C)C=O
11,DNMXYOLOOH,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,OOC1(O)C(=C(N(=O)=O)C2(OOC1(C)C2O)N(=O)=O)C
12,C4ME2OHNO3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,O=N(=O)OC(C)(C)C(C)(C)O
13,C920CO3,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,[O]OC(=O)CC1CC(C(=O)CO)C1(C)C
14,MIPKAO,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,CC(=O)C(C)(C)[O]
15,BUT2OLAO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,CC([O])C(C)O
16,C823CO,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,O=CC(CCC(=O)O)C(=C)C
17,M3BU2OLOOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,OOCC(O)C(C)C
18,METLBIPRO2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,[O]OC1C=CC2(C)OOC1(CC)C2O
19,PXYCATECH,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Cc1ccc(C)c(O)c1O
20,M3HEXBNO3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,CCCC(C)(CC)ON(=O)=O
21,C124OH,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,CCCCCCC(=O)C(O)CC(=O)CC
22,PRCOOMCHO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CCCC(=O)OCC=O
23,PTLQONE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,O=C1C=CC(=O)C(=C1)C
24,TM123MUCO,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,OC(C(=O)C)C([O])C1OC1(C)C(=O)C
25,C137CO,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,O=CCC(=C)C1CC(C)(C)C1CCC(=O)O
26,NO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,NO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,MBOAOOH,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,OCC(OO)C(C)(C)O
29,C4M2NO33O,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,O=N(=O)OC(C)C(C)(C)[O]
30,EPXDLCO2H,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,O=CC1OC1C(=O)O
31,BOXCOCOMO,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,CCCC([O])OC(=O)C(=O)C
