name,smiles,PeroxyAlkyl(RO2),PeroxyAcid(RCO3),Alcoxy(RO),Alcohol(C-H),Unsaturated(>C=C<),Aldehyde(-CHO),Carbonyl(>C=O),Nitrate(-ONO2),HydroPeroxide(-OOH),PAN(-C(O)OONO2)
C918NO3,O=CCC(=O)C1CC(ON(=O)=O)C1(C)C,0,0,0,2,0,0,2,1,0,0
C134CO,OCCC(=O)C(=O)C(=O)C(C)(C)C(=O)CCC(=O)C,0,0,0,3,0,1,5,0,0,0
NBUTACET,CCCCOC(=O)C,0,0,0,2,0,1,1,0,0,0
C124O2,CCCCCCC(=O)C(O[O])CC(=O)CC,1,0,0,2,0,0,2,0,0,0
PROL1MPAN,CCC(C)(O)C(=O)OON(=O)=O,0,0,0,2,0,0,1,1,0,1
BCCOOH,OCC1(OO)CC\C=C(\C)/CCC2C1CC2(C)C,0,0,0,2,1,0,0,0,0,0
IPRHOCO2H,OC(=O)C(C)(C)O,0,0,0,2,0,0,1,0,0,0
TM124NO2O,CC1=CC([O])(O)C2(OOC1(C)C2O)N(=O)=O,0,0,1,2,0,0,0,0,0,0
C3EODBCO2H,CCC(=CC(=O)O)C=O,0,0,0,1,0,0,1,0,0,0
DMEBPOXMUC,CC(=CC(=O)CC)C1OC1(C)C=O,0,0,0,2,0,0,1,0,0,0
DNMXYOLOOH,OOC1(O)C(=C(N(=O)=O)C2(OOC1(C)C2O)N(=O)=O)C,0,0,0,2,0,0,2,0,1,0
C4ME2OHNO3,O=N(=O)OC(C)(C)C(C)(C)O,0,0,0,4,0,0,0,0,0,0
C920CO3,[O]OC(=O)CC1CC(C(=O)CO)C1(C)C,1,0,0,2,0,0,2,0,0,0
MIPKAO,CC(=O)C(C)(C)[O],0,0,1,3,0,0,1,0,0,0
BUT2OLAO,CC([O])C(C)O,0,0,1,2,0,0,0,0,0,0
C823CO,O=CC(CCC(=O)O)C(=C)C,0,0,0,1,0,0,1,0,0,0
M3BU2OLOOH,OOCC(O)C(C)C,0,0,0,2,0,0,0,0,1,0
METLBIPRO2,[O]OC1C=CC2(C)OOC1(CC)C2O,1,0,0,1,1,0,0,0,0,0
PXYCATECH,Cc1ccc(C)c(O)c1O,0,0,0,2,0,0,0,0,0,0
M3HEXBNO3,CCCC(C)(CC)ON(=O)=O,0,0,0,2,0,0,0,1,0,0
C124OH,CCCCCCC(=O)C(O)CC(=O)CC,0,0,0,2,0,0,2,0,0,0
PRCOOMCHO,CCCC(=O)OCC=O,0,0,0,1,0,0,1,0,0,0
PTLQONE,O=C1C=CC(=O)C(=C1)C,0,0,0,1,1,0,1,0,0,0
TM123MUCO,OC(C(=O)C)C([O])C1OC1(C)C(=O)C,0,0,1,2,0,1,2,0,0,0
C137CO,O=CCC(=C)C1CC(C)(C)C1CCC(=O)O,0,0,0,2,0,0,1,0,0,0
NO2,nan,0,0,0,0,0,0,0,0,0,0
NO3,nan,0,0,0,0,0,0,0,0,0,0
MBOAOOH,OCC(OO)C(C)(C)O,0,0,0,2,0,0,0,0,1,0
C4M2NO33O,O=N(=O)OC(C)C(C)(C)[O],0,0,1,3,0,0,0,0,0,0
EPXDLCO2H,O=CC1OC1C(=O)O,0,0,0,0,0,0,1,0,0,0
BOXCOCOMO,CCCC([O])OC(=O)C(=O)C,0,0,1,2,0,1,2,0,0,0
ME3BU2OLO,[O]CC(O)C(C)C,0,0,0,2,0,0,0,0,0,0
CLOHCO3H,OOC(=O)C(O)Cl,0,0,0,0,0,0,1,0,1,0
BOXCOCOME,CCCCOC(=O)C(=O)C,0,0,0,2,0,1,2,0,0,0
MALDIAL,O=CC=CC=O,0,0,0,0,1,0,0,0,0,0
