name,x,y,label,filterlab
A2PAN,-0.072142355,0.124234244,0,0
A2PANO,-0.010507634,0.08581363,0,0
A2PANOO,-0.05332034,0.12344259,0,0
ACBUOAOOH,-0.76765615,0.12676932,0,0
ACBUONANO3,0.18025471,0.9612674,0,0
ACBUONAOH,-0.056732826,0.74295294,0,0
ACBUONBOH,-0.24233852,0.7686368,0,0
ACBUONBOOH,-1.1748482,-0.2572346,0,0
ACBUONEAO,-0.056732826,0.74295294,0,0
ACBUONEAO2,-0.76765615,0.12676932,0,0
ACBUONEBO,-0.24233852,0.7686368,0,0
ACBUONEBO2,-1.1748482,-0.2572346,0,0
ACCOC3H6O,-0.045531563,0.7890939,0,0
ACCOC3H6O2,0.035158105,1.0403994,0,0
ACCOCOC2H5,-0.10735201,0.862934,0,0
ACCOCOEOOH,-0.83981925,-0.10765208,0,0
ACCOCOETO,-0.31173205,0.49465102,0,0
ACCOCOETO2,-0.83981925,-0.10765208,0,0
ACCOCOMEO,-0.1024475,0.3323146,0,0
ACCOCOMEO2,-0.8899546,-0.18603136,0,0
ACCOCOMOOH,-0.8899546,-0.18603136,0,0
ACCOETO,-0.014693787,0.44399548,0,0
ACCOETO2,-0.06338578,0.48001286,0,0
ACCOETOOH,-0.06338578,0.48001286,0,0
ACCOMCOMO,-0.29957122,0.48499057,0,0
ACCOMCOMO2,-0.9917851,-0.049806762,0,0
ACCOMECHO,-0.28670377,0.2961692,0,0
ACCOMECO3,-0.12137502,0.3450354,0,0
ACCOMECO3H,-0.12137502,0.3450354,0,0
ACCOMEPAN,-0.17571391,0.35840735,0,0
ACCOPRONE,0.054954,0.83074045,0,0
ACCOPROOH,0.035158105,1.0403994,0,0
ACEBUTBONE,0.029875407,1.0270607,0,0
ACEBUTONE,0.21857698,0.98919123,0,0
ACEC2CHO,-0.14812194,0.43546438,0,0
ACEC2H4NO3,0.37385666,0.47904631,0,0
ACEC2H4OOH,0.44502035,0.5318299,0,0
ACECOCOCH3,-0.06787609,0.3801919,0,0
ACEETOHO,0.28719032,0.36291254,0,0
