name,x,y,label,filterlab
A2PAN,0.20699924,-1.5682036,0,0
A2PANO,0.35012177,0.26581025,1,1
A2PANOO,0.3391153,0.11900177,1,1
ACBUOAOOH,0.41394642,0.07281741,1,1
ACBUONANO3,0.2780438,-1.7628094,0,0
ACBUONAOH,0.414187,0.25665128,1,1
ACBUONBOH,0.25490656,0.15022218,1,1
ACBUONBOOH,0.2702092,0.020994224,1,1
ACBUONEAO,0.29944932,0.23444423,1,1
ACBUONEAO2,0.33513156,0.090281345,1,1
ACBUONEBO,0.17490405,0.14676052,1,1
ACBUONEBO2,0.20719624,0.047681652,1,1
ACCOC3H6O,0.29944932,0.23444423,1,1
ACCOC3H6O2,0.31403428,0.1242842,1,1
ACCOCOC2H5,0.17490405,0.14676052,1,1
ACCOCOEOOH,0.114525534,-0.015769161,1,1
ACCOCOETO,0.010560907,0.10219922,1,1
ACCOCOETO2,0.0578262,-0.011873115,1,1
ACCOCOMEO,0.28562996,0.15581307,1,1
ACCOCOMEO2,0.3178272,0.060018025,1,1
ACCOCOMOOH,0.38754818,0.0578892,1,1
ACCOETO,0.46098873,0.30209845,1,1
ACCOETO2,0.45741645,0.20765096,1,1
ACCOETOOH,0.60284394,0.20702672,1,1
ACCOMCOMO,0.33567417,0.17746562,1,1
ACCOMCOMO2,0.36412823,0.08572789,1,1
ACCOMECHO,0.15447816,0.18381846,1,1
ACCOMECO3,0.20275262,0.06850601,1,1
ACCOMECO3H,0.31566885,0.041015886,1,1
ACCOMEPAN,0.19186205,-1.6464319,0,0
ACCOPRONE,0.29944932,0.23444423,1,1
ACCOPROOH,0.41021088,0.10558642,1,1
ACEBUTBONE,0.37015477,0.3410459,1,1
ACEBUTONE,0.6526085,0.4793846,1,1
ACEC2CHO,0.512558,0.42256126,1,1
ACEC2H4NO3,0.02255673,-1.6401771,0,0
ACEC2H4OOH,0.6834194,0.2582355,1,1
ACECOCOCH3,0.010560907,0.10219922,1,1
ACEETOHO,0.3482244,0.24451733,1,1
ACEETOHO2,0.36845008,0.14670038,1,1
ACEETOHOOH,0.38859326,0.120828144,1,1
ACEPROPONE,0.46934405,0.3503827,1,1
ACETC2CO2H,0.72812945,0.3960364,1,1
ACETC2CO3,0.54289603,0.21060872,1,1
ACETC2CO3H,0.6525064,0.19212058,1,1
ACETC2H4O,0.4930619,0.4644577,1,1
ACETC2H4O2,0.5238741,0.2389546,1,1
ACETC2PAN,0.047559924,-1.6135918,0,0
ACETCOC2H5,0.15301052,0.30681133,1,1
ACETCOC3H7,0.42708108,0.46506774,1,1
ACETETCHO,0.32017604,0.31250748,1,1
ACETMECO3,0.3674869,0.11234837,1,1
ACETMECO3H,0.44888365,0.07212629,1,1
ACETMEPAN,0.05517716,-1.6552651,0,0
ACETOL,0.36701983,0.5601445,1,1
ACLOO,0.33742404,0.22511527,1,1
ACLOOA,0.33742404,0.22511527,1,1
ACO2H,-0.19049507,0.46247268,1,1
ACO3,-0.1600461,0.16391501,1,1
ACO3H,-0.05367457,0.14709798,1,1
ACOMCOMOOH,0.46650836,0.080477215,1,1
ACPRONEO,0.010560907,0.10219922,1,1
ACPRONEO2,0.0578262,-0.011873115,1,1
ACPRONEOH,0.060878284,0.08941254,1,1
ACPRONEOOH,0.114525534,-0.015769161,1,1
ACR,-0.37384206,0.6483289,1,1
ACRO2,0.31273067,0.12204266,1,1
ACROO,-0.26835376,0.32066768,1,1
ACROOA,-0.26835376,0.32066768,1,1
ACRPAN,0.29710585,-1.6910386,0,0
ALC4DOLOOH,0.46755612,0.13123676,1,1
ALCOCH2OOH,0.36042544,0.07367594,1,1
ALCOMOXOOH,0.33469248,0.05422818,1,1
ALLYLOH,0.07604672,0.69477683,1,1
APINANO3,1.0776746,-1.7685589,0,0
APINAO,2.758505,0.10319268,-1,-1
APINAO2,2.8109457,0.008814029,-1,-1
APINAOOH,2.7630436,0.015788727,-1,-1
APINBCO,2.6823819,0.10440307,1,1
APINBNO3,1.0479027,-1.7510991,0,0
APINBO,2.7259128,0.06808033,-1,-1
APINBO2,2.7582405,-0.019920416,-1,-1
APINBOH,2.8285897,0.12731868,-1,-1
APINBOO,1.2568784,0.12508035,1,1
APINBOOH,2.718968,-0.014711328,-1,-1
APINCNO3,1.0276142,-1.8151075,0,0
APINCO,1.4025522,0.42677322,1,1
APINCO2,1.6749455,0.07632431,1,1
APINCOH,1.7718858,0.36847776,1,1
APINCOOH,1.843947,0.010266565,1,1
APINENE,1.7881132,0.30176616,1,1
APINOOA,1.2568784,0.12508035,1,1
APINOOB,1.2568784,0.12508035,1,1
BCAL,2.2208438,0.55854857,1,1
BCALACO,2.093244,0.40612984,1,1
BCALAO,2.1068869,0.3724544,1,1
BCALAO2,2.0564697,0.19571775,1,1
BCALAOH,2.228137,0.40094733,1,1
BCALAOOH,2.1254115,0.19379884,1,1
BCALBCO,2.1519773,0.4418869,1,1
BCALBO,2.1550581,0.4728276,1,1
BCALBO2,2.0398397,0.29621094,1,1
BCALBOC,2.0489402,0.38992298,1,1
BCALBOH,2.292352,0.54305476,1,1
BCALBOOH,2.1772366,0.31410098,1,1
BCALCCO,2.1998563,0.42984974,1,1
BCALCO,2.2033198,0.39397907,1,1
BCALCO2,2.115051,0.22522128,1,1
BCALCOH,2.3191788,0.42460424,1,1
BCALCOOH,2.183705,0.2358948,1,1
BCALNO3,0.50317687,-1.6022351,0,0
BCALO,2.2500546,0.49821627,1,1
BCALO2,1.9828285,0.37991118,1,1
BCALOH,2.316127,0.5396454,1,1
BCALOO,1.9944746,0.3299175,1,1
BCALOOA,1.9944746,0.3299175,1,1
BCALOOH,1.9330379,0.3636062,1,1
BCANO3,1.0341351,-1.771985,0,0
BCAO,3.285074,0.3157928,-1,-1
BCAO2,3.2168233,0.25486988,-1,-1
BCAOH,3.3198092,0.29282343,-1,-1
BCAOO,2.0487843,0.32510936,1,1
BCAOOH,3.1960313,0.2541132,-1,-1
BCARY,2.7379773,0.42079294,-1,-1
