name,x,y,label,filterlab
A2PAN,0.47651654,0.7143447,0,0
A2PANO,-0.14052518,0.9195316,0,0
A2PANOO,-0.110329494,0.96081674,0,0
ACBUOAOOH,0.20908351,0.4456107,0,0
ACBUONANO3,0.39241445,0.51951444,0,0
ACBUONAOH,0.19075225,0.39973098,0,0
ACBUONBOH,0.19075225,0.39973098,0,0
ACBUONBOOH,0.20908351,0.4456107,0,0
ACBUONEAO,-0.026868,0.61829066,0,0
ACBUONEAO2,-0.0059667677,0.66465807,0,0
ACBUONEBO,-0.026868,0.61829066,0,0
ACBUONEBO2,-0.0059667677,0.66465807,0,0
ACCOC3H6O,-0.026868,0.61829066,0,0
ACCOC3H6O2,-0.0059667677,0.66465807,0,0
ACCOCOC2H5,0.23763023,0.40708876,0,0
ACCOCOEOOH,0.2877441,0.4808225,0,0
ACCOCOETO,0.101880416,0.620075,0,0
ACCOCOETO2,0.11443366,0.6587884,0,0
ACCOCOMEO,0.07768422,0.7154975,0,0
ACCOCOMEO2,0.09003276,0.75720125,0,0
ACCOCOMOOH,0.3035301,0.53667605,0,0
ACCOETO,-0.08248522,0.73217183,0,0
ACCOETO2,-0.0582321,0.7822694,0,0
ACCOETOOH,0.21184866,0.50534624,0,0
ACCOMCOMO,0.056132033,0.6577903,0,0
ACCOMCOMO2,0.06964816,0.7003303,0,0
ACCOMECHO,0.25058097,0.45243475,0,0
ACCOMECO3,0.09003276,0.75720125,0,0
ACCOMECO3H,0.3035301,0.53667605,0,0
ACCOMEPAN,0.4638735,0.62350714,0,0
ACCOPRONE,0.23763023,0.40708876,0,0
ACCOPROOH,0.20908351,0.4456107,0,0
ACEBUTBONE,0.11980979,0.34204227,0,0
ACEBUTONE,0.11980979,0.34204227,0,0
ACEC2CHO,0.10389732,0.3777988,0,0
ACEC2H4NO3,0.4145345,0.6014016,0,0
ACEC2H4OOH,0.09924255,0.5270844,0,0
ACECOCOCH3,0.2802295,0.44692606,0,0
ACEETOHO,-0.15548794,0.82897776,0,0
ACEETOHO2,-0.12562792,0.87600183,0,0
ACEETOHOOH,0.1882071,0.560324,0,0
ACEPROPONE,0.1717016,0.38794672,0,0
ACETC2CO2H,0.19704868,0.44732332,0,0
ACETC2CO3,-0.0582321,0.7822694,0,0
ACETC2CO3H,0.21184866,0.50534624,0,0
ACETC2H4O,-0.32301277,0.8469248,0,0
ACETC2H4O2,-0.27279115,0.90472907,0,0
ACETC2PAN,0.42713553,0.6119758,0,0
ACETCOC2H5,0.1717016,0.38794672,0,0
ACETCOC3H7,0.11980979,0.34204227,0,0
ACETETCHO,0.16588251,0.44429746,0,0
ACETMECO3,-0.039629765,0.86033547,0,0
ACETMECO3H,0.25796014,0.56141865,0,0
ACETMEPAN,0.46848494,0.65930825,0,0
ACETOL,0.09986113,0.430546,0,0
ACLOO,-2.481436,3.174495,1,1
ACLOOA,-2.481436,3.174495,1,1
ACO2H,0.19759856,0.4372321,0,0
ACO3,-0.194009,0.94027793,0,0
ACO3H,0.23146264,0.5251695,0,0
ACOMCOMOOH,0.26608545,0.49490878,0,0
ACPRONEO,-0.0065947324,0.67744243,0,0
ACPRONEO2,0.013664678,0.72357,0,0
ACPRONEOH,0.23406123,0.43836483,0,0
ACPRONEOOH,0.24975966,0.48561963,0,0
ACR,-0.0037256926,0.27939254,0,0
ACRO2,-0.2565899,1.0121156,0,0
ACROO,-2.5451326,3.1561742,1,1
ACROOA,-2.5451326,3.1561742,1,1
ACRPAN,0.50401425,0.6566415,0,0
ALC4DOLOOH,0.14374216,0.5040997,0,0
ALCOCH2OOH,0.24427001,0.6064167,0,0
ALCOMOXOOH,0.24321027,0.67930114,0,0
ALLYLOH,-0.15875651,0.26930028,0,0
APINANO3,2.343091,-2.2979639,2,2
APINAO,2.3140342,-2.6115913,2,2
APINAO2,2.3341303,-2.5765448,2,2
APINAOOH,2.2982433,-2.508785,2,2
APINBCO,2.2923872,-2.5148716,2,2
APINBNO3,2.343091,-2.2979639,2,2
APINBO,2.3140342,-2.6115913,2,2
APINBO2,2.3341303,-2.5765448,2,2
APINBOH,2.2789388,-2.5405245,2,2
APINBOO,-1.6284736,1.918905,4,4
APINBOOH,2.2982433,-2.508785,2,2
APINCNO3,0.48050624,-0.008032609,3,3
APINCO,0.41156757,-0.32256424,3,3
APINCO2,0.46382082,-0.24484824,3,3
APINCOH,0.3094076,-0.20390181,3,3
APINCOOH,0.37595004,-0.13752858,3,3
APINENE,2.2669349,-2.7060115,2,2
APINOOA,-1.6284736,1.918905,4,4
APINOOB,-1.6284736,1.918905,4,4
BCAL,0.2347257,-0.15773575,3,3
BCALACO,0.30185407,-0.0866562,3,3
BCALAO,0.33416772,-0.15536796,3,3
BCALAO2,0.35648042,-0.1330239,3,3
BCALAOH,0.28580058,-0.10316579,3,3
BCALAOOH,0.31106597,-0.08386628,3,3
BCALBCO,0.2812817,-0.118244395,3,3
BCALBO,0.31436914,-0.18743496,3,3
BCALBO2,0.33803725,-0.16247688,3,3
BCALBOC,0.26357144,-0.1354451,3,3
BCALBOH,0.26357144,-0.1354451,3,3
BCALBOOH,0.29051453,-0.11377047,3,3
BCALCCO,0.30185407,-0.0866562,3,3
BCALCO,0.33416772,-0.15536796,3,3
BCALCO2,0.35648042,-0.1330239,3,3
BCALCOH,0.28580058,-0.10316579,3,3
BCALCOOH,0.31106597,-0.08386628,3,3
BCALNO3,-1.0430496,1.4491944,4,4
BCALO,0.3386255,-0.15127991,3,3
BCALO2,0.3591382,-0.12826155,3,3
BCALOH,0.29444468,-0.10159044,3,3
BCALOO,-1.276699,1.5471222,4,4
BCALOOA,-1.276699,1.5471222,4,4
BCALOOH,0.31853676,-0.082481846,3,3
BCANO3,1.3638228,-1.2843891,-1,-1
BCAO,1.974408,-2.2908928,2,2
BCAO2,1.9950534,-2.264965,2,2
BCAOH,1.9200698,-2.211937,2,2
BCAOO,-1.2625791,1.4659901,4,4
BCAOOH,1.9408728,-2.188267,2,2
BCARY,0.88693017,-1.5168107,-1,-1
BCBCO,1.9269491,-2.1823568,2,2
BCBNO3,1.3638228,-1.2843891,-1,-1
BCBO,1.974408,-2.2908928,2,2
BCBO2,1.9950534,-2.264965,2,2
BCBOCOO,-1.2517961,1.5605822,4,4
BCBOO,-1.2625791,1.4659901,4,4
BCBOOA,-1.2517961,1.5605822,4,4
BCBOOH,1.9408728,-2.188267,2,2
BCCNO3,0.33446378,-0.3895009,3,3
BCCO,1.3583112,-1.7656236,-1,-1
BCCO2,1.3841974,-1.7390529,-1,-1
BCCOH,1.3220141,-1.7217046,-1,-1
BCCOOH,1.3489708,-1.6967906,-1,-1
BCKANO3,1.4263796,-1.2781674,-1,-1
BCKAO,2.056182,-2.3064516,2,2
BCKAO2,2.074212,-2.2759535,2,2
BCKAOH,2.0044315,-2.2300868,2,2
BCKAOO,-1.276699,1.5471222,4,4
BCKAOOH,2.0223892,-2.2021346,2,2
BCKBCO,2.0109622,-2.2002933,2,2
BCKBNO3,1.4263796,-1.2781674,-1,-1
BCKBO,2.056182,-2.3064516,2,2
BCKBO2,2.074212,-2.2759535,2,2
BCKBOO,-1.276699,1.5471222,4,4
BCKBOOH,2.0223892,-2.2021346,2,2
BCKET,0.96015364,-1.5258694,-1,-1
BCKOOA,-1.276699,1.5471222,4,4
BCKOOB,-1.276699,1.5471222,4,4
BCKSOZ,1.6230515,-2.0405574,-1,-1
BCKSZOO,0.8675119,-1.0387858,-1,-1
BCLKACO,0.35148144,-0.05801021,3,3
