name,x,y,label,filterlab
A2PAN,-0.24640206,-0.8236848,-1,-1
A2PANO,-0.3027366,-0.7608826,-1,-1
A2PANOO,-0.34799165,-0.69027936,-1,-1
ACBUOAOOH,-0.09568834,-0.091605395,0,0
ACBUONANO3,-0.17273629,-0.29771188,0,0
ACBUONAOH,-0.08639979,-0.22941218,0,0
ACBUONBOH,0.008946478,-0.14195387,0,0
ACBUONBOOH,-0.020105302,-0.109418646,0,0
ACBUONEAO,0.19558203,-0.16496922,0,0
ACBUONEAO2,0.15115416,-0.11170459,0,0
ACBUONEBO,0.2812413,-0.09366624,0,0
ACBUONEBO2,0.23579538,-0.040919304,0,0
ACCOC3H6O,-1.4112822,0.24777487,1,1
ACCOC3H6O2,-1.5077748,0.33055255,1,1
ACCOCOC2H5,-1.5156957,0.60038304,1,1
ACCOCOEOOH,-0.3579824,0.24869677,0,0
ACCOCOETO,0.08151686,0.34398013,0,0
ACCOCOETO2,0.04371798,0.40642518,0,0
ACCOCOMEO,-0.24439716,0.20905514,0,0
ACCOCOMEO2,-0.28309786,0.27231467,0,0
ACCOCOMOOH,-0.71710426,0.20108189,0,0
ACCOETO,0.2493993,0.3471519,0,0
ACCOETO2,0.19536614,0.41674057,0,0
ACCOETOOH,0.11895931,0.37618974,0,0
ACCOMCOMO,-0.6115085,0.10899317,0,0
ACCOMCOMO2,-0.650645,0.16612116,0,0
ACCOMECHO,-0.25179625,0.24946997,0,0
ACCOMECO3,-0.34612584,0.22316942,0,0
ACCOMECO3H,-0.36902833,0.26650283,0,0
ACCOMEPAN,0.03314641,-0.34585264,0,0
ACCOPRONE,-0.05493164,-0.38645202,0,0
ACCOPROOH,-0.5166648,-0.42300883,0,0
ACEBUTBONE,0.5934719,0.13251674,0,0
ACEBUTONE,0.57389414,0.18678942,0,0
ACEC2CHO,-0.30272937,0.30271825,0,0
ACEC2H4NO3,-0.46607292,0.27518708,0,0
ACEC2H4OOH,-0.37664783,0.49908534,0,0
ACECOCOCH3,-0.50469935,0.27616376,0,0
ACEETOHO,0.45956206,0.38068935,0,0
ACEETOHO2,0.4069997,0.43496922,0,0
ACEETOHOOH,0.3118508,0.3901681,0,0
ACEPROPONE,0.24453449,-0.3910654,0,0
ACETC2CO2H,0.050916195,0.5018754,0,0
ACETC2CO3,-0.033201218,0.42256087,0,0
ACETC2CO3H,-0.0714767,0.46067497,0,0
ACETC2H4O,0.089045286,0.5443136,0,0
ACETC2H4O2,0.057881832,0.58048886,0,0
ACETC2PAN,0.29471195,-0.15176415,0,0
ACETCOC2H5,0.11294687,0.4858105,0,0
ACETCOC3H7,-0.20719302,0.3409355,0,0
ACETETCHO,0.5374216,0.48787746,0,0
ACETMECO3,0.29213482,0.38260728,0,0
ACETMECO3H,0.22266054,0.41186738,0,0
ACETMEPAN,0.4799704,-0.063623525,0,0
ACETOL,0.4471351,0.33188024,0,0
ACLOO,-0.39343333,-0.028072419,0,0
ACLOOA,-0.30530053,-0.21687916,0,0
ACO2H,-0.6900259,0.09152603,0,0
ACO3,-0.764765,-0.13552219,-1,-1
ACO3H,-0.7418682,-0.003444733,-1,-1
ACOMCOMOOH,-0.5398481,0.15558921,0,0
ACPRONEO,0.012369394,-0.41857016,0,0
ACPRONEO2,-0.037937343,-0.36441353,0,0
ACPRONEOH,-0.05177611,-0.37276223,0,0
ACPRONEOOH,-0.0906198,-0.32540148,0,0
ACR,-0.49936804,-0.51761806,0,0
ACRO2,-0.5613222,-0.35196498,0,0
ACROO,-0.5422312,-0.36376998,0,0
ACROOA,-0.4487381,-0.4553778,0,0
ACRPAN,-0.27022937,-0.85255265,-1,-1
ALC4DOLOOH,-0.38462138,0.14993908,0,0
ALCOCH2OOH,-0.64163053,0.37040478,-1,-1
ALCOMOXOOH,-0.29247034,0.1099004,0,0
ALLYLOH,-0.22036624,0.022861062,0,0
APINANO3,-0.34307942,-0.84259075,-1,-1
APINAO,-0.26110178,-0.9175925,-1,-1
APINAO2,-0.30599788,-0.8582761,-1,-1
APINAOOH,-0.32402217,-0.7669557,0,0
APINBCO,-0.17047086,-0.7787702,0,0
APINBNO3,-0.24822068,-0.75541496,0,0
