name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydroperoxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,Aromatic rings,Carbons,HydroCarbon,Atoms,nogroups
C918NO3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9,0,15,0
C134CO,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,13,0,19,0
NBUTACET,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6,0,8,0
C124O2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,12,0,16,0
PROL1MPAN,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,12,0
BCCOOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0,18,0
IPRHOCO2H,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,7,0
TM124NO2O,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,8,0,16,0
C3EODBCO2H,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,9,0
DMEBPOXMUC,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,10,0,13,0
DNMXYOLOOH,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,8,0,20,0
C4ME2OHNO3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,11,0
C920CO3,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,10,0,15,0
MIPKAO,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,7,0
BUT2OLAO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,6,0
C823CO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,11,0
M3BU2OLOOH,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,8,0
METLBIPRO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,14,0
PXYCATECH,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,0,10,0
M3HEXBNO3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,11,0
C124OH,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,12,0,15,0
PRCOOMCHO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,9,0
PTLQONE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,9,0
TM123MUCO,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,9,0,14,0
C137CO,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,16,0
NO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBOAOOH,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,9,0
C4M2NO33O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,10,0
EPXDLCO2H,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,8,0
BOXCOCOMO,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,7,0,11,0
ME3BU2OLO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,7,0
CLOHCO3H,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,7,0
BOXCOCOME,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7,0,10,0
MALDIAL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,6,0
C6PAN21,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,13,0
DEMPHOLOOH,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,11,0,17,0
C6PAN23,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,13,0
C6PAN22,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,13,0
HO13C5O2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,9,0
EBZMUCOOH,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,8,0,14,0
NMETOL1O2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,14,0
DMKOHOOH,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,6,0,11,0
C9M2CO6O2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,10,0,14,0
IPBZBPR2OH,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,9,0,13,0
MPRK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,6,0
NOA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,8,0
BIACETOOH,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,8,0
HEPTOH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,8,0
C6CO4MEDB,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,0,13,0
ACBUONEAO,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,6,0,10,0
PEBQONE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,10,0
C42OH,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,4,0,11,0
O1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C63NO3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,6,0,12,0
TBOCOCH2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0
NPETOLO2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,18,0
NPTLQO,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,7,0,14,0
C514OH,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,0,8,0
C620O2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,6,0,11,0
ACETC2CO2H,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,5,0,9,0
