name,smiles,oxygen,hydrogen,ocratio,hcratio
C918NO3,O=CCC(=O)C1CC(ON(=O)=O)C1(C)C,3.0,13.0,0.1875,0.8125
C134CO,OCCC(=O)C(=O)C(=O)C(C)(C)C(=O)CCC(=O)C,6.0,17.0,0.2608695652173913,0.7391304347826086
NBUTACET,CCCCOC(=O)C,3.0,12.0,0.2,0.8
C124O2,CCCCCCC(=O)C(O[O])CC(=O)CC,3.0,21.0,0.125,0.875
PROL1MPAN,CCC(C)(O)C(=O)OON(=O)=O,3.0,8.0,0.2727272727272727,0.7272727272727273
BCCOOH,OCC1(OO)CC\C=C(\C)/CCC2C1CC2(C)C,2.0,24.0,0.07692307692307693,0.9230769230769231
IPRHOCO2H,OC(=O)C(C)(C)O,3.0,6.0,0.3333333333333333,0.6666666666666666
TM124NO2O,CC1=CC([O])(O)C2(OOC1(C)C2O)N(=O)=O,5.0,8.0,0.38461538461538464,0.6153846153846154
C3EODBCO2H,CCC(=CC(=O)O)C=O,3.0,7.0,0.3,0.7
DMEBPOXMUC,CC(=CC(=O)CC)C1OC1(C)C=O,4.0,14.0,0.2222222222222222,0.7777777777777778
DNMXYOLOOH,OOC1(O)C(=C(N(=O)=O)C2(OOC1(C)C2O)N(=O)=O)C,5.0,7.0,0.4166666666666667,0.5833333333333334
C4ME2OHNO3,O=N(=O)OC(C)(C)C(C)(C)O,2.0,12.0,0.14285714285714285,0.8571428571428571
C920CO3,[O]OC(=O)CC1CC(C(=O)CO)C1(C)C,4.0,14.0,0.2222222222222222,0.7777777777777778
MIPKAO,CC(=O)C(C)(C)[O],2.0,9.0,0.18181818181818182,0.8181818181818182
BUT2OLAO,CC([O])C(C)O,2.0,8.0,0.2,0.8
C823CO,O=CC(CCC(=O)O)C(=C)C,3.0,11.0,0.21428571428571427,0.7857142857142857
M3BU2OLOOH,OOCC(O)C(C)C,2.0,10.0,0.16666666666666666,0.8333333333333334
METLBIPRO2,[O]OC1C=CC2(C)OOC1(CC)C2O,4.0,12.0,0.25,0.75
PXYCATECH,Cc1ccc(C)c(O)c1O,2.0,8.0,0.2,0.8
M3HEXBNO3,CCCC(C)(CC)ON(=O)=O,1.0,15.0,0.0625,0.9375
C124OH,CCCCCCC(=O)C(O)CC(=O)CC,3.0,21.0,0.125,0.875
PRCOOMCHO,CCCC(=O)OCC=O,4.0,10.0,0.2857142857142857,0.7142857142857143
PTLQONE,O=C1C=CC(=O)C(=C1)C,2.0,6.0,0.25,0.75
TM123MUCO,OC(C(=O)C)C([O])C1OC1(C)C(=O)C,6.0,12.0,0.3333333333333333,0.6666666666666666
C137CO,O=CCC(=C)C1CC(C)(C)C1CCC(=O)O,3.0,19.0,0.13636363636363635,0.8636363636363636
NO2,,0.0,0.0,,
NO3,,0.0,0.0,,
MBOAOOH,OCC(OO)C(C)(C)O,3.0,9.0,0.25,0.75
C4M2NO33O,O=N(=O)OC(C)C(C)(C)[O],2.0,10.0,0.16666666666666666,0.8333333333333334
EPXDLCO2H,O=CC1OC1C(=O)O,5.0,3.0,0.625,0.375
BOXCOCOMO,CCCC([O])OC(=O)C(=O)C,5.0,11.0,0.3125,0.6875
ME3BU2OLO,[O]CC(O)C(C)C,2.0,10.0,0.16666666666666666,0.8333333333333334
CLOHCO3H,OOC(=O)C(O)Cl,3.0,1.0,0.75,0.25
BOXCOCOME,CCCCOC(=O)C(=O)C,4.0,12.0,0.25,0.75
MALDIAL,O=CC=CC=O,2.0,4.0,0.3333333333333333,0.6666666666666666
C6PAN21,CCC(C)(O)CC(=O)OON(=O)=O,3.0,10.0,0.23076923076923078,0.7692307692307693
DEMPHOLOOH,CCC12OOC(CC)(C=C(C)C2(O)OO)C1O,5.0,15.0,0.25,0.75
C6PAN23,CCCCC(O)C(=O)OON(=O)=O,3.0,10.0,0.23076923076923078,0.7692307692307693
C6PAN22,CCCC(O)CC(=O)OON(=O)=O,3.0,10.0,0.23076923076923078,0.7692307692307693
HO13C5O2,OCCC(O)C(C)O[O],3.0,9.0,0.25,0.75
EBZMUCOOH,CCC(=O)C(OO)C(O)C1OC1C=O,6.0,10.0,0.375,0.625
NMETOL1O2,[O]Oc1c(CC)cc(C)cc1N(=O)=O,1.0,10.0,0.09090909090909091,0.9090909090909091
DMKOHOOH,OOC(C(=O)C)C(O)C(=O)C,4.0,8.0,0.3333333333333333,0.6666666666666666
C9M2CO6O2,CCC(=O)C=C(C)C(O[O])C(=O)CC,3.0,15.0,0.16666666666666666,0.8333333333333334
IPBZBPR2OH,OC1C=CC2(OOC1C2O)C(C)C,4.0,12.0,0.25,0.75
MPRK,CCCC(=O)C,1.0,10.0,0.09090909090909091,0.9090909090909091
NOA,CC(=O)CON(=O)=O,2.0,5.0,0.2857142857142857,0.7142857142857143
BIACETOOH,CC(=O)C(=O)COO,3.0,5.0,0.375,0.625
HEPTOH,CCCCC(O)CC,1.0,15.0,0.0625,0.9375
C6CO4MEDB,O=CC(=O)C(=C(C)C(=O)C=O)CC,4.0,10.0,0.2857142857142857,0.7142857142857143
ACBUONEAO,CC(=O)CC([O])OC(=O)C,5.0,9.0,0.35714285714285715,0.6428571428571429
PEBQONE,CCC1=CC(=O)C=CC1=O,2.0,8.0,0.2,0.8
C42OH,O=CC(O)C(O)CON(=O)=O,4.0,5.0,0.4444444444444444,0.5555555555555556
O1D,,0.0,0.0,,
C63NO3,CCC(=O)CC(CO)ON(=O)=O,3.0,10.0,0.23076923076923078,0.7692307692307693
TBOCOCH2O,[O]CC(=O)OC(C)(C)C,4.0,11.0,0.26666666666666666,0.7333333333333333
NPETOLO2,CCC12OOC(C(=CC2(O)O[O])C)C1ON(=O)=O,5.0,11.0,0.3125,0.6875
NPTLQO,O=N(=O)OC1C([O])C(=O)C=C(C)C1=O,4.0,6.0,0.4,0.6
C514OH,O=CCC(O)CC=O,3.0,7.0,0.3,0.7
C620O2,O=CCC(=O)C(O[O])CC=O,4.0,7.0,0.36363636363636365,0.6363636363636364
