name,x,y,label,filterlab
A2PAN,-0.065539815,0.1343235,6,6
A2PANO,-0.009101786,0.09849554,6,6
A2PANOO,-0.046177886,0.13207965,6,6
ACBUOAOOH,-0.7552005,0.13073632,2,2
ACBUONANO3,0.17949635,0.958156,1,1
ACBUONAOH,-0.041818045,0.7355019,1,1
ACBUONBOH,-0.22094026,0.7629157,2,2
ACBUONBOOH,-1.183685,-0.21780097,4,4
ACBUONEAO,-0.041818045,0.7355019,1,1
ACBUONEAO2,-0.7552005,0.13073632,2,2
ACBUONEBO,-0.22094026,0.7629157,2,2
ACBUONEBO2,-1.183685,-0.21780097,4,4
ACCOC3H6O,-0.027166866,0.77866274,1,1
ACCOC3H6O2,0.04381589,1.0344483,1,1
ACCOCOC2H5,-0.08468389,0.85370684,1,1
ACCOCOEOOH,-0.8460063,-0.09791914,4,4
ACCOCOETO,-0.31297004,0.5001479,2,2
ACCOCOETO2,-0.8460063,-0.09791914,4,4
ACCOCOMEO,-0.106208704,0.34168556,2,2
ACCOCOMEO2,-0.8712847,-0.17639473,4,4
ACCOCOMOOH,-0.8712847,-0.17639473,4,4
ACCOETO,-0.0102628395,0.44906703,1,1
ACCOETO2,-0.05514013,0.48208192,1,1
ACCOETOOH,-0.05514013,0.48208192,1,1
ACCOMCOMO,-0.29355037,0.48882303,2,2
ACCOMCOMO2,-0.98531044,-0.03910965,4,4
ACCOMECHO,-0.28252187,0.31237787,2,2
ACCOMECO3,-0.119466774,0.35124984,2,2
ACCOMECO3H,-0.119466774,0.35124984,2,2
ACCOMEPAN,-0.17817822,0.37931508,2,2
ACCOPRONE,0.070581265,0.82100374,1,1
ACCOPROOH,0.04381589,1.0344483,1,1
ACEBUTBONE,0.03020326,1.0230328,1,1
ACEBUTONE,0.21894327,0.9836153,1,1
ACEC2CHO,-0.13724229,0.44273987,2,2
ACEC2H4NO3,0.37610355,0.47576052,1,1
ACEC2H4OOH,0.44541207,0.5275354,1,1
ACECOCOCH3,-0.06907945,0.38832825,2,2
ACEETOHO,0.28249848,0.36717883,1,1
ACEETOHO2,0.23712152,0.3999419,1,1
ACEETOHOOH,0.23712152,0.3999419,1,1
ACEPROPONE,0.15770215,0.6024156,1,1
ACETC2CO2H,-0.3232109,0.19088106,2,2
ACETC2CO3,-1.2867469,-0.37800732,4,4
ACETC2CO3H,-1.2867469,-0.37800732,4,4
ACETC2H4O,0.3945375,0.4726708,1,1
ACETC2H4O2,0.44541207,0.5275354,1,1
ACETC2PAN,-0.11472177,0.45893708,2,2
ACETCOC2H5,-0.061711453,0.6018106,1,1
ACETCOC3H7,0.053628944,1.0666716,1,1
ACETETCHO,0.012463264,0.20281467,6,6
ACETMECO3,0.2939408,0.46493948,1,1
ACETMECO3H,0.2939408,0.46493948,1,1
ACETMEPAN,0.011535622,0.23002172,6,6
ACETOL,0.35918695,0.44646636,1,1
ACLOO,-0.2861214,-0.24174908,6,6
ACLOOA,-0.2861214,-0.24174908,6,6
ACO2H,0.019763365,0.38084972,1,1
ACO3,-1.1418668,-0.31151018,4,4
ACO3H,-1.1418668,-0.31151018,4,4
ACOMCOMOOH,-0.98531044,-0.03910965,4,4
ACPRONEO,-0.008335404,0.4335672,1,1
ACPRONEO2,-0.95320135,-0.37152722,4,4
ACPRONEOH,-0.008335404,0.4335672,1,1
ACPRONEOOH,-0.95320135,-0.37152722,4,4
ACR,-0.02371823,0.52091277,1,1
ACRO2,0.054737262,0.16216314,6,6
ACROO,-0.40420195,0.12843257,2,2
ACROOA,-0.40420195,0.12843257,2,2
ACRPAN,0.07454062,0.5497672,1,1
ALC4DOLOOH,-0.22124708,0.56644136,2,2
ALCOCH2OOH,-0.60361874,-0.27880293,6,6
ALCOMOXOOH,-0.6777017,-0.4334379,6,6
ALLYLOH,-0.08298866,0.38507107,2,2
APINANO3,-2.0312064,1.4319386,5,5
APINAO,-1.6641129,1.5488229,0,0
APINAO2,-2.2810707,1.1773089,5,5
APINAOOH,-2.2810707,1.1773089,5,5
APINBCO,-1.587447,1.340625,0,0
APINBNO3,-1.6665835,1.4546075,0,0
APINBO,-1.6641129,1.5488229,0,0
APINBO2,-1.8508109,1.4320887,0,0
APINBOH,-1.6641129,1.5488229,0,0
APINBOO,-1.7707613,1.660852,0,0
APINBOOH,-1.8508109,1.4320887,0,0
APINCNO3,-2.1416054,1.4498435,5,5
APINCO,-1.9214805,1.7637744,0,0
APINCO2,-2.4509933,1.1642989,5,5
APINCOH,-1.9214805,1.7637744,0,0
APINCOOH,-2.4509933,1.1642989,5,5
APINENE,-2.00391,1.6917632,0,0
APINOOA,-1.6460996,1.6682413,0,0
APINOOB,-1.7707613,1.660852,0,0
BCAL,-2.845084,2.2046375,3,3
BCALACO,-2.8403466,2.2735207,3,3
BCALAO,-2.8608043,2.1828694,3,3
BCALAO2,-2.891372,2.1133482,3,3
BCALAOH,-2.8608043,2.1828694,3,3
BCALAOOH,-2.891372,2.1133482,3,3
BCALBCO,-2.935592,2.092389,3,3
BCALBO,-2.891323,2.151214,3,3
BCALBO2,-2.8613927,2.2075615,3,3
BCALBOC,-2.8352504,2.184854,3,3
BCALBOH,-2.891323,2.151214,3,3
BCALBOOH,-2.8613927,2.2075615,3,3
BCALCCO,-2.8210866,2.1126819,3,3
BCALCO,-2.8549404,2.0915506,3,3
BCALCO2,-3.1900487,1.4272776,5,5
BCALCOH,-2.8549404,2.0915506,3,3
BCALCOOH,-3.1900487,1.4272776,5,5
BCALNO3,-2.5944724,2.2857492,3,3
BCALO,-2.7540252,2.1735768,3,3
BCALO2,-2.5692568,2.3667412,3,3
BCALOH,-2.7540252,2.1735768,3,3
BCALOO,-2.6645703,2.348106,3,3
BCALOOA,-2.6645703,2.348106,3,3
BCALOOH,-2.5692568,2.3667412,3,3
BCANO3,-2.8610852,1.9634659,3,3
BCAO,-2.618442,2.163674,3,3
BCAO2,-3.0302835,1.7016941,5,5
BCAOH,-2.618442,2.163674,3,3
BCAOO,-2.8380406,2.2216082,3,3
BCAOOH,-3.0302835,1.7016941,5,5
BCARY,-2.6650167,2.0775058,3,3
BCBCO,-2.608421,2.165482,3,3
BCBNO3,-2.869093,2.0041192,3,3
BCBO,-2.618442,2.163674,3,3
BCBO2,-2.9770982,1.850049,3,3
BCBOCOO,-2.6098695,2.3079662,3,3
BCBOO,-3.001018,1.8654536,3,3
BCBOOA,-2.6098695,2.3079662,3,3
BCBOOH,-2.9770982,1.850049,3,3
BCCNO3,-2.6250358,2.1040747,3,3
BCCO,-2.642357,2.1083045,3,3
BCCO2,-2.6233811,2.1264448,3,3
BCCOH,-2.642357,2.1083045,3,3
BCCOOH,-2.6233811,2.1264448,3,3
BCKANO3,-2.6821942,2.0167334,3,3
BCKAO,-2.2723618,2.1451144,3,3
BCKAO2,-2.9446714,1.8333147,3,3
BCKAOH,-2.2723618,2.1451144,3,3
BCKAOO,-2.6767669,2.3687348,3,3
BCKAOOH,-2.9446714,1.8333147,3,3
BCKBCO,-2.140824,2.2008126,3,3
BCKBNO3,-2.8814597,1.8687347,3,3
BCKBO,-2.2723618,2.1451144,3,3
BCKBO2,-2.9314356,1.8447516,3,3
BCKBOO,-2.9360173,1.9388748,3,3
BCKBOOH,-2.9314356,1.8447516,3,3
BCKET,-2.4926155,1.9537065,3,3
BCKOOA,-2.6767669,2.3687348,3,3
BCKOOB,-2.9360173,1.9388748,3,3
BCKSOZ,-2.269388,2.0015802,3,3
BCKSZOO,-2.486955,1.6810601,5,5
BCLKACO,-2.6357443,2.4273095,3,3
BCLKAO,-2.6542096,2.38581,3,3
BCLKAO2,-2.6571586,2.3397164,3,3
BCLKAOH,-2.6542096,2.38581,3,3
BCLKAOOH,-2.6571586,2.3397164,3,3
BCLKBCO,-2.817803,2.2577405,3,3
BCLKBO,-2.7661698,2.2980804,3,3
BCLKBO2,-2.7522101,2.3017187,3,3
BCLKBOC,-2.6461723,2.3491244,3,3
BCLKBOH,-2.7661698,2.2980804,3,3
BCLKBOOH,-2.7522101,2.3017187,3,3
BCLKCCO,-2.707688,2.201801,3,3
BCLKCO,-2.7582502,2.177782,3,3
BCLKCO2,-3.1657543,1.315031,5,5
BCLKCOH,-2.7582502,2.177782,3,3
BCLKCOOH,-3.1657543,1.315031,5,5
BCLKET,-2.7100673,2.3284051,3,3
BCOOA,-2.8380406,2.2216082,3,3
