name,x,y,label,filterlab
A2PAN,-0.038857408,-1.4333231,0,0
A2PANO,0.36421305,0.19848901,1,1
A2PANOO,0.32488334,0.06766245,1,1
ACBUOAOOH,0.43730146,0.044683576,1,1
ACBUONANO3,-0.15190393,-1.4823971,0,0
ACBUONAOH,0.4414584,0.21471599,1,1
ACBUONBOH,0.2914815,0.10992083,1,1
ACBUONBOOH,0.29801205,0.0047234893,1,1
ACBUONEAO,0.3165186,0.20421264,1,1
ACBUONEAO2,0.34438363,0.07177952,1,1
ACBUONEBO,0.20894182,0.12025663,1,1
ACBUONEBO2,0.22778767,0.040273756,1,1
ACCOC3H6O,0.3165186,0.20421264,1,1
ACCOC3H6O2,0.3266609,0.112367004,1,1
ACCOCOC2H5,0.20894182,0.12025663,1,1
ACCOCOEOOH,0.15276572,-0.049360648,1,1
ACCOCOETO,0.064934395,0.077192366,1,1
ACCOCOETO2,0.095753245,-0.02440685,1,1
ACCOCOMEO,0.2816865,0.12379876,1,1
ACCOCOMEO2,0.29871872,0.04982403,1,1
ACCOCOMOOH,0.37302154,0.042897254,1,1
ACCOETO,0.44261587,0.26953986,1,1
ACCOETO2,0.44815516,0.19175932,1,1
ACCOETOOH,0.6041821,0.18941689,1,1
ACCOMCOMO,0.32847315,0.14903766,1,1
ACCOMCOMO2,0.3435241,0.078241974,1,1
ACCOMECHO,0.16944164,0.15886822,1,1
ACCOMECO3,0.21951312,0.048143208,1,1
ACCOMECO3H,0.32426065,0.006713927,1,1
ACCOMEPAN,-0.13793403,-1.4462931,0,0
ACCOPRONE,0.3165186,0.20421264,1,1
ACCOPROOH,0.43738705,0.08285925,1,1
ACEBUTBONE,0.34468052,0.31113482,1,1
ACEBUTONE,0.59565204,0.43918172,1,1
ACEC2CHO,0.46614206,0.3942399,1,1
ACEC2H4NO3,-0.27391803,-1.568433,0,0
ACEC2H4OOH,0.68465537,0.22709,1,1
ACECOCOCH3,0.064934395,0.077192366,1,1
ACEETOHO,0.35002404,0.2011337,1,1
ACEETOHO2,0.36120433,0.12421578,1,1
ACEETOHOOH,0.37404102,0.10854447,1,1
ACEPROPONE,0.43020886,0.31663758,1,1
ACETC2CO2H,0.71852714,0.33757293,1,1
ACETC2CO3,0.5374643,0.18896651,1,1
ACETC2CO3H,0.673616,0.17488405,1,1
ACETC2H4O,0.4385062,0.43575868,1,1
ACETC2H4O2,0.5135828,0.20712787,1,1
ACETC2PAN,-0.25209612,-1.491915,0,0
ACETCOC2H5,0.14907464,0.29071128,1,1
ACETCOC3H7,0.39452174,0.42677513,1,1
ACETETCHO,0.28613955,0.2992034,1,1
ACETMECO3,0.34180865,0.09879774,1,1
ACETMECO3H,0.43327865,0.062047184,1,1
ACETMEPAN,-0.27469575,-1.4475255,0,0
ACETOL,0.32517707,0.526816,1,1
ACLOO,0.30940676,0.20886365,1,1
ACLOOA,0.30940676,0.20886365,1,1
ACO2H,-0.18618202,0.4080867,1,1
ACO3,-0.13867411,0.14035825,1,1
ACO3H,-0.018307187,0.11174781,1,1
ACOMCOMOOH,0.45344496,0.07931265,1,1
ACPRONEO,0.064934395,0.077192366,1,1
ACPRONEO2,0.095753245,-0.02440685,1,1
ACPRONEOH,0.12593198,0.054598123,1,1
ACPRONEOOH,0.15276572,-0.049360648,1,1
ACR,-0.41519594,0.5909242,1,1
ACRO2,0.32540166,0.08389926,1,1
ACROO,-0.26448643,0.2879477,1,1
ACROOA,-0.26448643,0.2879477,1,1
ACRPAN,0.0056099817,-1.442595,0,0
ALC4DOLOOH,0.46526957,0.086317,1,1
ALCOCH2OOH,0.35661924,0.052945614,1,1
ALCOMOXOOH,0.33644888,0.057452857,1,1
ALLYLOH,0.023723133,0.614,1,1
APINANO3,0.9878717,-1.8151295,0,0
APINAO,3.1081965,0.008027792,-1,-1
APINAO2,3.0703237,-0.03375542,-1,-1
APINAOOH,3.005356,-0.029009402,-1,-1
APINBCO,3.0605774,0.019006848,-1,-1
APINBNO3,0.94948536,-1.8031604,0,0
APINBO,3.099075,-0.02215898,-1,-1
APINBO2,3.0330713,-0.054834366,-1,-1
APINBOH,3.1626222,0.04131174,-1,-1
APINBOO,1.4314946,0.06446129,1,1
APINBOOH,2.9716158,-0.049541116,-1,-1
APINCNO3,0.9005265,-1.7368257,0,0
APINCO,1.5936418,0.28771868,1,1
APINCO2,1.9030018,-0.00024402142,1,1
APINCOH,1.8971983,0.24818572,1,1
APINCOOH,2.0046172,-0.03136313,1,1
APINENE,2.1573212,0.16985372,1,1
APINOOA,1.4314946,0.06446129,1,1
APINOOB,1.4314946,0.06446129,1,1
BCAL,2.267508,0.45625287,1,1
BCALACO,2.140574,0.3219534,1,1
BCALAO,2.156785,0.2901254,1,1
BCALAO2,2.0945368,0.15507847,1,1
BCALAOH,2.2819197,0.31843626,1,1
BCALAOOH,2.1696846,0.1552288,1,1
BCALBCO,2.1956475,0.35679817,1,1
BCALBO,2.173897,0.3681997,1,1
BCALBO2,2.0345056,0.2399922,1,1
BCALBOC,2.0087123,0.33766064,1,1
BCALBOH,2.2656066,0.44237328,1,1
BCALBOOH,2.1583369,0.25905263,1,1
BCALCCO,2.2305133,0.34886765,1,1
BCALCO,2.232861,0.31231403,1,1
BCALCO2,2.130474,0.17921668,1,1
BCALCOH,2.3512676,0.34278703,1,1
BCALCOOH,2.2059631,0.18693477,1,1
BCALNO3,0.43670183,-1.6860285,0,0
BCALO,2.1799555,0.43800473,1,1
BCALO2,1.9459665,0.3322069,1,1
BCALOH,2.291813,0.47222352,1,1
BCALOO,2.0220807,0.28325468,1,1
BCALOOA,2.0220807,0.28325468,1,1
BCALOOH,1.9187119,0.30703074,1,1
BCANO3,0.9330974,-1.8116367,0,0
BCAO,3.3458972,0.2420165,-1,-1
BCAO2,3.2726924,0.20337212,-1,-1
BCAOH,3.3890467,0.2169277,-1,-1
BCAOO,2.0601978,0.26724476,1,1
BCAOOH,3.2387717,0.19385475,-1,-1
BCARY,2.7687562,0.39872992,-1,-1
BCBCO,3.3279402,0.28096384,-1,-1
BCBNO3,0.9330974,-1.8116367,0,0
BCBO,3.3458972,0.2420165,-1,-1
BCBO2,3.2726924,0.20337212,-1,-1
BCBOCOO,1.9632803,0.23826909,1,1
BCBOO,2.0601978,0.26724476,1,1
BCBOOA,1.9632803,0.23826909,1,1
BCBOOH,3.2387717,0.19385475,-1,-1
BCCNO3,0.74101156,-1.8133698,0,0
BCCO,3.0848196,0.36492187,-1,-1
BCCO2,2.9300005,0.30368358,-1,-1
BCCOH,3.163842,0.362931,-1,-1
BCCOOH,2.8959754,0.28825384,-1,-1
BCKANO3,0.76789874,-1.7643998,0,0
BCKAO,3.1253293,0.4025398,-1,-1
BCKAO2,3.0364919,0.30627364,-1,-1
BCKAOH,3.1547358,0.38754147,-1,-1
BCKAOO,2.0220807,0.28325468,1,1
BCKAOOH,3.0004342,0.29727554,-1,-1
BCKBCO,3.1182473,0.37185782,-1,-1
BCKBNO3,0.76789874,-1.7643998,0,0
BCKBO,3.1253293,0.4025398,-1,-1
BCKBO2,3.0364919,0.30627364,-1,-1
BCKBOO,2.0220807,0.28325468,1,1
BCKBOOH,3.0004342,0.29727554,-1,-1
BCKET,3.0015156,0.31516838,-1,-1
BCKOOA,2.0220807,0.28325468,1,1
BCKOOB,2.0220807,0.28325468,1,1
BCKSOZ,3.2982066,0.081392586,-1,-1
BCKSZOO,3.0695708,0.08426893,-1,-1
BCLKACO,2.096428,0.3089432,1,1
BCLKAO,2.1041894,0.28611797,1,1
BCLKAO2,1.9100025,0.17945564,1,1
BCLKAOH,2.2155287,0.3206607,1,1
BCLKAOOH,2.0036907,0.17684275,1,1
BCLKBCO,2.1028717,0.350963,1,1
BCLKBO,2.0596426,0.35704833,1,1
BCLKBO2,1.8441871,0.26700222,1,1
BCLKBOC,2.0170763,0.33364713,1,1
BCLKBOH,2.146883,0.4468884,1,1
BCLKBOOH,1.9550545,0.29853767,1,1
BCLKCCO,2.1371806,0.2966892,1,1
BCLKCO,2.1374831,0.2768482,1,1
BCLKCO2,1.9358156,0.21082151,1,1
BCLKCOH,2.2489104,0.31049168,1,1
BCLKCOOH,2.0275357,0.21539205,1,1
