name,x,y,label,filterlab
A2PAN,0.007178746,0.26585168,0,0
A2PANO,0.032294355,0.33836925,0,0
A2PANOO,0.024199508,0.32819533,0,0
ACBUOAOOH,-0.4031333,0.34227756,1,1
ACBUONANO3,3.0171223,0.35991412,3,3
ACBUONAOH,0.956539,0.37482876,2,2
ACBUONBOH,0.6483477,0.3431104,2,2
ACBUONBOOH,-0.458374,0.35329235,1,1
ACBUONEAO,2.995697,0.17022514,3,3
ACBUONEAO2,3.2098439,0.6392872,3,3
ACBUONEBO,2.985619,0.2210401,3,3
ACBUONEBO2,3.1202226,0.6265174,3,3
ACCOC3H6O,0.8189251,0.34200275,2,2
ACCOC3H6O2,3.1896024,0.58338803,3,3
ACCOCOC2H5,1.932691,0.4644708,-1,-1
ACCOCOEOOH,-0.46248725,0.355218,1,1
ACCOCOETO,1.334414,0.1630733,2,2
ACCOCOETO2,3.314548,0.59552675,3,3
ACCOCOMEO,1.0542144,0.30321193,2,2
ACCOCOMEO2,3.3182833,0.5977447,3,3
ACCOCOMOOH,-0.19815508,0.29729807,0,0
ACCOETO,0.83029616,0.32854426,2,2
ACCOETO2,3.1862483,0.53237057,3,3
ACCOETOOH,-0.41403094,0.32048026,1,1
ACCOMCOMO,0.789732,0.23232237,2,2
ACCOMCOMO2,3.055581,0.63140064,3,3
ACCOMECHO,-0.12100182,0.3364198,0,0
ACCOMECO3,-0.0012506619,0.28586528,0,0
ACCOMECO3H,-0.40736905,0.34879827,1,1
ACCOMEPAN,-0.11382327,0.29507494,0,0
ACCOPRONE,2.3368168,0.47417152,-1,-1
ACCOPROOH,-0.37906638,0.3065461,1,1
ACEBUTBONE,1.9885277,0.49159265,-1,-1
ACEBUTONE,2.2988315,0.43377286,-1,-1
ACEC2CHO,1.7045541,0.44948375,-1,-1
ACEC2H4NO3,3.000479,0.21293756,3,3
ACEC2H4OOH,-0.34884283,0.32859534,1,1
ACECOCOCH3,2.068242,0.3686243,-1,-1
ACEETOHO,0.83129525,0.319902,2,2
ACEETOHO2,3.0795941,0.6303415,3,3
ACEETOHOOH,-0.36121216,0.31644458,1,1
ACEPROPONE,2.655284,0.48724496,3,3
ACETC2CO2H,-0.29988912,0.30424565,1,1
ACETC2CO3,-0.03600029,0.32115093,0,0
ACETC2CO3H,-0.42196938,0.34455234,1,1
ACETC2H4O,0.65367854,0.3406816,2,2
ACETC2H4O2,-0.04040543,0.30324084,0,0
ACETC2PAN,-0.11628405,0.27095208,0,0
ACETCOC2H5,1.0471545,0.3869279,2,2
ACETCOC3H7,1.6336223,0.47547424,-1,-1
ACETETCHO,1.2601964,0.36780372,2,2
ACETMECO3,-0.0066754,0.3145219,0,0
ACETMECO3H,-0.43459454,0.3463619,1,1
ACETMEPAN,-0.084546484,0.28654927,0,0
ACETOL,0.003189467,0.33135676,0,0
ACLOO,3.4393964,0.114672445,3,3
ACLOOA,-0.12664565,0.35924163,0,0
ACO2H,-0.07901726,0.35220015,0,0
ACO3,0.19029996,0.3115031,-1,-1
ACO3H,-0.21117708,0.3662632,0,0
ACOMCOMOOH,-0.46822098,0.3381474,1,1
ACPRONEO,1.2625237,0.055361547,2,2
ACPRONEO2,3.3235145,0.56717163,3,3
ACPRONEOH,0.5356347,0.35335207,2,2
ACPRONEOOH,-0.47791728,0.36695373,1,1
ACR,-0.08745793,0.33499235,0,0
ACRO2,0.047677122,0.33729073,0,0
ACROO,3.89245,0.070553355,3,3
ACROOA,-0.14702049,0.3626619,0,0
ACRPAN,-0.05491648,0.29267156,0,0
ALC4DOLOOH,-0.20659551,0.35364485,0,0
ALCOCH2OOH,-0.45981845,0.34750712,1,1
ALCOMOXOOH,-0.37218466,0.3242299,1,1
ALLYLOH,0.5655791,0.3719878,2,2
APINANO3,3.5545459,0.18100259,3,3
APINAO,0.664252,0.33886486,2,2
APINAO2,3.160998,0.6113576,3,3
APINAOOH,-0.41255024,0.34075636,1,1
APINBCO,2.0772266,0.5027928,-1,-1
APINBNO3,3.1087127,0.21338284,3,3
APINBO,0.6874123,0.33520567,2,2
APINBO2,3.176594,0.6185782,3,3
APINBOH,0.45964798,0.33836013,-1,-1
APINBOO,3.5600905,0.11704213,3,3
APINBOOH,-0.41622528,0.34667397,1,1
APINCNO3,3.4440675,0.22892001,3,3
APINCO,1.8088881,0.38373932,-1,-1
APINCO2,3.2370768,0.6169554,3,3
APINCOH,-0.27689528,-1.9745936,-1,-1
APINCOOH,-0.4291846,0.35366702,1,1
APINENE,1.6717107,-1.7263217,-1,-1
APINOOA,-0.38422313,0.37926745,1,1
APINOOB,-0.3541452,0.36672378,1,1
BCAL,-0.1395643,0.30266094,0,0
BCALACO,1.9569532,0.4593532,-1,-1
BCALAO,0.16730163,0.2537324,-1,-1
BCALAO2,3.1369855,0.6133995,3,3
BCALAOH,0.6963393,0.34372,2,2
BCALAOOH,-0.3726962,0.32424602,1,1
BCALBCO,0.8861455,0.36882308,2,2
BCALBO,0.8870552,0.32912242,2,2
BCALBO2,3.2155764,0.5663879,3,3
BCALBOC,1.6160771,0.025072925,-1,-1
BCALBOH,0.5857344,0.33769202,2,2
BCALBOOH,-0.32793322,0.348621,1,1
BCALCCO,1.2299364,0.40214646,2,2
BCALCO,1.0997684,0.35988584,2,2
BCALCO2,3.128066,0.60080224,3,3
BCALCOH,0.5071135,0.3418717,2,2
BCALCOOH,-0.30117396,0.37729847,1,1
BCALNO3,1.3636866,0.35809213,2,2
BCALO,0.9353396,0.36386532,2,2
BCALO2,3.2225702,0.61022645,3,3
BCALOH,0.7936952,0.38398868,2,2
BCALOO,3.696273,0.16107297,3,3
BCALOOA,-0.39678517,0.36103052,1,1
BCALOOH,-0.47056308,0.3651364,1,1
BCANO3,3.563143,0.17301863,3,3
BCAO,0.82503676,0.3080745,2,2
BCAO2,3.2590194,0.5847671,3,3
BCAOH,0.5090003,0.32420364,2,2
BCAOO,2.7960002,0.40654427,3,3
BCAOOH,-0.39076468,0.33752495,1,1
BCARY,1.7463897,-1.7476212,-1,-1
