name,x,y,label,filterlab
A2PAN,0.20897871,-0.1552808,0,0
A2PANO,0.19017158,-0.16180986,0,0
A2PANOO,0.19217509,-0.1459279,0,0
ACBUOAOOH,0.052291147,0.102501474,1,1
ACBUONANO3,0.10185609,0.030322678,2,2
ACBUONAOH,-0.19556376,0.21723786,3,3
ACBUONBOH,-0.19556376,0.21723786,3,3
ACBUONBOOH,0.08309246,0.03552731,2,2
ACBUONEAO,-0.2085287,0.22149959,3,3
ACBUONEAO2,0.05970291,0.09503225,1,1
ACBUONEBO,-0.2085287,0.22149959,3,3
ACBUONEBO2,0.08904455,0.03500294,2,2
ACCOC3H6O,-0.2085287,0.22149959,3,3
ACCOC3H6O2,0.08904455,0.03500294,2,2
ACCOCOC2H5,-0.19556376,0.21723786,3,3
ACCOCOEOOH,-0.1936149,0.21880314,3,3
ACCOCOETO,-0.073167585,0.2838514,4,
ACCOCOETO2,-0.1819064,0.20702428,3,3
ACCOCOMEO,0.16646406,0.19030872,5,
ACCOCOMEO2,0.05970291,0.09503225,1,1
ACCOCOMOOH,0.052291147,0.102501474,1,1
ACCOETO,0.07881922,0.036537804,2,2
ACCOETO2,0.08904455,0.03500294,2,2
ACCOETOOH,0.08309246,0.03552731,2,2
ACCOMCOMO,0.16646406,0.19030872,5,
ACCOMCOMO2,0.14392695,0.27342093,6,
ACCOMECHO,0.0522402,0.10077781,1,1
ACCOMECO3,0.17038257,0.18524855,5,
ACCOMECO3H,0.16646406,0.19030872,5,
ACCOMEPAN,0.15614429,0.26192388,6,
ACCOPRONE,-0.117132984,0.4047098,7,
ACCOPROOH,0.07881922,0.036537804,2,2
ACEBUTBONE,-0.19556376,0.21723786,3,3
ACEBUTONE,-0.19556376,0.21723786,3,3
ACEC2CHO,-0.015583359,-0.06450308,8,8
ACEC2H4NO3,0.007939078,-0.098382585,8,8
ACEC2H4OOH,-0.004575767,-0.098468445,8,8
ACECOCOCH3,-0.117132984,0.4047098,7,
ACEETOHO,-0.008404501,-0.096141316,8,8
ACEETOHO2,-0.00092285173,-0.095238276,8,8
ACEETOHOOH,-0.004575767,-0.098468445,8,8
ACEPROPONE,-0.19556376,0.21723786,3,3
ACETC2CO2H,0.0522402,0.10077781,1,1
ACETC2CO3,0.05970291,0.09503225,1,1
ACETC2CO3H,0.052291147,0.102501474,1,1
ACETC2H4O,-0.008404501,-0.096141316,8,8
ACETC2H4O2,-0.00092285173,-0.095238276,8,8
ACETC2PAN,0.2078692,-0.16215128,0,0
ACETCOC2H5,-0.19556376,0.21723786,3,3
ACETCOC3H7,-0.19556376,0.21723786,3,3
ACETETCHO,-0.015583359,-0.06450308,8,8
ACETMECO3,0.088885196,0.039365493,2,2
ACETMECO3H,0.07881922,0.036537804,2,2
ACETMEPAN,0.2078692,-0.16215128,0,0
ACETOL,-0.008404501,-0.096141316,8,8
ACLOO,-0.102792494,-0.21633914,9,9
ACLOOA,-0.102792494,-0.21633914,9,9
ACO2H,-0.008404501,-0.096141316,8,8
ACO3,-0.00092285173,-0.095238276,8,8
ACO3H,-0.004575767,-0.098468445,8,8
ACOMCOMOOH,0.13885151,0.2886687,6,
ACPRONEO,-0.2085287,0.22149959,3,3
ACPRONEO2,0.05970291,0.09503225,1,1
ACPRONEOH,-0.19556376,0.21723786,3,3
ACPRONEOOH,0.052291147,0.102501474,1,1
ACR,-0.102792494,-0.21633914,9,9
ACRO2,0.101147585,-0.27037004,10,10
ACROO,-0.102792494,-0.21633914,9,9
ACROOA,-0.102792494,-0.21633914,9,9
ACRPAN,0.011043705,-0.095187105,8,8
ALC4DOLOOH,0.097805984,-0.28232262,10,10
ALCOCH2OOH,0.19581516,-0.1655029,0,0
ALCOMOXOOH,0.19581516,-0.1655029,0,0
ALLYLOH,-0.102792494,-0.21633914,9,9
APINANO3,-0.54005283,-0.073686324,11,11
APINAO,-0.5549102,-0.071859874,11,11
APINAO2,-0.5266168,-0.07331882,11,11
APINAOOH,-0.53765315,-0.07361504,11,11
APINBCO,-0.3052759,-0.15096712,12,12
APINBNO3,-0.54005283,-0.073686324,11,11
APINBO,-0.54005283,-0.073686324,11,11
APINBO2,-0.5266168,-0.07331882,11,11
APINBOH,-0.54005283,-0.073686324,11,11
APINBOO,-0.22025287,-0.019291736,13,13
APINBOOH,-0.53765315,-0.07361504,11,11
APINCNO3,-0.5255264,-0.072536774,11,11
APINCO,-0.5549102,-0.071859874,11,11
APINCO2,-0.5103392,-0.074550875,11,11
APINCOH,-0.54005283,-0.073686324,11,11
APINCOOH,-0.52023906,-0.07342983,11,11
APINENE,-0.54005283,-0.073686324,11,11
APINOOA,-0.3052759,-0.15096712,12,12
APINOOB,-0.22025287,-0.019291736,13,13
BCAL,-0.5143427,0.1615026,14,
BCALACO,-0.4557696,0.34401226,15,
BCALAO,-0.52733,0.1678504,14,
BCALAO2,-0.49449193,0.15504375,14,
BCALAOH,-0.5143427,0.1615026,14,
BCALAOOH,-0.5124039,0.16503847,14,
BCALBCO,-0.22025287,-0.019291736,13,13
BCALBO,-0.22025287,-0.019291736,13,13
BCALBO2,-0.21162564,-0.022691406,13,13
BCALBOC,-0.46095088,0.073342554,16,
BCALBOH,-0.22025287,-0.019291736,13,13
BCALBOOH,-0.21801844,-0.019762538,13,13
BCALCCO,-0.4557696,0.34401226,15,
BCALCO,-0.52733,0.1678504,14,
BCALCO2,-0.43873343,0.33052605,15,
BCALCOH,-0.5143427,0.1615026,14,
BCALCOOH,-0.45364034,0.34659776,15,
BCALNO3,-0.5143427,0.1615026,14,
BCALO,-0.52733,0.1678504,14,
BCALO2,-0.49449193,0.15504375,14,
BCALOH,-0.5143427,0.1615026,14,
BCALOO,-0.5143427,0.1615026,14,
BCALOOA,-0.5143427,0.1615026,14,
BCALOOH,-0.5143427,0.1615026,14,
BCANO3,-0.3052759,-0.15096712,12,12
BCAO,-0.81153697,0.017435275,17,
BCAO2,-0.2999005,-0.14764804,12,12
BCAOH,-0.79381484,0.016964175,17,
BCAOO,-0.54005283,-0.073686324,11,11
BCAOOH,-0.30151808,-0.15389535,12,12
BCARY,-0.54005283,-0.073686324,11,11
BCBCO,-0.71486276,0.17952663,-1,
BCBNO3,-0.54005283,-0.073686324,11,11
BCBO,-0.81153697,0.017435275,17,
BCBO2,-0.5266168,-0.07331882,11,11
BCBOCOO,-0.46095088,0.073342554,16,
BCBOO,-0.5143427,0.1615026,14,
BCBOOA,-0.46095088,0.073342554,16,
BCBOOH,-0.53765315,-0.07361504,11,11
BCCNO3,-0.09808534,-0.21107733,9,9
BCCO,-0.3106355,-0.14628619,12,12
BCCO2,-0.29272223,-0.14603168,12,12
BCCOH,-0.29739782,-0.14707488,12,12
BCCOOH,-0.29739782,-0.14707488,12,12
BCKANO3,-0.22025287,-0.019291736,13,13
BCKAO,-0.5549102,-0.071859874,11,11
BCKAO2,-0.21162564,-0.022691406,13,13
BCKAOH,-0.54005283,-0.073686324,11,11
BCKAOO,-0.46095088,0.073342554,16,
BCKAOOH,-0.21801844,-0.019762538,13,13
BCKBCO,-0.46095088,0.073342554,16,
BCKBNO3,-0.46095088,0.073342554,16,
BCKBO,-0.5549102,-0.071859874,11,11
BCKBO2,-0.4465106,0.06375142,16,
BCKBOO,-0.14511737,0.122415,18,18
BCKBOOH,-0.4606222,0.075703345,16,
BCKET,-0.46095088,0.073342554,16,
BCKOOA,-0.46095088,0.073342554,16,
BCKOOB,-0.14511737,0.122415,18,18
BCKSOZ,-0.3052759,-0.15096712,12,12
BCKSZOO,-0.3052759,-0.15096712,12,12
BCLKACO,-0.3736454,0.525197,19,
BCLKAO,-0.4688239,0.34837076,15,
BCLKAO2,-0.43873343,0.33052605,15,
BCLKAOH,-0.4557696,0.34401226,15,
BCLKAOOH,-0.45364034,0.34659776,15,
BCLKBCO,-0.14511737,0.122415,18,18
BCLKBO,-0.14511737,0.122415,18,18
BCLKBO2,-0.13092032,0.11426463,18,18
BCLKBOC,-0.3831693,0.22483194,20,
BCLKBOH,-0.14511737,0.122415,18,18
BCLKBOOH,-0.14078462,0.122192286,18,18
BCLKCCO,-0.3736454,0.525197,19,
BCLKCO,-0.4688239,0.34837076,15,
BCLKCO2,-0.36020678,0.50392324,19,
BCLKCOH,-0.4557696,0.34401226,15,
BCLKCOOH,-0.36967888,0.5261814,19,
BCLKET,-0.4557696,0.34401226,15,
BCOOA,-0.54005283,-0.073686324,11,11
BCOOB,-0.5143427,0.1615026,14,
