name,x,y,label,filterlab
A2PAN,0.23118809,0.4095166,0,0
A2PANO,-0.17352802,0.49394578,0,0
A2PANOO,-0.1312015,0.524807,0,0
ACBUOAOOH,-0.046533234,0.1768395,0,0
ACBUONANO3,0.11901193,0.2667912,0,0
ACBUONAOH,-0.07590375,0.13770357,0,0
ACBUONBOH,-0.07590375,0.13770357,0,0
ACBUONBOOH,-0.046533234,0.1768395,0,0
ACBUONEAO,-0.18988621,0.28815153,0,0
ACBUONEAO2,-0.15285599,0.31846592,0,0
ACBUONEBO,-0.18988621,0.28815153,0,0
ACBUONEBO2,-0.15285599,0.31846592,0,0
ACCOC3H6O,-0.18988621,0.28815153,0,0
ACCOC3H6O2,-0.15285599,0.31846592,0,0
ACCOCOC2H5,-0.03306482,0.1584594,0,0
ACCOCOEOOH,0.034747146,0.22497264,0,0
ACCOCOETO,-0.07208625,0.32511327,0,0
ACCOCOETO2,-0.046755172,0.34816468,0,0
ACCOCOMEO,-0.064375766,0.38618252,0,0
ACCOCOMEO2,-0.03856068,0.41215512,0,0
ACCOCOMOOH,0.06029003,0.2666634,0,0
ACCOETO,-0.2061368,0.35602024,0,0
ACCOETO2,-0.16490838,0.39152116,0,0
ACCOETOOH,-0.0298099,0.2191185,0,0
ACCOMCOMO,-0.10624472,0.3349808,0,0
ACCOMCOMO2,-0.07891173,0.3626517,0,0
ACCOMECHO,-0.0109824315,0.19517133,0,0
ACCOMECO3,-0.03856068,0.41215512,0,0
ACCOMECO3H,0.06029003,0.2666634,0,0
ACCOMEPAN,0.19774532,0.36275533,0,0
ACCOPRONE,-0.03306482,0.1584594,0,0
ACCOPROOH,-0.046533234,0.1768395,0,0
ACEBUTBONE,-0.15963927,0.076405436,0,0
ACEBUTONE,-0.15963927,0.076405436,0,0
ACEC2CHO,-0.16386417,0.101564914,0,0
ACEC2H4NO3,0.15111229,0.32085153,0,0
ACEC2H4OOH,-0.12506157,0.20509896,0,0
ACECOCOCH3,0.017613195,0.19501284,0,0
ACEETOHO,-0.22637698,0.40946767,0,0
ACEETOHO2,-0.18072623,0.44496545,0,0
ACEETOHOOH,-0.024645634,0.24695048,0,0
ACEPROPONE,-0.09749556,0.11934808,0,0
ACETC2CO2H,-0.0590233,0.1711376,0,0
ACETC2CO3,-0.16490838,0.39152116,0,0
ACETC2CO3H,-0.0298099,0.2191185,0,0
ACETC2H4O,-0.40357202,0.3938654,0,0
ACETC2H4O2,-0.33081686,0.44376624,0,0
ACETC2PAN,0.16391894,0.33904067,0,0
ACETCOC2H5,-0.09749556,0.11934808,0,0
ACETCOC3H7,-0.15963927,0.076405436,0,0
ACETETCHO,-0.08893824,0.1633614,0,0
ACETMECO3,-0.117387325,0.46002942,0,0
ACETMECO3H,0.029095553,0.26613143,0,0
ACETMEPAN,0.20740765,0.3799009,0,0
ACETOL,-0.15067828,0.11990133,0,0
ACLOO,-0.74636173,1.2560494,0,0
ACLOOA,-0.74636173,1.2560494,0,0
ACO2H,-0.058485158,0.16227683,0,0
ACO3,-0.25578308,0.53790224,0,0
ACO3H,-0.008531041,0.23543951,0,0
ACOMCOMOOH,0.01426705,0.23034343,0,0
ACPRONEO,-0.14553398,0.3405184,0,0
ACPRONEO2,-0.1094187,0.36891535,0,0
ACPRONEOH,-0.021917589,0.17230478,0,0
ACPRONEOOH,0.005016856,0.21154419,0,0
ACR,-0.28181282,0.0366745,0,0
ACRO2,-0.27692762,0.55081666,0,0
ACROO,-0.8566621,1.3299558,0,0
ACROOA,-0.8566621,1.3299558,0,0
ACRPAN,0.23073345,0.3954633,0,0
ALC4DOLOOH,-0.08634619,0.2008039,0,0
ALCOCH2OOH,0.02242022,0.29970506,0,0
ALCOMOXOOH,0.040286995,0.35561052,0,0
ALLYLOH,-0.4483823,-0.04472235,0,0
APINANO3,1.0898088,-1.5656149,1,1
APINAO,1.0498322,-1.9665074,1,1
APINAO2,1.0880367,-1.93152,1,1
APINAOOH,0.9962855,-1.8309419,1,1
APINBCO,0.9802448,-1.8308393,1,1
APINBNO3,1.0898088,-1.5656149,1,1
APINBO,1.0498322,-1.9665074,1,1
APINBO2,1.0880367,-1.93152,1,1
APINBOH,0.9578083,-1.8648771,1,1
APINBOO,0.2177408,-0.5796025,2,2
APINBOOH,0.9962855,-1.8309419,1,1
APINCNO3,0.122522585,-0.24168643,2,2
APINCO,0.015353404,-0.52464163,2,2
APINCO2,0.071665965,-0.43797722,2,2
APINCOH,-0.06258825,-0.45353135,2,2
APINCOOH,0.0050953254,-0.37638298,2,2
APINENE,0.9215285,-2.0575707,1,1
APINOOA,0.2177408,-0.5796025,2,2
APINOOB,0.2177408,-0.5796025,2,2
BCAL,-0.10567311,-0.42808905,2,2
BCALACO,-0.036289252,-0.34759095,2,2
BCALAO,-0.016936399,-0.39870682,2,2
