name,x,y,label,filterlab
A2PAN,-0.19873312,-0.78353375,-1,-1
A2PANO,-0.26020327,-0.73011166,-1,-1
A2PANOO,-0.31174758,-0.66833735,-1,-1
ACBUOAOOH,-0.1291894,-0.09859664,0,0
ACBUONANO3,-0.18202105,-0.30208713,0,0
ACBUONAOH,-0.11075619,-0.23345587,0,0
ACBUONBOH,-0.025088936,-0.14180756,0,0
ACBUONBOOH,-0.052799493,-0.11109028,0,0
ACBUONEAO,0.16480109,-0.16243768,0,0
ACBUONEAO2,0.117798775,-0.112198584,0,0
ACBUONEBO,0.2475948,-0.08422486,0,0
ACBUONEBO2,0.19850329,-0.03658008,0,0
ACCOC3H6O,-1.3214676,0.12001265,-1,-1
ACCOC3H6O2,-1.4188652,0.19302261,-1,-1
ACCOCOC2H5,-1.4286896,0.4337854,-1,-1
ACCOCOEOOH,-0.34227327,0.21355444,0,0
ACCOCOETO,0.07167396,0.328725,0,0
ACCOCOETO2,0.026778966,0.37932664,0,0
ACCOCOMEO,-0.24323276,0.19658458,0,0
ACCOCOMEO2,-0.2875109,0.251293,0,0
ACCOCOMOOH,-0.70674765,0.15396667,0,0
ACCOETO,0.22117773,0.33643937,0,0
ACCOETO2,0.1605111,0.3926611,0,0
ACCOETOOH,0.102925986,0.36203074,0,0
ACCOMCOMO,-0.61241186,0.08821493,0,0
ACCOMCOMO2,-0.6550765,0.13647395,0,0
ACCOMECHO,-0.25474432,0.23459554,0,0
ACCOMECO3,-0.34293762,0.21553308,0,0
ACCOMECO3H,-0.36835518,0.25548247,0,0
ACCOMEPAN,0.029013127,-0.34674332,0,0
ACCOPRONE,-0.06324461,-0.38063982,0,0
ACCOPROOH,-0.52764547,-0.41650075,0,0
ACEBUTBONE,0.55089295,0.14563522,0,0
ACEBUTONE,0.5380076,0.1985952,0,0
ACEC2CHO,-0.3010353,0.2528222,0,0
ACEC2H4NO3,-0.4546025,0.22550875,0,0
ACEC2H4OOH,-0.37547442,0.41519225,0,0
ACECOCOCH3,-0.48015836,0.23729792,0,0
ACEETOHO,0.42196843,0.37476364,0,0
ACEETOHO2,0.3634914,0.41855913,0,0
ACEETOHOOH,0.2871636,0.3832595,0,0
ACEPROPONE,0.22500214,-0.37869108,0,0
ACETC2CO2H,0.019612044,0.45499426,0,0
ACETC2CO3,-0.056375414,0.3967686,0,0
ACETC2CO3H,-0.0933117,0.42902264,0,0
ACETC2H4O,0.057976693,0.49483222,0,0
ACETC2H4O2,0.024706572,0.52211607,0,0
ACETC2PAN,0.25894967,-0.13641721,0,0
ACETCOC2H5,0.09667465,0.4143414,0,0
ACETCOC3H7,-0.18388626,0.34924814,0,0
ACETETCHO,0.48353717,0.46661192,0,0
ACETMECO3,0.25158837,0.3911662,0,0
ACETMECO3H,0.18775323,0.41631907,0,0
ACETMEPAN,0.45303956,-0.037352137,0,0
ACETOL,0.414183,0.32420212,0,0
ACLOO,-0.3808253,-0.049479283,0,0
ACLOOA,-0.2912599,-0.22649679,0,0
ACO2H,-0.68101394,0.028657146,0,0
ACO3,-0.73954844,-0.14905408,0,0
ACO3H,-0.7179519,-0.025445469,0,0
ACOMCOMOOH,-0.54640317,0.13565385,0,0
ACPRONEO,0.00090608,-0.41096473,0,0
ACPRONEO2,-0.05245951,-0.3563819,0,0
ACPRONEOH,-0.059009343,-0.363891,0,0
ACPRONEOOH,-0.09924474,-0.32060087,0,0
ACR,-0.5029807,-0.50214547,0,0
ACRO2,-0.5899192,-0.35650724,0,0
ACROO,-0.56347203,-0.36952597,0,0
ACROOA,-0.44898668,-0.4492057,0,0
ACRPAN,-0.22763947,-0.80834025,0,0
ALC4DOLOOH,-0.38540998,0.11231532,0,0
ALCOCH2OOH,-0.6291796,0.2915369,0,0
ALCOMOXOOH,-0.27421358,0.1159671,0,0
ALLYLOH,-0.16166785,0.041110277,0,0
APINANO3,-0.31068018,-0.80713683,0,0
APINAO,-0.23661402,-0.87076,0,0
APINAO2,-0.28305557,-0.81081045,0,0
APINAOOH,-0.3034524,-0.72991234,0,0
APINBCO,-0.16646162,-0.7316682,0,0
APINBNO3,-0.22811142,-0.71330607,0,0
APINBO,-0.10519865,-0.7577864,0,0
APINBO2,-0.14933923,-0.6933393,0,0
APINBOH,-0.15672997,-0.68329364,0,0
APINBOO,-0.1416941,-0.68983585,0,0
APINBOOH,-0.1858677,-0.6222966,0,0
APINCNO3,-0.40011504,-0.7648379,0,0
APINCO,-0.32896855,-0.84109104,0,0
APINCO2,-0.3851687,-0.7742941,0,0
APINCOH,-0.35510865,-0.7434639,0,0
APINCOOH,-0.3917394,-0.67481965,0,0
APINENE,0.3947446,-0.483638,0,0
APINOOA,-0.27444604,-0.80731946,0,0
APINOOB,-0.1416941,-0.68983585,0,0
BCAL,-0.05517152,-0.17391711,0,0
BCALACO,-0.16885594,-0.23296914,0,0
BCALAO,-0.07651499,-0.26436132,0,0
BCALAO2,-0.1417171,-0.19736814,0,0
BCALAOH,-0.13600627,-0.20292059,0,0
BCALAOOH,-0.16502026,-0.16642296,0,0
BCALBCO,-0.080485135,-0.11101168,0,0
BCALBO,0.023278087,-0.13652518,0,0
BCALBO2,-0.047619075,-0.07531672,0,0
BCALBOC,-0.080485135,-0.11101168,0,0
BCALBOH,-0.036290318,-0.0852974,0,0
BCALBOOH,-0.06956151,-0.05534608,0,0
BCALCCO,-0.33524528,-0.047763966,0,0
BCALCO,-0.2252852,-0.0881016,0,0
BCALCO2,-0.29930905,-0.011726581,0,0
BCALCOH,-0.2755542,-0.013545044,0,0
BCALCOOH,-0.30158797,0.01831372,0,0
BCALNO3,-0.2851924,-0.18862128,0,0
BCALO,-0.0991123,-0.12528351,0,0
BCALO2,-0.18568859,-0.04524062,0,0
BCALOH,-0.16431299,-0.052848272,0,0
BCALOO,-0.14224389,-0.0811441,0,0
BCALOOA,-0.11356035,-0.22294387,0,0
BCALOOH,-0.1958256,-0.016683467,0,0
BCANO3,-0.39943495,-0.2875696,0,0
BCAO,-0.22601917,-0.23857278,0,0
BCAO2,-0.31563714,-0.14582127,0,0
BCAOH,-0.27848652,-0.13763374,0,0
BCAOO,-0.27397957,-0.17888573,0,0
BCAOOH,-0.3122069,-0.090934254,0,0
BCARY,-0.20975998,-0.27156577,0,0
BCBCO,-0.3076661,-0.018618219,0,0
BCBNO3,-0.3046513,-0.12518388,0,0
BCBO,-0.19782767,-0.061066203,0,0
BCBO2,-0.29730198,0.002686374,0,0
BCBOCOO,-0.39272216,0.031297423,0,0
BCBOO,-0.24936411,-0.02923783,0,0
BCBOOA,-0.10173997,-0.17229313,0,0
BCBOOH,-0.28033158,0.044330664,0,0
BCCNO3,-0.6419523,-0.03014823,0,0
BCCO,-0.5855913,0.07474739,0,0
BCCO2,-0.7044567,0.16556382,0,0
BCCOH,-0.6130109,0.22323096,0,0
BCCOOH,-0.6414894,0.23236868,0,0
BCKANO3,-0.3236666,-0.19494402,0,0
BCKAO,-0.17139593,-0.13090691,0,0
BCKAO2,-0.21858504,-0.06290539,0,0
BCKAOH,-0.2245647,-0.08235795,0,0
BCKAOO,-0.1967,-0.0946831,0,0
BCKAOOH,-0.24279824,-0.0509009,0,0
BCKBCO,-0.19715253,0.0020145401,0,0
BCKBNO3,-0.23297587,-0.083527826,0,0
BCKBO,-0.11185011,-0.015919037,0,0
BCKBO2,-0.16487351,0.036500506,0,0
BCKBOO,-0.1423842,0.008435063,0,0
BCKBOOH,-0.17916009,0.04421919,0,0
BCKET,0.37667415,0.30144274,0,0
BCKOOA,-0.1967,-0.0946831,0,0
BCKOOB,-0.1423842,0.008435063,0,0
BCKSOZ,-0.16051736,-0.050216354,0,0
BCKSZOO,-0.18317953,-0.029707469,0,0
BCLKACO,-0.1938285,-0.059836544,0,0
BCLKAO,-0.09774771,-0.079152845,0,0
BCLKAO2,-0.14991382,-0.019119151,0,0
BCLKAOH,-0.15601888,-0.03891339,0,0
BCLKAOOH,-0.17366579,-0.0121763125,0,0
BCLKBCO,-0.13815936,0.03438638,0,0
BCLKBO,-0.05438915,0.018581562,0,0
BCLKBO2,-0.10990515,0.06674497,0,0
BCLKBOC,-0.13815936,0.03438638,0,0
BCLKBOH,-0.101246566,0.051810972,0,0
BCLKBOOH,-0.12579075,0.07067341,0,0
BCLKCCO,-0.35040203,0.10057517,0,0
BCLKCO,-0.26511255,0.08185516,0,0
BCLKCO2,-0.31464282,0.13804299,0,0
BCLKCOH,-0.29952493,0.12475074,0,0
BCLKCOOH,-0.31677333,0.1425907,0,0
BCLKET,0.38889644,0.2979376,0,0
BCOOA,-0.27397957,-0.17888573,0,0
BCOOB,-0.24936411,-0.02923783,0,0
BCSOZ,-0.20175901,-0.06799609,0,0
BCSOZNO3,-0.31443527,-0.090014406,0,0
BCSOZO,-0.2331585,-0.043335102,0,0
BCSOZO2,-0.2812442,0.00040847808,0,0
BCSOZOH,-0.2396802,0.013364531,0,0
BCSOZOOH,-0.26939848,0.030572012,0,0
BENZAL,0.30524257,-0.20395091,0,0
BENZENE,0.51128745,-0.043279618,0,0
BIACET,0.39020017,-0.0035431162,0,0
BIACETO,0.34717652,0.015551202,0,0
BIACETO2,0.2953966,0.06917753,0,0
BIACETOH,0.26595166,0.044147395,0,0
BIACETOOH,0.22977999,0.058803745,0,0
BOCOCH2OOH,-0.8037299,0.39070982,0,0
BOX2COMOH,-0.30275336,0.20359209,0,0
