name,x,y,label,filterlab
A2PAN,5.8425531342257315,-5.996732858368422,2,2
A2PANO,-4.74473581256038,-2.6524637437517318,7,7
A2PANOO,-2.149143411198751,-3.47456681229617,2,2
ACBUOAOOH,1.1051594764040333,-2.831257568223518,2,2
ACBUONANO3,6.263999407822444,-4.326247892332505,2,2
ACBUONAOH,-1.659497294515122,-1.7819465127808096,2,2
ACBUONBOH,-1.659497294515122,-1.7819465127808096,2,2
ACBUONBOOH,1.1051594764040333,-2.831257568223518,2,2
ACBUONEAO,-1.7276971376020602,-1.8040818462597346,2,2
ACBUONEAO2,1.0369596333170956,-2.853392901702443,2,2
ACBUONEBO,-1.7276971376020602,-1.8040818462597346,2,2
ACBUONEBO2,1.0369596333170956,-2.853392901702443,2,2
ACCOC3H6O,-1.896761507159585,-1.5768738593615073,2,2
ACCOC3H6O2,0.8678952637595705,-2.626184914804215,2,2
ACCOCOC2H5,-2.0936120314991356,-1.4665912487254626,2,2
ACCOCOEOOH,3.461376650687215,-3.1188673386222736,2,2
ACCOCOETO,0.6285200366811217,-2.09169161665849,2,2
ACCOCOETO2,3.3931768076002777,-3.1410026721011977,2,2
ACCOCOMEO,-0.5162479131693701,-2.5595527306367947,2,2
ACCOCOMEO2,2.2484088577497836,-3.6088637860795023,2,2
ACCOCOMOOH,2.316608700836722,-3.5867284526005787,2,2
ACCOETO,-3.0415294570100753,-2.044734973339813,2,2
ACCOETO2,-0.2768726860909213,-3.0940460287825218,2,2
ACCOETOOH,-0.20867284300398334,-3.071910695303597,2,2
ACCOMCOMO,0.6710447394200201,-2.51590230416817,2,2
ACCOMCOMO2,3.4357015103391753,-3.5652133596108793,2,2
ACCOMECHO,-3.2383799813496257,-1.9344523627037675,2,2
ACCOMECO3,2.0793444881922594,-3.381655799181276,2,2
ACCOMECO3H,2.1475443312791973,-3.359520465702351,2,2
ACCOMEPAN,10.071041033616766,-5.903821845254049,4,4
ACCOPRONE,-2.0936120314991356,-1.4665912487254626,2,2
ACCOPROOH,0.9360951068465087,-2.604049581325291,2,2
ACEBUTBONE,-4.449829205782315,-1.178981478326708,7,7
ACEBUTONE,-4.449829205782315,-1.178981478326708,7,7
ACEC2CHO,-5.594597155632804,-1.6468425923050114,7,7
ACEC2H4NO3,1.4066572615418516,-4.3229416754824515,2,2
ACEC2H4OOH,-3.7521826698765537,-2.827951351373464,2,2
ACECOCOCH3,-3.2809046840885236,-1.5102416751940855,7,7
ACEETOHO,-3.7947073726154517,-2.4037406638637875,7,7
ACEETOHO2,-1.0300506016962983,-3.4530517193064925,2,2
ACEETOHOOH,-0.9618507586093602,-3.4309163858275693,2,2
ACEPROPONE,-5.637121858371702,-1.2226319047953322,7,7
ACETC2CO2H,-2.8042652443656135,-2.2498076267591145,2,2
ACETC2CO3,-0.2768726860909213,-3.0940460287825218,2,2
ACETC2CO3H,-0.20867284300398334,-3.071910695303597,2,2
ACETC2H4O,-6.5850392838826455,-1.8007756294096828,7,7
ACETC2H4O2,-3.820382512963491,-2.85008668485239,7,7
ACETC2PAN,7.714823859333581,-5.616212074855292,4,4
ACETCOC2H5,-5.806186227929228,-0.9954239178971058,7,7
ACETCOC3H7,-4.618893575339839,-0.951773491428481,7,7
ACETETCHO,-6.781889808222195,-1.6904930187736376,7,7
ACETMECO3,-1.4641653386803122,-3.1376964552511453,2,2
ACETMECO3H,-1.395965495593374,-3.1155611217722208,2,2
ACETMEPAN,6.527531206744191,-5.659862501323917,4,4
ACETOL,-10.299724494746728,-1.000187653854905,7,7
ACLOO,-6.982772924785795,-2.088530687112795,7,7
ACLOOA,-6.982772924785795,-2.088530687112795,7,7
ACO2H,-10.496575019086277,-0.8899050432188589,7,7
ACO3,-7.969182460811588,-1.7341434452422626,7,7
ACO3H,-7.900982617724648,-1.7120081117633397,7,7
ACOMCOMOOH,3.5039013534261136,-3.5430780261319543,2,2
ACPRONEO,-2.9149897901914494,-1.8477322727283594,2,2
ACPRONEO2,-0.15033301927229492,-2.8970433281710677,2,2
ACPRONEOH,-2.8467899471045115,-1.8255969392494336,2,2
ACPRONEOOH,-0.0821331761853569,-2.8749079946921436,2,2
ACR,-13.286906930353469,-0.28694000876475834,7,7
ACRO2,-4.770410952908418,-3.09880976474032,7,7
ACROO,-9.969955360392538,-1.3752830420226465,7,7
ACROOA,-9.969955360392538,-1.3752830420226465,7,7
ACRPAN,0.022514084612912252,-4.25630949131503,2,2
ALC4DOLOOH,0.46270610662449263,-3.592338612778246,2,2
ALCOCH2OOH,-4.967261477247969,-2.9885271541042755,7,7
ALCOMOXOOH,-2.371669075886341,-3.8106302226487556,2,2
ALLYLOH,-13.021856562926978,-0.37508728592187485,7,7
APINANO3,5.161484857081823,9.71184450221603,3,3
APINAO,-2.8302116883426747,12.234010548288799,3,3
APINAO2,-0.06555491742352064,11.184699492846084,3,3
APINAOOH,0.002644925663417362,11.20683482632501,3,3
APINBCO,-3.0270622126822264,12.344293158924843,3,3
APINBNO3,5.161484857081823,9.71184450221603,3,3
APINBO,-2.8302116883426747,12.234010548288799,3,3
APINBO2,-0.06555491742352064,11.184699492846084,3,3
APINBOH,-2.7620118452557376,12.256145881767717,3,3
APINBOO,0.1703103035959191,4.3123609445982956,1,1
APINBOOH,0.002644925663417362,11.20683482632501,3,3
APINCNO3,4.423914925608618,5.411118358636963,1,1
APINCO,-3.5677816198158814,7.9332844047097355,6,6
APINCO2,-0.8031248488967265,6.883973349267029,1,1
APINCOH,-3.499581776728943,7.955419738188661,6,6
APINCOOH,-0.7349250058097888,6.906108682745953,1,1
APINENE,-8.498263396915904,13.190422651077169,6,6
APINOOA,0.1703103035959191,4.3123609445982956,1,1
APINOOB,0.1703103035959191,4.3123609445982956,1,1
BCAL,2.550446769503489,6.15344940834503,1,1
BCALACO,5.075728313344199,5.638631651048048,1,1
BCALAO,5.2725788376837475,5.528349040412002,1,1
BCALAO2,8.037235608602902,4.479037984969296,0,0
BCALAOH,5.340778680770684,5.550484373890929,1,1
BCALAOOH,8.105435451689837,4.501173318448222,0,0
BCALBCO,5.118253016083095,5.214420963538368,1,1
BCALBO,5.315103540422647,5.104138352902327,1,1
BCALBO2,8.079760311341797,4.054827297459614,0,0
BCALBOC,5.14603917086512,5.331346339800549,1,1
BCALBOH,5.383303383509583,5.126273686381248,1,1
BCALBOOH,8.147960154428736,4.07696263093854,0,0
BCALCCO,5.075728313344199,5.638631651048048,1,1
BCALCO,5.2725788376837475,5.528349040412002,1,1
BCALCO2,8.037235608602902,4.479037984969296,0,0
BCALCOH,5.340778680770684,5.550484373890929,1,1
BCALCOOH,8.105435451689837,4.501173318448222,0,0
BCALNO3,16.204782647724354,1.972104835772976,0,0
BCALO,8.213086102299854,4.494270881845748,0,0
BCALO2,10.977742873219007,3.4449598264030383,0,0
BCALOH,8.281285945386793,4.516406215324673,0,0
BCALOO,7.444762457794187,3.972144893175809,0,0
BCALOOA,7.444762457794187,3.972144893175809,0,0
BCALOOH,11.045942716305943,3.467095159881964,0,0
BCANO3,9.053754718349882,14.331819788301548,3,3
BCAO,1.062058172925385,16.853985834374317,3,3
BCAO2,3.82671494384454,15.80467477893161,3,3
BCAOH,1.1302580160123228,16.876121167853245,3,3
BCAOO,5.867398339464423,5.065106375087144,0,0
BCAOOH,3.8949147869314777,15.826810112410538,3,3
BCARY,-4.605993535647841,17.810397937162687,3,3
BCBCO,0.8652076485858348,16.96426844501036,3,3
BCBNO3,9.053754718349882,14.331819788301548,3,3
BCBO,1.062058172925385,16.853985834374317,3,3
BCBO2,3.82671494384454,15.80467477893161,3,3
BCBOCOO,10.040354859155816,3.1500418246313284,0,0
BCBOO,5.867398339464423,5.065106375087144,0,0
BCBOOA,10.040354859155816,3.1500418246313284,0,0
BCBOOH,3.8949147869314777,15.826810112410538,3,3
BCCNO3,9.126905141960735,13.350338573973097,3,3
BCCO,1.135208596536235,15.87250462004587,3,3
BCCO2,3.89986536745539,14.823193564603162,3,3
BCCOH,1.2034084396231721,15.894639953524791,3,3
BCCOOH,3.968065210542328,14.845328898082082,3,3
BCKANO3,10.631118836679649,13.238858306390215,3,3
BCKAO,2.6394222912551495,15.761024352462988,3,3
BCKAO2,5.404079062174302,14.711713297020275,3,3
BCKAOH,2.707622134342087,15.783159685941909,3,3
BCKAOO,7.444762457794187,3.972144893175809,0,0
BCKAOOH,5.47227890526124,14.733848630499201,3,3
BCKBCO,2.4425717669156004,15.871306963099025,3,3
BCKBNO3,10.631118836679649,13.238858306390215,3,3
BCKBO,2.6394222912551495,15.761024352462988,3,3
BCKBO2,5.404079062174302,14.711713297020275,3,3
BCKBOO,7.444762457794187,3.972144893175809,0,0
BCKBOOH,5.47227890526124,14.733848630499201,3,3
BCKET,-3.0286294173180757,16.717436455251352,3,3
BCKOOA,7.444762457794187,3.972144893175809,0,0
BCKOOB,7.444762457794187,3.972144893175809,0,0
BCKSOZ,4.295516638119831,20.195627078850173,3,3
BCKSZOO,7.612468208080766,19.10728404559228,3,3
BCLKACO,6.6530924316739615,4.545670169136714,0,0
BCLKAO,6.8499429560135106,4.435387558500668,0,0
BCLKAO2,9.614599726932667,3.3860765030579625,0,0
BCLKAOH,6.9181427991004485,4.457522891979594,0,0
BCLKAOOH,9.6827995700196,3.4082118365368905,0,0
BCLKBCO,6.695617134412861,4.121459481627035,0,0
BCLKBO,6.892467658752407,4.011176870990989,0,0
BCLKBO2,9.657124429671565,2.9618658155482813,0,0
BCLKBOC,6.723403289194883,4.238384857889217,0,0
BCLKBOH,6.960667501839348,4.0333122044699135,0,0
BCLKBOOH,9.7253242727585,2.9840011490272085,0,0
BCLKCCO,6.6530924316739615,4.545670169136714,0,0
BCLKCO,6.8499429560135106,4.435387558500668,0,0
BCLKCO2,9.614599726932667,3.3860765030579625,0,0
BCLKCOH,6.9181427991004485,4.457522891979594,0,0
BCLKCOOH,9.6827995700196,3.4082118365368905,0,0
BCLKET,4.127810887833254,5.060487926433696,1,1
BCOOA,5.867398339464423,5.065106375087144,0,0
BCOOB,5.867398339464423,5.065106375087144,0,0
BCSOZ,2.7181525197900647,21.288588560761507,3,3
BCSOZNO3,16.45105119739864,16.82852919757191,3,3
BCSOZO,8.459354651974145,19.350695243644676,3,3
BCSOZO2,11.224011422893302,18.30138418820197,3,3
BCSOZOH,8.527554495061084,19.37283057712361,3,3
BCSOZOOH,11.292211265980237,18.323519521680893,3,3
BENZAL,-10.232517638179763,6.245592701465949,6,6
BENZENE,-13.95481522753645,6.745352397551996,6,6
BIACET,-9.420006912322725,-0.44417926271947733,7,7
BIACETO,-6.655350141403568,-1.493490318162184,7,7
BIACETO2,-3.8906933704844153,-2.5428013736048936,7,7
BIACETOH,-6.58715029831663,-1.47135498468326,7,7
BIACETOOH,-3.822493527397478,-2.520666040125968,7,7
BOCOCH2OOH,-1.7209110134626315,-1.5616409624850542,2,2
BOX2COMOH,-4.142254135616928,-1.6913394429935087,7,7
BOX2COMOOH,2.292452128993422,-2.787607141754893,2,2
BOX2E2OH,-3.7081393986329148,-2.0066947070488568,7,7
BOX2ECHO,-6.763521677326599,-1.3155823954376322,7,7
BOX2EOHAO,-3.776339241719854,-2.0288300405277813,7,7
BOX2EOHAO2,-1.0116824708006993,-3.078141095970489,2,2
BOX2EOHBO,-3.776339241719854,-2.0288300405277813,7,7
BOX2EOHBO2,-1.0116824708006993,-3.078141095970489,2,2
BOX2MO,-7.753963805576439,-1.469515432542302,7,7
BOX2MO2,-4.9893070346572825,-2.5188264879850095,7,7
BOX2OHAOOH,-0.9434826277137612,-3.056005762491564,2,2
BOX2OHBOOH,-0.9434826277137612,-3.056005762491564,2,2
BOX2PROL,-5.353703360049615,-0.9358685586164478,7,7
BOXCHO,-7.950814329915987,-1.3592328219062568,7,7
BOXCOALOOH,1.147684179142931,-3.2554682557331986,2,2
BOXCOCHO,-4.407304503043416,-1.6031921658363875,7,7
BOXCOCHOO,-1.6851724348631614,-2.228292533769414,2,2
BOXCOCHOO2,1.079484336055994,-3.2776035892121245,2,2
BOXCOCOME,-3.2625365531929247,-1.1353310518580821,7,7
BOXCOCOMO,-0.5404044850126694,-1.7604314197911104,2,2
BOXCOCOMO2,2.2242522859064846,-2.8097424752338185,2,2
BOXCOEOL,-2.9974861857664368,-1.2234783290152036,7,7
BOXCOEOLO,-0.2753541175861811,-1.8485786969482316,2,2
BOXCOEOLO2,2.489302653332974,-2.897889752390938,2,2
BOXCOOLOOH,2.5575024964199127,-2.8757544189120146,2,2
BOXEOHANO3,4.215357303704646,-4.550996086600551,2,2
BOXEOHBNO3,4.215357303704646,-4.550996086600551,2,2
BOXFORMO2,-2.4640254908165784,-3.033644245281993,2,2
BOXMCO2H,-3.973189766059404,-1.9185474298917355,7,7
BOXMCO3,-1.4457972077847128,-2.762785831915142,2,2
BOXMCO3H,-1.3775973646977746,-2.7406504984362168,2,2
BOXMOH,-7.6857639624895,-1.4473800990633756,7,7
BOXMOOH,-4.921107191570346,-2.496691154506084,7,7
BOXMPAN,6.54589933763979,-5.284951877987909,4,4
BOXOHETOH,-3.7081393986329148,-2.0066947070488568,7,7
BOXOHPROL,-2.563371448782424,-1.5388335930705515,2,2
BOXPOLANO3,5.360125253555139,-4.083134972622245,2,2
BOXPOLAOOH,0.20128532213673014,-2.588144648513258,2,2
BOXPOLBNO3,5.360125253555139,-4.083134972622245,2,2
BOXPOLBOOH,0.20128532213673014,-2.588144648513258,2,2
BOXPR2OH,-2.563371448782424,-1.5388335930705515,2,2
BOXPROANO3,5.095074886128649,-3.9949876954651247,2,2
BOXPROBOOH,-0.0637650452897579,-2.499997371356138,2,2
BOXPROLAO,-2.6315712918693612,-1.5609689265494757,2,2
BOXPROLAO2,0.13308547904979226,-2.610279981992183,2,2
BOXPROLBO,-2.6315712918693612,-1.5609689265494757,2,2
BOXPROLBO2,0.13308547904979226,-2.610279981992183,2,2
BOXPRONAO2,-0.13196488837669584,-2.5221327048350632,2,2
BOXPRONBO,-2.8966216592958505,-1.4728216493923554,2,2
BOXPRONBO2,-0.13196488837669584,-2.5221327048350632,2,2
BOXPRONBOH,-2.8284218162089116,-1.4506863159134311,2,2
BOXPRONE,-5.618753727476106,-0.8477212814593275,7,7
BOXPRONEAO,-2.8966216592958505,-1.4728216493923554,2,2
BOXPRONOH,-2.8284218162089116,-1.4506863159134311,2,2
BOXPROOOH,-0.0637650452897579,-2.499997371356138,2,2
BPINANO3,5.194286166894133,9.316226179964032,3,3
BPINAO,-2.7974103785303663,11.838392226036802,3,3
BPINAO2,-0.03275360761121356,10.789081170594095,3,3
BPINAOH,-2.7292105354434284,11.860527559515727,3,3
BPINAOOH,0.03544623547572444,10.811216504073018,3,3
BPINBNO3,5.194286166894133,9.316226179964032,3,3
BPINBO,-2.7974103785303663,11.838392226036802,3,3
BPINBO2,-0.03275360761121356,10.789081170594095,3,3
BPINBOOH,0.03544623547572444,10.811216504073018,3,3
BPINCNO3,4.456716235420923,5.015500036384971,1,1
BPINCO,-3.5349803100035744,7.537666082457741,6,6
BPINCO2,-0.7703235390844193,6.488355027015039,1,1
BPINCOH,-3.4667804669166373,7.559801415936666,6,6
BPINCOOH,-0.7021236959974814,6.510490360493962,1,1
BPINENE,-8.538612510714445,13.776285543153627,6,6
BRETAL,-13.277159671022488,-0.7780872746037562,7,7
BRETO2H,-10.486827759755295,-1.3810523090578561,7,7
BRETO3,-7.959435201480604,-2.2252907110812594,7,7
BRETO3H,-7.891235358393666,-2.2031553776023363,7,7
BRETPAN,0.032261343943895515,-4.74745675715403,2,2
BU1ENO3O,-0.992084615480227,-3.611121217574015,2,2
BU1ENO3O2,1.7725721554389262,-4.660432273016725,2,2
BU1ENO3OOH,1.8407719985258644,-4.638296939537799,2,2
BUFORMO,-5.228682261735731,-1.9843331898392844,7,7
BUFORMOOH,-2.39582564772964,-3.0115089118030687,2,2
BUOHFORM,-5.160482418648794,-1.9621978563603593,7,7
BUOX2ETOH,-6.498471309900111,-1.4037296725947537,7,7
BUT1ENE,-14.667420524343683,0.6957388625105335,7,7
BUT2CHO,-10.757995803574042,0.11428892104613121,7,7
BUT2CO2H,-7.96766389230685,-0.4886761134079733,7,7
BUT2CO3,-5.440271334032154,-1.3329145154313773,7,7
BUT2CO3H,-5.372071490945216,-1.3107791819524521,7,7
BUT2OL,-11.68023808873694,-0.017508782579618947,7,7
BUT2OLAO,-8.95810602055669,-0.6426091505126423,7,7
BUT2OLNO3,-0.9664094751321874,-3.164775196585409,2,2
BUT2OLO,-9.154956544896237,-0.5323265398765977,7,7
BUT2OLO2,-6.19344924963753,-1.6919202059553498,7,7
BUT2OLOH,-8.889906177469749,-0.6204738170337174,7,7
BUT2OLOOH,-6.125249406550594,-1.6697848724764255,7,7
BUTACID,-9.112431842157338,-0.9565372273862784,7,7
BUTAL2NO3,-1.1889351398197772,-3.5008386069379696,2,2
BUTAL2O,-9.180631685244276,-0.9786725608652019,7,7
BUTALAO2,-6.4159749143251235,-2.0279836163079095,7,7
BUTALAOOH,-6.3477750712381855,-2.0058482828289863,7,7
BUTALNO3,-1.1889351398197772,-3.5008386069379696,2,2
BUTALO,-9.180631685244276,-0.9786725608652019,7,7
BUTALO2,-6.4159749143251235,-2.0279836163079095,7,7
BUTALO2H,-6.3477750712381855,-2.0058482828289863,7,7
BUTDANO3,-1.2472749635514664,-3.675705974070498,2,2
BUTDAO,-9.238971508975967,-1.1535399279977325,7,7
BUTDAO2,-6.47431473805681,-2.202850983440441,7,7
BUTDAOH,-9.170771665889026,-1.1314045945188076,7,7
BUTDAOOH,-6.406114894969871,-2.180715649961515,7,7
BUTDBNO3,-1.120735296732839,-3.4787032734590446,2,2
BUTDBO,-9.112431842157338,-0.9565372273862784,7,7
BUTDBO2,-6.3477750712381855,-2.0058482828289863,7,7
BUTDBOH,-9.044231999070403,-0.9344018939073533,7,7
BUTDBOOH,-6.279575228151246,-1.9837129493500616,7,7
BUTDCO,-9.112431842157338,-0.9565372273862784,7,7
BUTDCO2,-6.3477750712381855,-2.0058482828289863,7,7
BUTDCOOH,-6.279575228151246,-1.9837129493500616,7,7
BUTONENO3,-1.231459842558676,-3.07662791942829,2,2
BZBIPER2OH,-3.104458393684871,8.981404836638147,6,6
BZBIPERNO3,4.81903830865269,6.437103457086452,1,1
BZBIPERO,-3.1726582367718095,8.959269503159224,6,6
BZBIPERO2,-0.40800146585265357,7.909958447716511,1,1
BZBIPEROOH,-0.3398016227657156,7.932093781195436,1,1
BZEMUCCO,0.44778005014661787,0.7371491823466125,1,1
BZEMUCCO2H,-2.4434163875911636,1.5894575371778683,1,1
BZEMUCCO3,0.08397617068352854,0.7452191351544625,1,1
BZEMUCCO3H,0.15217601377046647,0.767354468633387,1,1
BZEMUCNO3,8.636327119910668,-1.895299474362201,0,0
BZEMUCO,0.644630574486168,0.6268665717105679,1,1
BZEMUCO2,3.4092873454053243,-0.42244448373214105,1,1
BZEMUCOH,0.7128304175731061,0.6490019051894924,1,1
BZEMUCOOH,3.477487188492262,-0.40030915025321645,1,1
BZEMUCPAN,8.075672716108029,-1.7769469109183078,0,0
BZEPOXMUC,-5.233748298858358,2.1924225716319707,1,1
BZFUCO,-5.082076857153301,4.046555835809544,6,6
BZFUO,-4.885226332813753,3.9362732251734993,6,6
BZFUO2,-2.1205695618945986,2.8869621697307895,1,1
BZFUOH,-4.817026489726814,3.958408558652422,6,6
BZFUONE,-10.573638508655387,4.7459430766355934,6,6
BZFUONOO,-0.8971319916816616,-3.717864496838188,2,2
BZFUONOOA,-0.8971319916816616,-3.717864496838188,2,2
BZFUOOH,-2.05236971880766,2.9090975032097117,1,1
BZOBIPEROH,-3.36950876111136,9.069552113795268,6,6
C1010NO3,8.089002516010389,-2.6916696457342315,4,4
C1010O,0.09730597058588684,-0.1695035996614543,1,1
C1010O2,2.861962741505041,-1.2188146551041672,2,2
C1010OH,0.16550581367282474,-0.14736826618252952,1,1
C1010OOH,2.9301625845919794,-1.1966793216252425,2,2
C1011CO,-3.146641266365011,5.4007039778561845,1,1
C1011CO2H,0.8309832974915722,4.841389369870706,1,1
C1011CO3,3.358375855766264,3.9971509678472987,1,1
C1011CO3H,3.4265756988532026,4.019286301326223,1,1
C1011NO3,5.041905803399038,2.7682553211473686,1,1
C1011O,-2.9497907420254608,5.290421367220139,1,1
C1011O2,-0.18513397110630797,4.241110311777432,1,1
C1011OH,-2.881590898938523,5.312556700699065,1,1
C1011OOH,-0.11693412801937007,4.263245645256356,1,1
C1011PAN,11.350072401190761,1.4749849217745308,0,0
C1012CO,0.09730597058588684,-0.1695035996614543,1,1
C1012NO3,8.285853040349938,-2.8019522563702752,4,4
C1012O,0.2941564949254367,-0.27978621029750184,1,1
C1012O2,3.058813265844591,-1.329097265740212,2,2
C1012OH,0.3623563380123745,-0.257650876818576,1,1
C1012OOH,3.1270131089315294,-1.3069619322612875,2,2
