name,x,y,label,filterlab
A2PAN,-0.5010114748849838,-0.058298045741347435,4,4
A2PANO,-0.23247927127362158,0.24202719698686834,0,0
A2PANOO,-0.2786218538381684,0.2363791624033362,0,0
ACBUOAOOH,-0.1518589393006031,-0.09151622544099573,2,2
ACBUONANO3,-0.3260929796089628,-0.12868339188304134,4,4
ACBUONAOH,-0.10428629138383881,-0.1043898987650324,2,2
ACBUONBOH,-0.10428629138383881,-0.1043898987650324,2,2
ACBUONBOOH,-0.1518589393006031,-0.09151622544099557,2,2
ACBUONEAO,-0.09382797812664696,0.09376312452827192,0,0
ACBUONEAO2,-0.14054000473787062,0.0958215193340675,0,0
ACBUONEBO,-0.09382797812664696,0.09376312452827192,0,0
ACBUONEBO2,-0.14054000473787062,0.0958215193340675,0,0
ACCOC3H6O,-0.09382797812664696,0.09376312452827192,0,0
ACCOC3H6O2,-0.14054000473787062,0.0958215193340675,0,0
ACCOCOC2H5,-0.14806351319472724,-0.11549659575822718,2,2
ACCOCOEOOH,-0.2536876994946012,-0.10813431325552797,4,4
ACCOCOETO,-0.20724070252470358,0.04805160218187725,0,0
ACCOCOETO2,-0.24219576330007078,0.052273148920315655,0,0
ACCOCOMEO,-0.24522039235912516,0.09277475231080488,0,0
ACCOCOMEO2,-0.2805058318236928,0.0965280043574627,0,0
ACCOCOMOOH,-0.29594029301536223,-0.08354251061618323,4,4
ACCOETO,-0.12056412040340142,0.1546443739090569,0,0
ACCOETO2,-0.17062697327154136,0.15472810219611716,0,0
ACCOETOOH,-0.18636168259536054,-0.05873872348415273,4,4
ACCOMCOMO,-0.1801269925010598,0.07772526837644678,0,0
ACCOMCOMO2,-0.2178057173328592,0.0815092832538448,0,0
ACCOMECHO,-0.18311410076007342,-0.08670892429305076,4,4
ACCOMECO3,-0.2805058318236928,0.0965280043574627,0,0
ACCOMECO3H,-0.29594029301536223,-0.08354251061618323,4,4
ACCOMEPAN,-0.4464513759164257,-0.10006066943958089,4,4
ACCOPRONE,-0.14806351319472724,-0.11549659575822718,2,2
ACCOPROOH,-0.1518589393006031,-0.09151622544099557,2,2
ACEBUTBONE,0.00024760663011857514,-0.0878744425247587,2,2
ACEBUTONE,0.00024760663011857514,-0.0878744425247587,2,2
ACEC2CHO,-0.013961594061804064,-0.04481872826699022,2,2
ACEC2H4NO3,-0.36360666252440643,-0.07883501026420871,4,4
ACEC2H4OOH,-0.10781219431426295,0.0009136798723991912,0,0
ACECOCOCH3,-0.2188616966841937,-0.11344177061884854,4,4
ACEETOHO,-0.1447167475915352,0.20930619905410658,0,0
ACEETOHO2,-0.1964889848791356,0.20623334209108168,0,0
ACEETOHOOH,-0.21688602114414363,-0.02868348075835069,4,4
ACEPROPONE,-0.07461449028625158,-0.08933127971835694,2,2
ACETC2CO2H,-0.13556875099764923,-0.07527968291913605,2,2
ACETC2CO3,-0.17062697327154136,0.15472810219611716,0,0
ACETC2CO3H,-0.18636168259536054,-0.05873872348415273,4,4
ACETC2H4O,-0.01739484687944067,0.2842288047739777,0,0
ACETC2H4O2,-0.08935619984083866,0.2739506427883363,0,0
ACETC2PAN,-0.3950935129254309,-0.09022877062391046,4,4
ACETCOC2H5,-0.07461449028625158,-0.08933127971835694,2,2
ACETCOC3H7,0.00024760663011857514,-0.0878744425247587,2,2
ACETETCHO,-0.10461142214732205,-0.0401787178925237,2,2
ACETMECO3,-0.24648447693904896,0.17807243617030055,0,0
ACETMECO3H,-0.26844131900457535,-0.050031995854848646,4,4
ACETMEPAN,-0.45784063421955185,-0.08021929458497082,4,4
ACETOL,-0.0478406525822578,-0.022066849226120396,2,2
ACLOO,-0.055968091580699646,0.671599925293915,3,3
ACLOOA,-0.055968091580699646,0.671599925293915,3,3
ACO2H,-0.1333642952524854,-0.04539835404159023,2,2
ACO3,-0.18047778202058548,0.2858773822377758,0,0
ACO3H,-0.21387421502442758,-0.028713226729562363,4,4
ACOMCOMOOH,-0.22992835509759155,-0.08939847495949634,4,4
ACPRONEO,-0.1609160472266731,0.11014873167054362,0,0
