name,x,y,label,filterlab
A2PAN,3.711441,-4.9192386,-1,-1
A2PANO,5.020596,-4.254873,-1,-1
A2PANOO,4.238879,-4.637692,-1,-1
ACBUOAOOH,-11.247439,-5.493953,-1,-1
ACBUONANO3,38.103157,-43.023464,3,3
ACBUONAOH,15.744157,-60.833267,3,3
ACBUONBOH,13.577986,-57.812973,3,3
ACBUONBOOH,-41.912075,-46.716965,4,4
ACBUONEAO,15.745982,-60.833065,3,3
ACBUONEAO2,-11.247229,-5.4938354,-1,-1
ACBUONEBO,13.577883,-57.813038,3,3
ACBUONEBO2,-41.912243,-46.717247,4,4
ACCOC3H6O,15.245873,-60.030293,3,3
ACCOC3H6O2,38.00594,-38.109234,-1,-1
ACCOCOC2H5,13.781044,-58.010506,3,3
ACCOCOEOOH,-4.155411,-6.440415,-1,-1
ACCOCOETO,39.181087,0.32796064,2,2
ACCOCOETO2,-4.155395,-6.4404125,-1,-1
ACCOCOMEO,39.36473,0.1801655,2,2
ACCOCOMEO2,-6.1774545,-39.98495,-1,-1
ACCOCOMOOH,-6.1774545,-39.98495,-1,-1
ACCOETO,42.44904,1.277697,2,2
ACCOETO2,42.271133,1.1478448,2,2
ACCOETOOH,42.270725,1.1482247,2,2
ACCOMCOMO,43.19538,2.140874,2,2
ACCOMCOMO2,-21.663208,-37.87631,-1,-1
ACCOMECHO,35.900692,-4.792034,-1,-1
ACCOMECO3,42.483856,2.4482715,2,2
ACCOMECO3H,42.483856,2.4482715,2,2
ACCOMEPAN,-0.11452723,-4.235318,-1,-1
ACCOPRONE,15.625361,-60.532463,3,3
ACCOPROOH,38.00614,-38.108788,-1,-1
ACEBUTBONE,27.76608,-42.04007,3,3
ACEBUTONE,37.61483,-43.211456,3,3
ACEC2CHO,51.77551,-19.201042,2,2
ACEC2H4NO3,45.39914,-3.6207638,-1,-1
ACEC2H4OOH,45.263912,-4.603734,-1,-1
ACECOCOCH3,39.697323,-0.1085338,2,2
ACEETOHO,41.85997,-1.3869442,-1,-1
ACEETOHO2,41.41143,-1.1757693,-1,-1
ACEETOHOOH,41.411484,-1.1759979,-1,-1
ACEPROPONE,46.446682,-4.498658,-1,-1
ACETC2CO2H,1.443807,8.808298,-1,-1
ACETC2CO3,-47.76757,-42.723824,4,4
ACETC2CO3H,-47.767807,-42.724,4,4
ACETC2H4O,45.382736,-4.175477,-1,-1
ACETC2H4O2,45.264397,-4.6041975,-1,-1
ACETC2PAN,52.665962,-19.093758,2,2
ACETCOC2H5,52.8758,-20.516493,2,2
ACETCOC3H7,36.77113,-38.124947,3,3
ACETETCHO,7.780383,-4.137626,-1,-1
ACETMECO3,47.242176,-5.0230355,-1,-1
ACETMECO3H,47.242176,-5.0230355,-1,-1
ACETMEPAN,8.257295,-4.1190085,-1,-1
ACETOL,46.415436,-9.6121435,2,2
ACLOO,-10.605646,-13.445805,-1,-1
ACLOOA,-10.605305,-13.445147,-1,-1
ACO2H,9.0150175,-36.18894,0,0
ACO3,-42.939545,-34.207554,4,4
ACO3H,-42.93957,-34.207554,4,4
ACOMCOMOOH,-21.662508,-37.876266,-1,-1
ACPRONEO,39.67906,-0.632006,2,2
ACPRONEO2,-41.883953,-46.712406,4,4
