name,x,y,label,filterlab
A2PAN,2.46746,-17.319546,0,
A2PANO,29.61772,13.964303,1,1
A2PANOO,47.168484,-14.71953,2,
ACBUOAOOH,-38.084316,17.630587,3,3
ACBUONANO3,-17.1079,-21.126215,4,
ACBUONAOH,-20.593119,-30.176504,5,
ACBUONBOH,-20.593119,-30.176504,5,
ACBUONBOOH,-30.541826,35.273716,6,
ACBUONEAO,-29.290964,-16.264748,7,
ACBUONEAO2,-39.319054,-5.5577965,8,
ACBUONEBO,-29.290838,-16.264626,7,
ACBUONEBO2,-35.3161,-0.52286243,9,
ACCOC3H6O,-29.290838,-16.264626,7,
ACCOC3H6O2,-20.593119,-30.176504,5,
ACCOCOC2H5,-25.91806,-13.594082,10,
ACCOCOEOOH,-30.54179,35.27353,6,
ACCOCOETO,-29.290817,-16.26458,7,
ACCOCOETO2,-35.298973,-0.53633183,9,
ACCOCOMEO,-29.29101,-16.264845,7,
ACCOCOMEO2,-35.298973,-0.5341724,9,
ACCOCOMOOH,-30.541857,35.274055,6,
ACCOETO,-25.916246,-13.596523,10,
ACCOETO2,-39.324665,-5.5603237,8,
ACCOETOOH,-30.541805,35.273865,6,
ACCOMCOMO,-29.291115,-16.266409,7,
ACCOMCOMO2,-35.316864,-0.44577762,9,
ACCOMECHO,-18.542215,-7.574407,-1,
ACCOMECO3,-24.65429,-13.499575,10,
ACCOMECO3H,-25.175488,-14.539013,10,
ACCOMEPAN,-24.341291,26.985567,11,
ACCOPRONE,-25.918165,-13.593732,10,
ACCOPROOH,-25.918165,-13.593732,10,
ACEBUTBONE,-29.02644,-10.321312,12,
ACEBUTONE,-29.026735,-10.321106,12,
ACEC2CHO,-26.699842,-7.297952,12,
ACEC2H4NO3,14.342608,-18.680317,13,
ACEC2H4OOH,-11.75991,39.785034,14,
ACECOCOCH3,-25.918165,-13.593732,10,
ACEETOHO,30.34979,14.317422,1,1
ACEETOHO2,13.244755,26.861612,15,15
ACEETOHOOH,14.921526,40.679016,16,16
ACEPROPONE,1.8306886,-33.454685,17,17
ACETC2CO2H,-31.439081,-9.24394,12,
ACETC2CO3,-34.64264,-3.0255115,9,
ACETC2CO3H,-30.10567,-6.1228695,12,
ACETC2H4O,18.188217,-25.474373,18,18
ACETC2H4O2,13.272468,26.606892,15,15
ACETC2PAN,-26.410528,-6.6024213,12,
ACETCOC2H5,-25.918165,-13.593701,10,
ACETCOC3H7,-25.918165,-13.593701,10,
ACETETCHO,-26.699842,-7.297952,12,
ACETMECO3,25.03832,-26.147356,19,
ACETMECO3H,23.111952,-21.371023,20,
ACETMEPAN,-26.4109,-6.6026697,12,
ACETOL,-15.224958,-35.674873,21,21
ACLOO,49.513084,-9.405787,22,
ACLOOA,49.51263,-9.405557,22,
ACO2H,-15.512228,-35.206646,21,21
ACO3,-35.298973,-0.53633153,9,
ACO3H,-27.12018,35.718987,23,23
ACOMCOMOOH,-30.54179,35.27353,6,
ACPRONEO,-29.531103,-20.249243,24,
ACPRONEO2,-35.22368,-0.41795355,9,
ACPRONEOH,-15.937117,-34.664658,21,21
ACPRONEOOH,-30.541805,35.273865,6,
ACR,3.1100578,-4.0558915,25,
ACRO2,12.0287895,17.560686,26,
ACROO,14.941938,-31.43713,27,
ACROOA,14.941938,-31.43713,27,
ACRPAN,-0.6701921,-18.857641,0,
ALC4DOLOOH,5.496714,36.57086,28,
ALCOCH2OOH,-23.253117,24.431906,29,
ALCOMOXOOH,-27.131908,-6.530633,12,
ALLYLOH,46.348053,-5.189531,30,30
APINANO3,46.914856,-4.9500027,30,30
APINAO,29.487226,13.520397,1,1
APINAO2,12.613072,25.788979,15,15
APINAOOH,15.342518,40.664284,16,16
APINBCO,15.200045,10.164189,31,
APINBNO3,46.348053,-5.189531,30,30
APINBO,46.375477,-2.6084993,30,30
APINBO2,12.706821,25.684086,15,15
APINBOH,46.64485,-4.056865,30,30
APINBOO,7.94596,-34.787518,32,
APINBOOH,15.069821,40.544174,16,16
APINCNO3,45.99854,-4.7174807,30,30
APINCO,29.525349,13.245617,1,1
APINCO2,12.706822,25.684084,15,15
APINCOH,47.48625,-4.679064,30,30
APINCOOH,14.564523,40.49795,16,16
APINENE,18.919958,-23.804453,18,18
APINOOA,2.9762182,-3.7812414,25,
APINOOB,7.94596,-34.787518,32,
BCAL,-13.736515,-7.233961,33,33
BCALACO,-13.736515,-7.233961,33,33
BCALAO,-9.2517805,0.5482988,34,
BCALAO2,-12.677954,9.672356,35,
BCALAOH,-24.49016,10.845848,36,36
BCALAOOH,-23.253925,24.430334,29,
BCALBCO,-13.253866,-7.4859157,33,33
BCALBO,-9.251605,0.54826665,34,
BCALBO2,-18.260878,10.064561,37,
BCALBOC,2.976297,-3.7818103,25,
BCALBOH,-24.718674,10.947174,36,36
BCALBOOH,-23.253208,24.432844,29,
BCALCCO,-13.265364,-7.544031,33,33
BCALCO,-9.255293,0.54904336,34,
BCALCO2,-8.499135,18.121222,38,
BCALCOH,-24.752096,10.944384,36,36
BCALCOOH,-27.12018,35.718987,23,23
BCALNO3,-17.397377,3.2542844,39,
BCALO,-25.198133,3.2422192,39,
BCALO2,-18.260878,10.064561,37,
BCALOH,-24.490849,10.846305,36,36
BCALOO,-13.25296,-7.494454,33,33
BCALOOA,-13.898486,-7.354495,33,33
BCALOOH,-27.854172,18.899046,40,
BCANO3,47.030327,-3.5890229,30,30
BCAO,46.035095,-4.7285657,30,30
BCAO2,14.030634,25.026352,15,15
BCAOH,47.47852,-4.557399,30,30
BCAOO,2.976895,-3.7845747,25,
BCAOOH,15.184408,40.567997,16,16
BCARY,19.719576,-23.52196,18,18
BCBCO,-16.510653,-34.574028,21,21
BCBNO3,47.576775,-3.4922342,30,30
BCBO,30.161774,13.20724,1,1
BCBO2,14.030634,25.026352,15,15
BCBOCOO,3.0238876,-3.9558282,25,
BCBOO,7.9454136,-34.788197,32,
BCBOOA,2.9768522,-3.7840016,25,
BCBOOH,14.921526,40.679016,16,16
BCCNO3,21.924986,-1.8456662,41,41
BCCO,30.161774,13.20724,1,1
BCCO2,13.029296,25.151579,15,15
BCCOH,46.117897,-4.973661,30,30
BCCOOH,14.921526,40.679016,16,16
BCKANO3,-15.228594,-36.70288,21,21
BCKAO,15.135167,11.319977,31,
BCKAO2,-48.085632,-2.8497078,42,
BCKAOH,14.865583,10.65061,31,
BCKAOO,-13.992426,-7.5425444,33,33
BCKAOOH,-40.95331,18.664486,3,3
BCKBCO,-24.019543,10.086926,36,36
BCKBNO3,-16.519224,-34.573536,21,21
BCKBO,10.807272,10.018049,43,
BCKBO2,-48.085632,-2.8497078,42,
BCKBOO,7.9462833,-34.787468,32,
BCKBOOH,-41.31949,18.614733,3,3
BCKET,1.6022903,-32.98244,17,17
BCKOOA,-13.84208,-6.693506,33,33
BCKOOB,7.946142,-34.78747,32,
BCKSOZ,14.864317,11.02818,31,
BCKSZOO,49.513115,-9.405666,22,
BCLKACO,-13.418641,-7.191159,33,33
BCLKAO,-9.255067,0.549781,34,
BCLKAO2,-12.681021,9.671714,35,
BCLKAOH,-24.057428,10.403184,36,36
BCLKAOOH,-23.328234,24.292177,29,
BCLKBCO,-13.831079,-6.859219,33,33
BCLKBO,-9.255067,0.549781,34,
BCLKBO2,-18.260117,10.064235,37,
BCLKBOC,-13.548528,-6.959332,33,33
BCLKBOH,-24.057428,10.403184,36,36
BCLKBOOH,-23.328234,24.292177,29,
BCLKCCO,-13.798875,-6.696351,33,33
BCLKCO,-9.255176,0.54955125,34,
BCLKCO2,-9.104031,17.68785,38,
BCLKCOH,-24.643318,9.908233,36,36
BCLKCOOH,-27.027063,35.602722,23,23
BCLKET,-13.270822,-7.2586412,33,33
BCOOA,2.9761245,-3.7615628,25,
BCOOB,7.9462705,-34.787495,32,
BCSOZ,47.073803,-4.37852,30,30
BCSOZNO3,21.929893,-1.901034,41,41
BCSOZO,29.568495,13.086827,1,1
BCSOZO2,12.882661,25.506308,15,15
BCSOZOH,47.030327,-3.5890229,30,30
BCSOZOOH,15.07008,40.544094,16,16
BENZAL,6.78029,-6.9170384,44,
BENZENE,11.06718,-12.160189,45,
BIACET,1.2122415,-33.51191,17,17
BIACETO,-29.492634,-20.183146,24,
