name,x,y,label,filterlab
A2PAN,76.2662,5.008162,0,0
A2PANO,-52.867256,-7.5639563,1,1
A2PANOO,-49.108414,-12.197794,1,1
ACBUOAOOH,-20.772913,-11.420035,-1,-1
ACBUONANO3,57.676697,3.6759388,0,0
ACBUONAOH,-13.586905,-12.666027,-1,-1
ACBUONBOH,-11.155813,-10.244431,-1,-1
ACBUONBOOH,-20.368017,-9.604493,-1,-1
ACBUONEAO,-13.865576,-12.451527,-1,-1
ACBUONEAO2,-16.053774,-11.922478,-1,-1
ACBUONEBO,-12.0367565,-10.443659,-1,-1
ACBUONEBO2,-17.95304,-9.4289,-1,-1
ACCOC3H6O,-13.865474,-12.451773,-1,-1
ACCOC3H6O2,-15.454381,-12.059331,-1,-1
ACCOCOC2H5,-12.036792,-10.443307,-1,-1
ACCOCOEOOH,3.2559993,25.09259,-1,-1
ACCOCOETO,8.823374,9.091024,-1,-1
ACCOCOETO2,1.7384096,22.190132,-1,-1
ACCOCOMEO,-31.773905,-17.566214,1,1
ACCOCOMEO2,-32.97548,-15.671195,1,1
ACCOCOMOOH,-38.4591,-15.952293,1,1
ACCOETO,-31.351564,-24.154432,1,1
ACCOETO2,-31.785673,-23.90172,1,1
ACCOETOOH,-38.40405,-24.062042,1,1
ACCOMCOMO,-31.73327,-17.624413,1,1
ACCOMCOMO2,-32.629284,-15.92198,1,1
ACCOMECHO,-12.876115,-12.405544,1,1
ACCOMECO3,-14.634824,-8.83298,1,1
ACCOMECO3H,-23.684261,-8.46302,1,1
ACCOMEPAN,63.964157,10.736689,0,0
ACCOPRONE,-13.865698,-12.451324,1,1
ACCOPROOH,-20.752975,-11.465922,1,1
ACEBUTBONE,-31.24652,-20.85913,1,1
ACEBUTONE,-28.385782,-26.519201,1,1
ACEC2CHO,-31.237743,-24.843796,1,1
ACEC2H4NO3,67.7745,-0.68813866,0,0
ACEC2H4OOH,-38.182003,-24.304146,1,1
ACECOCOCH3,8.822626,9.090744,-1,-1
ACEETOHO,-37.450226,-18.83515,1,1
ACEETOHO2,-38.4586,-18.032595,1,1
ACEETOHOOH,-39.113235,-17.823063,1,1
ACEPROPONE,-31.2206,-20.324688,1,1
ACETC2CO2H,-37.359524,-25.107653,1,1
ACETC2CO3,-32.13268,-23.973602,1,1
ACETC2CO3H,-38.162125,-23.797352,1,1
ACETC2H4O,-31.912483,-25.38636,1,1
ACETC2H4O2,-32.44805,-24.360832,1,1
ACETC2PAN,69.52827,6.7352886,0,0
ACETCOC2H5,-12.579972,-13.668919,1,1
ACETCOC3H7,-7.405726,-35.112724,1,1
ACETETCHO,-32.642315,-19.9218,1,1
ACETMECO3,-34.534153,-15.514198,1,1
ACETMECO3H,-36.538002,-15.411989,1,1
ACETMEPAN,70.07571,6.1205378,0,0
ACETOL,-42.150227,-5.463444,1,1
ACLOO,-41.983665,-10.5297985,1,1
ACLOOA,-41.983467,-10.529632,1,1
ACO2H,6.409587,-6.61657,-1,-1
ACO3,5.458007,18.75752,-1,-1
ACO3H,5.552807,18.781273,-1,-1
ACOMCOMOOH,-38.83116,-16.441193,1,1
ACPRONEO,8.822929,9.090403,-1,-1
ACPRONEO2,1.7412138,22.191826,-1,-1
ACPRONEOH,9.598633,8.701532,-1,-1
ACPRONEOOH,3.255638,25.092573,-1,-1
ACR,-21.996374,34.248116,-1,-1
ACRO2,-42.766525,-15.707154,1,1
ACROO,-14.232215,29.85052,-1,-1
ACROOA,-14.231994,29.850418,-1,-1
ACRPAN,62.26484,15.180369,0,0
ALC4DOLOOH,-49.075115,-12.12865,1,1
ALCOCH2OOH,-39.28192,-15.424378,1,1
ALCOMOXOOH,-37.42852,-16.52931,1,1
ALLYLOH,-33.51424,1.5861584,1,1
APINANO3,45.147343,2.7819576,0,0
APINAO,-8.877601,13.627939,1,1
APINAO2,-7.486131,14.010454,1,1
APINAOOH,-7.2784257,14.181765,1,1
APINBCO,-8.89496,13.499119,1,1
APINBNO3,45.29383,2.8512304,0,0
APINBO,-8.82782,13.587557,1,1
APINBO2,-7.4862933,13.897557,1,1
APINBOH,-8.839815,13.784171,1,1
APINBOO,-15.490225,15.835982,1,1
APINBOOH,-7.2996454,14.116177,1,1
APINCNO3,44.720695,16.331736,0,0
APINCO,-5.096358,4.140019,1,1
APINCO2,-4.9985886,4.1674857,1,1
APINCOH,-5.133416,4.1380315,1,1
APINCOOH,-4.9835463,4.165905,1,1
APINENE,-20.474087,28.575071,-1,-1
APINOOA,-15.489928,15.836038,1,1
APINOOB,-15.489847,15.835819,1,1
BCAL,-16.507336,6.270777,1,1
BCALACO,-16.863712,6.583065,1,1
BCALAO,-17.129915,6.485976,1,1
BCALAO2,-19.347223,8.139979,1,1
BCALAOH,-17.437794,6.233898,1,1
BCALAOOH,-20.18054,8.371674,1,1
BCALBCO,-16.895983,6.4070187,1,1
BCALBO,-17.621237,5.2170324,1,1
BCALBO2,-20.620052,6.686258,1,1
BCALBOC,-18.071796,6.754024,1,1
BCALBOH,-18.423811,4.5162883,1,1
BCALBOOH,-21.39991,6.631182,1,1
BCALCCO,-16.892818,6.573849,1,1
BCALCO,-17.177874,6.4507732,1,1
BCALCO2,-19.317778,8.082968,1,1
BCALCOH,-17.47644,6.2047334,1,1
BCALCOOH,-20.192745,8.333105,1,1
BCALNO3,50.884907,-4.288633,0,0
BCALO,-23.832682,11.53454,1,1
BCALO2,-24.756174,13.37546,1,1
BCALOH,-24.538692,11.274387,1,1
BCALOO,-17.384756,14.041796,1,1
BCALOOA,-17.384703,14.041533,1,1
BCALOOH,-25.804794,13.93453,1,1
BCANO3,46.629417,-3.4315736,0,0
BCAO,-12.419288,5.2435594,1,1
BCAO2,-11.466796,4.7578998,1,1
BCAOH,-12.438207,5.2000546,1,1
BCAOO,-17.672153,7.8751097,1,1
BCAOOH,-11.239773,4.6617675,1,1
BCARY,-14.922738,4.397559,1,1
BCBCO,-12.486774,5.373877,1,1
BCBNO3,46.628784,-3.4308796,0,0
BCBO,-12.419401,5.2437825,1,1
BCBO2,-11.467661,4.757499,1,1
BCBOCOO,-18.172768,13.787437,1,1
BCBOO,-17.672483,7.8759685,1,1
BCBOOA,-18.17303,13.788438,1,1
BCBOOH,-11.239501,4.662216,1,1
BCCNO3,45.811993,-3.4134333,0,0
BCCO,-13.032763,4.0861897,1,1
BCCO2,-12.517354,3.60808,1,1
BCCOH,-13.075507,4.168304,1,1
BCCOOH,-12.41772,3.5515409,1,1
BCKANO3,47.18846,-2.1576698,0,0
BCKAO,-12.200206,6.922568,1,1
BCKAO2,-11.04951,6.4470577,1,1
BCKAOH,-12.221723,6.8736935,1,1
BCKAOO,-17.384481,14.040489,1,1
BCKAOOH,-10.781773,6.332124,1,1
BCKBCO,-12.259615,6.971151,1,1
BCKBNO3,47.187683,-2.157681,0,0
BCKBO,-12.200248,6.922453,1,1
BCKBO2,-11.049691,6.446826,1,1
BCKBOO,-17.384579,14.040802,1,1
BCKBOOH,-10.781756,6.3321114,1,1
BCKET,-14.443971,5.320276,1,1
BCKOOA,-17.384192,14.040286,1,1
BCKOOB,-17.384872,14.040792,1,1
BCKSOZ,-13.5955925,1.4611433,1,1
BCKSZOO,-13.57178,1.4323481,1,1
BCLKACO,-16.991888,11.916667,1,1
BCLKAO,-17.40271,11.785468,1,1
