name,x,y,label,filterlab
A2PAN,48.839718,-11.612941,0,0
A2PANO,8.046825,36.060905,1,1
A2PANOO,23.855232,22.451147,2,2
ACBUOAOOH,21.578455,5.397151,2,2
ACBUONANO3,39.126766,-14.448914,0,0
ACBUONAOH,-4.4122286,16.698105,1,1
ACBUONBOH,-4.411961,16.698069,1,1
ACBUONBOOH,21.577988,5.3971105,2,2
ACBUONEAO,-5.3269453,18.050928,1,1
ACBUONEAO2,22.770666,5.2775235,2,2
ACBUONEBO,-5.326568,18.050472,1,1
ACBUONEBO2,22.770864,5.27739,2,2
ACCOC3H6O,-5.3912816,18.831303,1,1
ACCOC3H6O2,22.957083,5.4799323,2,2
ACCOCOC2H5,-6.725556,19.387842,1,1
ACCOCOEOOH,26.924145,-3.8281467,2,2
ACCOCOETO,23.83375,1.50673,2,2
ACCOCOETO2,27.397085,-3.6700335,2,2
ACCOCOMEO,25.068918,7.292248,2,2
ACCOCOMEO2,28.382822,-0.07497655,2,2
ACCOCOMOOH,28.821543,0.13605131,2,2
ACCOETO,5.6618123,28.02899,1,1
ACCOETO2,26.304024,16.64088,2,2
ACCOETOOH,25.483921,16.359499,2,2
ACCOMCOMO,23.889952,4.9044466,2,2
ACCOMCOMO2,29.126232,-1.7655246,2,2
ACCOMECHO,4.657185,28.840923,1,1
ACCOMECO3,28.238054,0.06739099,2,2
ACCOMECO3H,28.530525,0.26704606,2,2
ACCOMEPAN,39.837685,-25.123253,0,0
ACCOPRONE,-6.7255764,19.38806,1,1
ACCOPROOH,21.931202,5.849101,2,2
ACEBUTBONE,-26.858578,21.78445,1,1
ACEBUTONE,-26.858814,21.784962,1,1
ACEC2CHO,-16.132486,39.072002,1,1
ACEC2H4NO3,42.659035,2.921904,2,2
ACEC2H4OOH,15.249188,33.31377,1,1
ACECOCOCH3,-6.903086,21.507566,1,1
ACEETOHO,7.5735564,32.163822,1,1
ACEETOHO2,24.129812,19.21536,2,2
ACEETOHOOH,22.652798,18.69745,2,2
ACEPROPONE,-34.99071,36.94152,1,1
ACETC2CO2H,7.263467,27.561954,1,1
ACETC2CO3,26.304018,16.640862,2,2
ACETC2CO3H,25.483753,16.359648,2,2
ACETC2H4O,-20.085426,45.14171,1,1
ACETC2H4O2,16.076542,33.89217,1,1
ACETC2PAN,39.96423,-20.399418,0,0
ACETCOC2H5,-35.498234,37.085667,1,1
ACETCOC3H7,-27.443535,21.888754,1,1
ACETETCHO,-20.781002,46.726067,1,1
ACETMECO3,26.224222,20.381927,2,2
ACETMECO3H,25.266188,20.482285,2,2
ACETMEPAN,41.7715,-19.47591,0,0
ACETOL,-15.218232,64.98226,3,3
ACLOO,-21.869944,50.47516,1,1
ACLOOA,-21.87001,50.475235,1,1
ACO2H,-15.992822,64.432785,3,3
ACO3,-22.896458,51.869095,1,1
ACO3H,-23.0287,50.59092,1,1
ACOMCOMOOH,29.395058,-1.3756775,2,2
ACPRONEO,-5.8793902,21.478966,1,1
ACPRONEO2,24.73928,7.655176,2,2
ACPRONEOH,-4.999956,22.277246,1,1
ACPRONEOOH,23.385298,8.053311,2,2
ACR,-8.758952,77.63915,3,3
ACRO2,13.302322,36.768227,1,1
ACROO,-18.346725,59.55045,3,3
ACROOA,-18.346737,59.550426,3,3
ACRPAN,45.750797,1.9885124,2,2
ALC4DOLOOH,22.516296,13.970063,2,2
ALCOCH2OOH,13.974484,38.032013,1,1
ALCOMOXOOH,27.809065,22.970734,2,2
ALLYLOH,-9.235377,77.27823,3,3
APINANO3,2.732321,-80.284645,4,4
APINAO,-1.6102233,-80.63598,4,4
APINAO2,-0.1654371,-80.599655,4,4
APINAOOH,-0.31512272,-80.29545,4,4
APINBCO,-1.568582,-81.00561,4,4
APINBNO3,2.732321,-80.284645,4,4
APINBO,-1.6102233,-80.63598,4,4
APINBO2,-0.1654371,-80.599655,4,4
APINBOH,-1.6998308,-80.26324,4,4
APINBOO,-14.00682,-30.249792,2,2
APINBOOH,-0.31512266,-80.29545,4,4
APINCNO3,-12.977434,-44.960464,-1,-1
APINCO,-26.502184,-42.564365,5,5
APINCO2,-24.849663,-42.05781,5,5
APINCOH,-26.472342,-42.579155,5,5
APINCOOH,-24.865522,-42.048836,5,5
