name,x,y,label,filterlab
A2PAN,0.7320679,-12.41146,1,1
A2PANO,-19.57442,4.774971,0,0
A2PANOO,-21.327936,15.388837,0,0
ACBUOAOOH,-22.614668,-23.37953,2,2
ACBUONANO3,12.986594,-12.209689,1,1
ACBUONAOH,16.906843,7.837686,3,3
ACBUONBOH,10.236709,33.7417,5,5
ACBUONBOOH,-30.761848,-7.459285,2,2
ACBUONEAO,16.756119,-4.3174033,3,3
ACBUONEAO2,23.589476,-0.23541525,3,3
ACBUONEBO,8.563499,0.8435763,0,0
ACBUONEBO2,32.46648,-0.120891064,3,3
ACCOC3H6O,3.8607616,25.638958,5,5
ACCOC3H6O2,24.20407,-1.0563421,3,3
ACCOCOC2H5,21.253475,5.4097996,3,3
ACCOCOEOOH,-34.69709,-17.764334,2,2
ACCOCOETO,-3.302145,3.586936,0,0
ACCOCOETO2,32.32853,-0.27241245,3,3
ACCOCOMEO,-1.559803,3.3047829,0,0
ACCOCOMEO2,30.552687,2.8095815,3,3
ACCOCOMOOH,-23.422392,-6.9974422,0,0
ACCOETO,16.37057,41.064365,5,5
ACCOETO2,21.34986,-5.795294,3,3
ACCOETOOH,-25.852875,-15.418803,2,2
ACCOMCOMO,6.0486264,6.294569,0,0
ACCOMCOMO2,29.396002,5.7598524,3,3
ACCOMECHO,-5.673749,-2.189241,0,0
ACCOMECO3,-15.790992,18.998222,0,0
ACCOMECO3H,-25.450617,-22.855614,2,2
ACCOMEPAN,0.54967356,-11.186436,1,1
ACCOPRONE,23.51588,-0.477638,3,3
ACCOPROOH,-22.51694,-23.407356,2,2
ACEBUTBONE,37.020737,-0.62168384,3,3
ACEBUTONE,29.0409,10.089482,3,3
ACEC2CHO,10.433094,14.273855,0,0
ACEC2H4NO3,19.509745,-14.1012335,1,1
ACEC2H4OOH,-24.922604,-24.22578,2,2
ACECOCOCH3,-0.41634437,3.0708308,0,0
ACEETOHO,7.0943565,10.236383,0,0
ACEETOHO2,23.545662,-0.2124691,3,3
ACEETOHOOH,-24.13152,-15.811501,2,2
ACEPROPONE,32.663292,2.1459959,3,3
ACETC2CO2H,-24.81986,-24.400198,2,2
ACETC2CO3,-19.1464,17.348259,0,0
ACETC2CO3H,-24.95911,-24.192991,2,2
ACETC2H4O,15.422869,32.58419,5,5
ACETC2H4O2,-5.6116853,-25.483582,1,1
ACETC2PAN,2.2539794,-9.459148,1,1
ACETCOC2H5,25.895962,18.096376,3,3
ACETCOC3H7,30.401249,18.397705,3,3
ACETETCHO,8.339359,13.7365465,0,0
ACETMECO3,-15.651995,14.399651,0,0
ACETMECO3H,-42.479637,-15.851963,2,2
ACETMEPAN,0.55284446,-11.161688,1,1
ACETOL,-4.6717815,-2.6015306,0,0
ACLOO,9.0857,-22.328588,1,1
ACLOOA,-10.409926,12.383581,0,0
ACO2H,-14.606969,0.39359936,0,0
ACO3,-14.681561,10.460045,0,0
ACO3H,-14.819588,0.5579792,0,0
ACOMCOMOOH,-37.19907,-10.877582,2,2
ACPRONEO,-10.618295,-7.3846045,0,0
ACPRONEO2,30.604229,2.6886024,3,3
ACPRONEOH,10.762255,30.365204,5,5
ACPRONEOOH,-33.555004,-15.166801,2,2
ACR,-5.8454247,-2.3992531,0,0
ACRO2,-14.886014,11.215332,0,0
ACROO,11.569834,-20.2303,1,1
ACROOA,-8.781429,11.727365,0,0
ACRPAN,2.746098,-8.125932,0,0
ALC4DOLOOH,-16.306326,1.6643496,0,0
ALCOCH2OOH,-33.08305,-8.219577,2,2
ALCOMOXOOH,-28.566328,-24.550102,2,2
ALLYLOH,15.066688,37.731,5,5
APINANO3,25.34962,-12.636036,1,1
APINAO,4.7645054,36.84607,5,5
APINAO2,24.39752,0.71129906,3,3
APINAOOH,-29.919907,-18.716185,2,2
APINBCO,32.22499,18.744656,3,3
APINBNO3,14.762648,-10.730159,1,1
APINBO,4.7607994,36.848015,5,5
APINBO2,25.392239,0.91877025,3,3
APINBOH,10.305667,31.37086,5,5
APINBOO,6.7401357,-22.121658,1,1
APINBOOH,-29.309801,-15.360504,2,2
APINCNO3,18.644058,-20.359087,1,1
APINCO,29.502703,15.136529,3,3
APINCO2,27.832975,-0.53143495,3,3
APINCOH,-58.535168,5.0946407,4,4
APINCOOH,-30.969479,-16.314106,2,2
APINENE,8.3179035,-6.573287,1,1
APINOOA,-8.847823,15.7182865,0,0
APINOOB,-8.972489,13.141004,0,0
BCAL,-5.608042,-2.7185237,0,0
BCALACO,18.934383,7.172468,3,3
BCALAO,-11.310509,-6.4314637,0,0
BCALAO2,33.361458,-10.517832,1,1
BCALAOH,17.824583,7.722978,3,3
BCALAOOH,-25.14762,-5.351417,0,0
BCALBCO,4.1304016,15.537191,0,0
BCALBO,3.9640946,15.415881,0,0
BCALBO2,33.368095,-10.53279,1,1
BCALBOC,6.9018908,4.7187877,0,0
BCALBOH,3.990909,15.345655,0,0
BCALBOOH,-18.406933,-13.3158655,2,2
BCALCCO,5.277601,18.5332,0,0
BCALCO,5.1872067,18.798426,0,0
BCALCO2,33.40038,-10.568185,1,1
BCALCOH,5.0910816,18.948399,0,0
BCALCOOH,-16.366508,2.1004794,0,0
BCALNO3,7.8952365,-0.6176501,0,0
BCALO,6.690307,22.876068,5,5
BCALO2,33.384544,-10.522094,1,1
BCALOH,6.6959715,22.823212,5,5
BCALOO,8.04106,-22.723454,1,1
BCALOOA,-8.796213,16.544828,0,0
BCALOOH,-29.218164,-22.647772,2,2
BCANO3,18.574432,-10.420124,1,1
BCAO,6.6112127,37.508114,5,5
BCAO2,29.677797,3.0781186,3,3
BCAOH,11.631296,32.47271,5,5
BCAOO,11.074484,-28.022697,1,1
BCAOOH,-28.179619,-16.505388,2,2
BCARY,-54.653454,5.3738394,4,4
BCBCO,33.926296,17.593328,3,3
BCBNO3,18.387032,-11.159203,1,1
BCBO,6.6090913,37.506195,5,5
