name,x,y,label,filterlab
A2PAN,-6.8191686,-19.147017,0,
A2PANO,-0.6246449,-27.098278,1,
A2PANOO,-22.500149,-6.7596164,2,
ACBUOAOOH,11.549799,-7.7124457,3,
ACBUONANO3,-6.847275,-10.871704,0,
ACBUONAOH,19.545473,7.0389323,3,
ACBUONBOH,19.842085,6.6931686,3,
ACBUONBOOH,7.3525534,-9.846287,0,
ACBUONEAO,19.165964,12.087574,3,
ACBUONEAO2,6.6336417,-1.1236151,3,
ACBUONEBO,19.166012,12.087627,3,
ACBUONEBO2,-13.501092,-4.5887656,4,
ACCOC3H6O,19.165966,12.087573,3,
ACCOC3H6O2,-13.499663,-4.5878186,4,
ACCOCOC2H5,19.52078,6.744588,3,
ACCOCOEOOH,16.36965,4.3018274,3,
ACCOCOETO,16.909214,14.426777,3,
ACCOCOETO2,7.149464,3.4915884,3,
ACCOCOMEO,-2.7919495,-6.586281,0,
ACCOCOMEO2,6.63336,-1.1235279,3,
ACCOCOMOOH,11.551756,-7.71398,3,
ACCOETO,-0.26957974,-8.371617,0,
ACCOETO2,-13.500939,-4.586962,4,
ACCOETOOH,7.351683,-9.846506,0,
ACCOMCOMO,-2.7920015,-6.586248,0,
ACCOMCOMO2,9.05389,-1.2291247,3,
ACCOMECHO,14.89532,-4.9857626,3,
ACCOMECO3,-16.708422,-3.6303089,4,
ACCOMECO3H,-2.7916994,-6.5860143,0,
ACCOMEPAN,11.938569,-1.685666,3,
ACCOPRONE,11.908426,3.1859806,3,
ACCOPROOH,-0.32244724,-8.397574,0,
ACEBUTBONE,19.658537,7.097624,3,
ACEBUTONE,19.545473,7.0389323,3,
ACEC2CHO,27.700249,-13.206111,5,
ACEC2H4NO3,-13.22414,-17.44097,0,
ACEC2H4OOH,15.716625,-20.157211,6,
ACECOCOCH3,11.913975,3.1869924,3,
ACEETOHO,37.72341,-14.341869,7,
ACEETOHO2,-31.995262,-2.9763598,8,
ACEETOHOOH,15.037837,-19.976223,6,
ACEPROPONE,19.842085,6.6931686,3,
ACETC2CO2H,14.890266,-4.8890157,3,
ACETC2CO3,6.636211,-1.1241992,3,
ACETC2CO3H,11.550199,-7.714616,3,
ACETC2H4O,35.73957,-15.884221,7,
ACETC2H4O2,-31.508642,-4.06581,8,
ACETC2PAN,-6.1795297,-22.683943,0,
ACETCOC2H5,19.903194,6.949547,3,
ACETCOC3H7,19.910044,6.9359555,3,
ACETETCHO,27.704124,-13.20832,5,
ACETMECO3,-17.714994,-2.9771535,4,
ACETMECO3H,0.14582253,-9.066706,0,
ACETMEPAN,-6.1789274,-22.683804,0,
ACETOL,35.201996,-17.018211,7,
ACLOO,-3.6674693,-61.568035,9,
ACLOOA,-0.30686197,-59.68814,9,
ACO2H,35.913273,-16.23797,7,
ACO3,-31.276165,-3.9968853,8,
ACO3H,15.127188,-20.56112,6,
ACOMCOMOOH,10.361343,-5.452524,3,
ACPRONEO,19.165964,12.087574,3,
ACPRONEO2,6.633932,-1.1254071,3,
ACPRONEOH,19.545473,7.0389323,3,
ACPRONEOOH,11.549524,-7.7142997,3,
ACR,-3.6674693,-61.568035,9,
ACRO2,-30.698177,-38.9669,10,
ACROO,1.5592246,-61.111145,9,
ACROOA,-4.537354,-58.45954,9,
ACRPAN,-8.749163,-16.950974,0,
ALC4DOLOOH,-10.9907,-38.78074,11,
ALCOCH2OOH,-7.2782884,-30.666193,12,
ALCOMOXOOH,-7.251637,-30.657507,12,
ALLYLOH,-3.6674693,-61.568035,9,
APINANO3,-5.588493,37.733986,13,
APINAO,2.0934777,40.44629,13,
APINAO2,-23.010416,31.527084,14,
APINAOOH,-12.740334,38.32304,13,
APINBCO,-4.250928,59.239693,15,
APINBNO3,-6.506777,38.78505,13,
APINBO,-5.6194196,38.609447,13,
APINBO2,-23.010416,31.527086,14,
APINBOH,-6.816636,38.371616,13,
APINBOO,39.69149,18.62337,16,
APINBOOH,-12.739518,38.323463,13,
APINCNO3,-5.979107,42.103783,13,
APINCO,2.093439,40.446243,13,
APINCO2,-24.865416,31.184906,14,
APINCOH,-6.132986,38.156982,13,
APINCOOH,-13.112617,39.90427,13,
APINENE,-6.50678,38.78505,13,
APINOOA,-3.8526266,57.779892,15,
APINOOB,41.853355,16.601198,16,
BCAL,12.179018,23.570993,17,
BCALACO,12.614876,10.145262,3,
BCALAO,15.482223,25.00244,-1,
BCALAO2,10.529888,20.360277,18,
BCALAOH,12.173565,23.571827,17,
BCALAOOH,9.171556,24.567415,17,
BCALBCO,40.297356,19.673294,16,
BCALBO,41.520042,19.007551,16,
BCALBO2,-26.082148,13.253312,19,
BCALBOC,1.6750528,30.490025,20,
BCALBOH,40.39009,18.061344,16,
BCALBOOH,-5.829396,24.397387,21,
BCALCCO,12.61392,10.145149,3,
BCALCO,15.482223,25.00244,-1,
BCALCO2,9.893157,9.186728,3,
BCALCOH,12.081777,23.556732,17,
BCALCOOH,14.231061,7.6191,3,
BCALNO3,12.081777,23.556732,17,
BCALO,15.480908,25.00243,-1,
BCALO2,10.529888,20.360277,18,
BCALOH,12.081777,23.556732,17,
BCALOO,12.080825,23.556175,17,
BCALOOA,12.080825,23.556175,17,
BCALOOH,12.080825,23.556175,17,
BCANO3,-3.1560585,59.303574,15,
BCAO,0.028158449,39.520515,13,
BCAO2,-34.04525,27.693605,22,
BCAOH,-2.706381,38.303967,13,
BCAOO,-6.1943398,38.819046,13,
BCAOOH,-18.69886,45.96772,23,
BCARY,-5.821769,38.820404,13,
BCBCO,0.84040457,32.059177,20,
BCBNO3,-5.483534,38.412994,13,
BCBO,0.028211279,39.520306,13,
BCBO2,-23.010416,31.527086,14,
BCBOCOO,1.562939,30.366539,20,
BCBOO,12.184905,23.348774,17,
BCBOOA,1.7934284,30.327503,20,
BCBOOH,-12.739902,38.3227,13,
BCCNO3,-3.2072103,-51.882713,24,
BCCO,7.845472,45.57128,25,
BCCO2,-30.520414,30.419157,26,
BCCOH,-5.419066,50.846344,27,
BCCOOH,-5.419066,50.846344,27,
BCKANO3,42.67435,19.00002,16,
BCKAO,2.0923896,40.44658,13,
BCKAO2,-25.310022,12.263905,19,
BCKAOH,-5.821769,38.820404,13,
BCKAOO,1.7931473,30.41092,20,
BCKAOOH,-5.2886777,23.799994,21,
BCKBCO,1.7222947,30.251064,20,
BCKBNO3,1.5796232,30.33332,20,
BCKBO,2.0923896,40.44658,13,
BCKBO2,-22.700916,18.604486,28,
BCKBOO,1.994999,11.213421,29,
BCKBOOH,-5.8874545,28.228853,-1,
BCKET,1.6544101,30.489136,20,
BCKOOA,1.6682007,30.492378,20,
BCKOOB,1.3830156,10.940213,29,
BCKSOZ,-4.121842,59.34913,15,
BCKSZOO,-5.0452724,57.845432,15,
BCLKACO,11.590798,6.9643545,3,
BCLKAO,15.01434,12.220293,3,
BCLKAO2,9.892126,9.185017,3,
BCLKAOH,12.611755,10.145021,3,
BCLKAOOH,14.22734,7.615707,3,
BCLKBCO,2.0990405,11.9164715,29,
BCLKBO,2.091869,11.922366,29,
BCLKBO2,-10.65382,3.7375088,30,
BCLKBOC,6.0125794,11.949823,31,
BCLKBOH,1.3459201,11.730757,29,
