name,x,y,label,filterlab
A2PAN,-19.355436,37.68723,3,3
A2PANO,28.055511,-27.528774,2,2
A2PANOO,27.309471,-28.140955,2,2
ACBUOAOOH,27.030836,46.702007,1,1
ACBUONANO3,-13.803478,42.786217,3,3
ACBUONAOH,26.877619,42.91247,1,1
ACBUONBOH,26.370327,43.079433,1,1
ACBUONBOOH,27.030836,46.702007,1,1
ACBUONEAO,19.702648,-37.508274,2,2
ACBUONEAO2,21.756554,-34.432198,2,2
ACBUONEBO,20.109068,-37.228474,2,2
ACBUONEBO2,21.750736,-34.425205,2,2
ACCOC3H6O,20.075516,-37.90146,2,2
ACCOC3H6O2,21.753706,-34.43161,2,2
ACCOCOC2H5,17.312529,34.102764,1,1
ACCOCOEOOH,23.721855,47.981686,1,1
ACCOCOETO,13.5983,-35.316544,2,2
ACCOCOETO2,13.974177,-33.384144,2,2
ACCOCOMEO,15.461092,-30.978785,2,2
ACCOCOMEO2,15.208689,-29.871927,2,2
ACCOCOMOOH,21.247293,20.463676,0,0
ACCOETO,21.1449,-25.942717,2,2
ACCOETO2,21.914856,-24.18312,2,2
ACCOETOOH,19.884909,22.235086,0,0
ACCOMCOMO,16.666412,-31.826422,2,2
ACCOMCOMO2,15.920485,-30.38339,2,2
ACCOMECHO,15.207051,21.975542,0,0
ACCOMECO3,15.208693,-29.871935,2,2
ACCOMECO3H,21.247293,20.463676,0,0
ACCOMEPAN,-19.30004,40.36091,3,3
ACCOPRONE,17.312529,34.102764,1,1
ACCOPROOH,27.030836,46.702007,1,1
ACEBUTBONE,19.757795,27.787626,1,1
ACEBUTONE,19.754425,27.79191,1,1
ACEC2CHO,12.985334,15.271131,0,0
ACEC2H4NO3,-21.446424,45.931263,3,3
ACEC2H4OOH,24.355965,13.467369,0,0
ACECOCOCH3,15.921129,35.807804,1,1
ACEETOHO,29.976309,-27.7683,2,2
ACEETOHO2,28.09039,-28.671606,2,2
ACEETOHOOH,40.591152,44.475456,1,1
ACEPROPONE,16.63349,28.495724,1,1
ACETC2CO2H,18.350178,23.82768,0,0
ACETC2CO3,21.914843,-24.18311,2,2
ACETC2CO3H,19.88489,22.235088,0,0
ACETC2H4O,30.146048,-17.503868,2,2
ACETC2H4O2,28.929186,-15.916896,2,2
ACETC2PAN,-20.172918,42.14205,3,3
ACETCOC2H5,16.928673,28.885756,1,1
ACETCOC3H7,19.754425,27.79191,1,1
ACETETCHO,14.605454,16.069,0,0
ACETMECO3,21.303293,-22.652756,2,2
ACETMECO3H,20.300316,19.454355,0,0
ACETMEPAN,-20.38411,40.37768,3,3
ACETOL,27.001747,17.149973,1,1
ACLOO,-2.2453244,-5.077166,0,0
ACLOOA,-2.2453244,-5.077166,0,0
ACO2H,13.063081,17.353722,0,0
ACO3,24.493046,-18.8812,2,2
ACO3H,16.812977,16.712593,0,0
ACOMCOMOOH,20.792608,21.294346,0,0
ACPRONEO,19.341946,-35.1425,2,2
ACPRONEO2,22.310328,-32.407562,2,2
ACPRONEOH,24.625051,45.670273,1,1
