name,x,y,label,filterlab
A2PAN,0.61276656,12.212357,-1,
A2PANO,0.6268721,12.07835,-1,
A2PANOO,0.61373097,11.915073,-1,
ACBUOAOOH,33.043552,-22.638538,4,4
ACBUONANO3,33.38606,-21.433832,4,4
ACBUONAOH,33.457653,-22.350418,4,4
ACBUONBOH,34.332294,-22.821299,4,4
ACBUONBOOH,34.316975,-22.849478,4,4
ACBUONEAO,34.471504,-21.691938,4,4
ACBUONEAO2,34.626556,-21.62773,4,4
ACBUONEBO,34.91348,-22.067741,4,4
ACBUONEBO2,35.011436,-21.948715,4,4
ACCOC3H6O,-43.174843,-17.493788,11,
ACCOC3H6O2,-43.428944,-17.406565,11,
ACCOCOC2H5,-35.600197,1.0472498,9,9
ACCOCOEOOH,-9.231331,-33.267483,-1,
ACCOCOETO,38.48274,1.1187059,2,2
ACCOCOETO2,38.282936,0.87278146,2,2
ACCOCOMEO,-8.007855,-33.03197,-1,
ACCOCOMEO2,-7.9989495,-32.93959,-1,
ACCOCOMOOH,-7.84864,-31.783134,-1,
ACCOETO,38.644196,1.0513818,2,2
ACCOETO2,38.27987,0.7647401,2,2
ACCOETOOH,38.068687,1.247632,2,2
ACCOMCOMO,-7.4753985,-31.672657,-1,
ACCOMCOMO2,-7.4348035,-31.682262,-1,
ACCOMECHO,-8.100017,-33.261135,-1,
ACCOMECO3,-8.093249,-33.312557,-1,
ACCOMECO3H,-8.190909,-33.395115,-1,
ACCOMEPAN,17.097475,-0.5365391,-1,
ACCOPRONE,6.2611847,-2.8952274,3,3
ACCOPROOH,7.0357485,-4.3423314,3,3
ACEBUTBONE,36.016308,-20.649563,4,4
ACEBUTONE,36.133244,-20.439407,4,4
ACEC2CHO,-9.073848,-33.83741,-1,
ACEC2H4NO3,-6.993813,-7.320268,6,6
ACEC2H4OOH,-5.20462,-24.586218,6,6
ACECOCOCH3,-8.806544,-33.657803,-1,
ACEETOHO,35.41847,0.45251426,2,2
ACEETOHO2,35.304375,0.5425881,2,2
ACEETOHOOH,34.798824,0.80469936,2,2
ACEPROPONE,6.951631,-2.3726003,3,3
ACETC2CO2H,37.717422,0.32746053,2,2
ACETC2CO3,38.03186,0.13134018,2,2
ACETC2CO3H,37.910007,0.05677262,2,2
ACETC2H4O,1.9278954,-22.614779,-1,
ACETC2H4O2,1.8993567,-22.607033,-1,
ACETC2PAN,41.508663,1.5340455,2,2
ACETCOC2H5,37.611286,0.3469086,2,2
ACETCOC3H7,37.92888,-0.32920742,2,2
ACETETCHO,35.968876,-0.53488535,2,2
ACETMECO3,36.768383,-2.0435622,2,2
ACETMECO3H,36.66597,-2.0450299,2,2
ACETMEPAN,35.402363,-3.827993,2,2
ACETOL,38.475643,-3.9734874,2,2
ACLOO,29.141857,-22.954748,4,4
ACLOOA,29.273073,-22.667765,4,4
ACO2H,-5.2612767,-29.17535,-1,
ACO3,-4.2614927,-32.610035,-1,
ACO3H,-4.321198,-32.527683,-1,
ACOMCOMOOH,-7.548647,-31.423023,-1,
ACPRONEO,6.2844796,-2.8363328,3,3
ACPRONEO2,6.105231,-2.6702332,3,3
ACPRONEOH,6.3725634,-3.1357682,3,3
ACPRONEOOH,6.461451,-3.2102518,3,3
ACR,2.1822238,-3.204764,3,3
ACRO2,2.209429,-3.322143,3,3
ACROO,2.5106156,-3.398967,3,3
ACROOA,2.7492886,-3.3331878,3,3
ACRPAN,4.654185,-3.670585,3,3
ALC4DOLOOH,29.933014,27.325483,-1,
ALCOCH2OOH,-19.843924,-39.13085,8,
ALCOMOXOOH,15.518454,-22.802507,5,
ALLYLOH,72.356026,-7.3891735,17,17
APINANO3,4.621727,11.5445595,0,0
APINAO,3.6241477,11.490339,0,0
APINAO2,3.4390223,11.5698595,0,0
APINAOOH,3.6352334,11.956999,0,0
APINBCO,6.7556667,9.290951,0,0
APINBNO3,7.3715706,10.701245,0,0
APINBO,6.697964,9.500616,0,0
APINBO2,7.173255,9.406926,0,0
APINBOH,6.166689,9.4944,0,0
APINBOO,6.6326227,9.523733,0,0
APINBOOH,6.1825495,9.583379,0,0
APINCNO3,6.2218246,12.74582,0,0
APINCO,4.931121,12.453866,0,0
APINCO2,4.9549904,12.473463,0,0
APINCOH,4.269569,13.002749,0,0
APINCOOH,4.383481,12.969692,0,0
APINENE,14.981937,8.659437,0,0
APINOOA,3.572067,11.616418,0,0
APINOOB,6.632584,9.523861,0,0
BCAL,27.694054,-21.19064,4,4
