,indegree,outdegree,edges
37,2.8519,2.8519,77.0
13,2.8519,2.8519,77.0
0,3.1429,3.1429,66.0
68,3.1786,3.1786,89.0
75,3.2069,3.2069,93.0
22,3.2222,3.2222,87.0
12,3.3,3.3,99.0
38,3.3929,3.3929,95.0
76,3.5429,3.5429,124.0
44,3.6585,3.6585,150.0
47,3.6731,3.6731,191.0
50,3.6944,3.6944,133.0
19,3.7143,3.7143,130.0
5,3.8696,3.8696,178.0
55,3.9643,3.9643,222.0
90,4.0,4.0,260.0
36,4.027,4.027,149.0
260,4.2083,4.2083,303.0
11,4.209,4.209,282.0
41,4.2449,4.2449,208.0
26,4.3125,4.3125,138.0
304,4.3191,4.3191,406.0
141,4.3675,4.3675,511.0
18,4.3675,4.3675,511.0
102,4.4868,4.4868,341.0
52,4.4914,4.4914,521.0
88,4.5042,4.5042,536.0
65,4.53,4.53,453.0
124,4.5556,4.5556,697.0
106,4.5702,4.5702,553.0
58,4.5714,4.5714,384.0
419,4.5741,4.5741,1203.0
62,4.5797,4.5797,316.0
25,4.5909,4.5909,404.0
165,4.6,4.6,322.0
160,4.6039,4.6039,709.0
399,4.6126,4.6126,512.0
212,4.6222,4.6222,416.0
45,4.625,4.625,259.0
46,4.6316,4.6316,352.0
94,4.6423,4.6423,571.0
79,4.6535,4.6535,470.0
123,4.6577,4.6577,694.0
226,4.6591,4.6591,615.0
151,4.6596,4.6596,657.0
469,4.6635,4.6635,3437.0
227,4.6694,4.6694,579.0
42,4.6727,4.6727,514.0
96,4.6727,4.6727,514.0
192,4.6742,4.6742,617.0
87,4.6801,4.6801,2911.0
32,4.6811,4.6811,2804.0
27,4.6983,4.6983,545.0
320,4.7231,4.7231,3207.0
431,4.7333,4.7333,568.0
74,4.7348,4.7348,1482.0
170,4.7386,4.7386,725.0
382,4.7443,4.7443,5029.0
166,4.7445,4.7445,650.0
284,4.7465,4.7465,1348.0
314,4.7467,4.7467,712.0
852,4.75,4.75,2413.0
352,4.7513,4.7513,917.0
288,4.7522,4.7522,537.0
717,4.7583,4.7583,3878.0
182,4.7669,4.7669,634.0
180,4.7706,4.7706,520.0
671,4.7713,4.7713,1398.0
1735,4.7724,4.7724,8199.0
128,4.7727,4.7727,525.0
7,4.7736,4.7736,506.0
473,4.7739,4.7739,549.0
39,4.7743,4.7743,1967.0
438,4.7782,4.7782,3555.0
355,4.7816,4.7816,1401.0
1107,4.7849,4.7849,5316.0
2003,4.7898,4.7898,8133.0
1091,4.7899,4.7899,5791.0
142,4.7904,4.7904,1097.0
2781,4.7919,4.7919,8702.0
501,4.792,4.792,5046.0
900,4.7925,4.7925,2056.0
383,4.7932,4.7932,1136.0
1204,4.7948,4.7948,5212.0
1318,4.7954,4.7954,7428.0
460,4.7964,4.7964,801.0
201,4.7971,4.7971,1655.0
254,4.7991,4.7991,1027.0
514,4.8009,4.8009,4484.0
191,4.8018,4.8018,3222.0
547,4.8019,4.8019,1479.0
923,4.8019,4.8019,7395.0
287,4.8023,4.8023,826.0
805,4.803,4.803,4217.0
881,4.8033,4.8033,3761.0
783,4.8035,4.8035,3790.0
245,4.804,4.804,2181.0
2305,4.806,4.806,8300.0
261,4.8077,4.8077,1250.0
825,4.8079,4.8079,1452.0
144,4.8129,4.8129,746.0
17,4.813,4.813,592.0
187,4.8145,4.8145,597.0
