,nodes,edges,vocs
0,76,332,76
1,46,178,46
2,163,814,163
3,106,506,106
4,41,150,41
5,447,2340,447
6,196,938,196
7,30,99,30
8,168,862,168
9,183,909,183
10,146,725,146
11,60,286,60
12,61,296,61
13,32,138,32
14,116,545,116
15,277,1403,277
16,29,96,29
17,125,623,125
18,375,1904,375
19,291,1459,291
20,110,514,110
21,35,118,35
22,164,816,164
23,35,130,35
24,117,511,117
25,67,282,67
26,186,968,186
27,143,728,143
28,377,1894,377
29,191,979,191
30,100,453,100
31,192,969,192
32,52,240,52
33,20,59,20
34,337,1707,337
35,313,1482,313
36,29,93,29
37,239,1224,239
38,82,407,82
39,117,579,117
40,35,121,35
41,417,2098,417
42,721,3818,721
43,22,69,22
44,52,191,52
45,101,492,101
46,82,402,82
47,27,77,27
48,54,232,54
49,174,896,174
50,163,816,163
51,99,508,99
52,36,132,36
53,290,1469,290
54,27,87,27
55,433,2204,433
56,319,1628,319
57,599,2804,599
58,27,77,27
59,363,1872,363
60,28,89,28
61,106,506,106
62,49,208,49
63,56,259,56
64,116,521,116
65,57,260,57
66,49,226,49
67,28,109,28
68,157,764,157
69,129,660,129
70,32,109,32
71,321,1623,321
72,131,648,131
73,88,417,88
74,305,1540,305
75,84,384,84
76,21,66,21
77,374,1941,374
78,86,427,86
79,52,250,52
80,29,93,29
81,148,741,148
82,174,858,174
83,290,1484,290
84,79,400,79
85,123,592,123
86,55,247,55
87,88,404,88
88,263,1288,263
89,138,640,138
90,67,310,67
91,69,325,69
92,264,1365,264
93,244,1210,244
94,104,512,104
95,28,95,28
96,129,662,129
97,76,352,76
98,56,235,56
99,85,381,85
100,105,524,105
101,353,1777,353
102,138,693,138
103,37,149,37
104,69,316,69
105,269,1343,269
106,233,1196,233
107,98,486,98
108,27,88,27
109,179,911,179
110,35,124,35
111,300,1525,300
112,408,2080,408
113,182,913,182
114,89,475,89
115,289,1427,289
116,200,1011,200
117,104,526,104
118,326,1671,326
119,289,1498,289
120,419,2106,419
121,192,899,192
122,412,1967,412
123,67,310,67
124,95,528,95
125,38,127,38
126,610,3534,610
127,47,190,47
128,162,872,162
129,310,1590,310
130,36,133,36
131,56,222,56
132,282,1460,282
133,110,557,110
134,301,1512,301
135,193,957,193
136,191,979,191
137,214,1062,214
138,157,797,157
139,107,531,107
140,51,198,51
141,432,2277,432
142,183,909,183
143,86,373,86
144,65,306,65
145,475,2515,475
146,285,1456,285
147,159,770,159
148,153,742,153
149,601,3020,601
150,214,1062,214
151,363,1827,363
152,29,95,29
153,456,2313,456
154,449,2278,449
155,140,679,140
156,206,1049,206
157,150,715,150
158,379,1947,379
159,124,587,124
160,177,880,177
161,202,988,202
162,193,949,193
163,43,143,43
164,447,2340,447
165,303,1514,303
166,138,640,138
167,420,1994,420
168,345,1755,345
169,496,2477,496
170,222,1121,222
171,100,522,100
172,561,2880,561
173,104,512,104
174,337,1707,337
175,176,858,176
176,943,4915,943
177,729,3845,729
178,406,2083,406
179,457,2320,457
180,246,1264,246
181,354,1838,354
182,345,1725,345
183,386,1904,386
184,314,1575,314
185,170,832,170
186,316,1647,316
187,137,709,137
188,106,525,106
189,433,2204,433
190,90,395,90
191,213,1042,213
192,303,1493,303
193,88,417,88
194,208,1063,208
195,254,1258,254
196,140,676,140
197,294,1468,294
198,42,146,42
199,320,1607,320
200,176,814,176
201,459,2217,459
202,168,805,168
203,351,1776,351
204,232,1131,232
205,244,1166,244
206,106,519,106
207,410,2131,410
208,76,352,76
209,650,3746,650
210,278,1405,278
211,290,1469,290
212,456,2382,456
213,233,1196,233
214,425,2132,425
215,119,545,119
216,398,2016,398
217,184,911,184
218,208,1037,208
219,169,856,169
220,650,3735,650
221,200,1011,200
222,753,3985,753
223,305,1530,305
224,341,1682,341
225,220,1141,220
226,94,443,94
227,432,2277,432
228,200,1011,200
229,445,2330,445
230,86,401,86
231,260,1280,260
232,107,535,107
233,454,2369,454
234,178,865,178
235,220,1190,220
236,608,3161,608
237,146,678,146
238,159,778,159
239,145,711,145
240,108,539,108
241,381,1966,381
242,299,1473,299
243,404,2030,404
244,97,433,97
245,326,1638,326
246,42,142,42
247,177,869,177
248,372,1835,372
249,180,839,180
250,668,3449,668
251,113,528,113
252,87,422,87
253,450,2300,450
254,395,1996,395
255,238,1213,238
256,251,1206,251
257,759,4307,759
258,331,1602,331
259,178,879,178
260,616,3220,616
261,346,1764,346
262,137,661,137
263,156,758,156
264,421,2133,421
265,411,2105,411
266,752,3953,752
267,63,281,63
268,62,299,62
269,69,316,69
270,474,2476,474
271,367,1773,367
272,553,2821,553
273,158,772,158
274,154,765,154
275,53,192,53
276,111,547,111
277,193,997,193
278,158,780,158
279,179,870,179
280,142,719,142
281,114,637,114
282,36,122,36
283,160,790,160
284,160,803,160
285,70,325,70
286,134,678,134
287,382,1967,382
288,308,1543,308
289,193,957,193
290,116,545,116
291,331,1683,331
292,55,233,55
293,213,1070,213
294,315,1484,315
295,110,535,110
296,631,3643,631
297,134,635,134
298,426,2201,426
299,236,1160,236
300,217,1004,217
301,486,2528,486
302,383,1920,383
303,57,254,57
304,149,789,149
305,484,2462,484
306,167,893,167
307,292,1473,292
308,111,553,111
309,191,979,191
310,97,465,97
311,174,857,174
312,112,542,112
313,255,1258,255
314,477,2502,477
315,125,623,125
316,124,587,124
317,175,861,175
318,382,1926,382
319,131,648,131
320,54,208,54
321,414,2106,414
322,117,579,117
323,124,597,124
324,179,892,179
325,447,2280,447
326,175,898,175
327,202,1040,202
328,140,704,140
329,76,319,76
330,440,2231,440
331,331,1685,331
332,101,483,101
333,35,130,35
334,388,1978,388
335,49,208,49
336,215,1058,215
337,71,335,71
338,644,3684,644
339,793,3783,793
340,251,1271,251
341,146,706,146
342,285,1412,285
343,347,1733,347
344,119,532,119
345,303,1555,303
346,191,979,191
347,298,1458,298
348,298,1499,298
349,439,2248,439
350,148,741,148
351,512,2675,512
352,124,599,124
353,205,952,205
354,263,1327,263
355,392,2003,392
356,322,1625,322
357,315,1617,315
358,168,839,168
359,117,511,117
360,368,1807,368
361,291,1444,291
362,218,1094,218
363,75,302,75
364,331,1664,331
