,nodes,edges,vocs
0,21.0,66.0,1.0
34,27.0,77.0,1.0
20,27.0,87.0,1.0
12,27.0,77.0,1.0
35,28.0,95.0,1.0
68,29.0,93.0,1.0
11,30.0,99.0,1.0
24,32.0,138.0,1.0
69,35.0,124.0,1.0
17,35.0,130.0,1.0
45,36.0,133.0,1.0
33,37.0,149.0,1.0
40,41.0,150.0,1.0
4,46.0,178.0,1.0
38,49.0,208.0,1.0
42,52.0,191.0,1.0
50,56.0,222.0,1.0
83,65.0,260.0,2.0
10,67.0,282.0,1.0
57,69.0,316.0,1.0
153,70.0,322.0,2.0
244,72.0,303.0,3.0
94,76.0,341.0,2.0
41,76.0,352.0,1.0
53,84.0,384.0,1.0
23,88.0,404.0,1.0
63,89.0,475.0,1.0
198,90.0,416.0,3.0
287,94.0,406.0,4.0
60,100.0,453.0,1.0
72,101.0,470.0,2.0
9,101.0,492.0,1.0
21,104.0,526.0,1.0
44,105.0,524.0,1.0
6,106.0,506.0,1.0
166,109.0,520.0,3.0
54,110.0,557.0,1.0
118,110.0,525.0,2.0
380,111.0,512.0,5.0
272,113.0,537.0,4.0
451,115.0,549.0,5.0
185,116.0,559.0,3.0
47,116.0,521.0,1.0
25,116.0,545.0,1.0
108,118.0,580.0,2.0
81,119.0,536.0,2.0
412,120.0,568.0,5.0
97,121.0,553.0,2.0
87,123.0,571.0,2.0
16,123.0,592.0,1.0
173,124.0,597.0,4.0
211,124.0,579.0,3.0
32,125.0,623.0,1.0
311,127.0,655.0,4.0
39,129.0,662.0,1.0
210,130.0,629.0,3.0
142,131.0,649.0,2.0
78,131.0,648.0,2.0
178,132.0,617.0,3.0
168,133.0,634.0,3.0
348,135.0,669.0,4.0
257,136.0,687.0,3.0
192,137.0,661.0,3.0
52,138.0,693.0,1.0
275,140.0,714.0,4.0
140,141.0,657.0,2.0
1,148.0,741.0,1.0
129,148.0,741.0,2.0
128,148.0,788.0,2.0
113,149.0,694.0,2.0
297,150.0,712.0,4.0
235,152.0,740.0,3.0
114,153.0,697.0,2.0
157,153.0,725.0,2.0
149,154.0,709.0,2.0
337,154.0,763.0,4.0
133,155.0,746.0,2.0
161,156.0,752.0,2.0
55,157.0,764.0,1.0
64,157.0,797.0,1.0
184,162.0,854.0,3.0
116,163.0,816.0,2.0
136,163.0,823.0,2.0
48,164.0,816.0,1.0
332,164.0,814.0,4.0
439,167.0,801.0,5.0
13,168.0,862.0,1.0
281,172.0,859.0,4.0
271,172.0,826.0,4.0
188,173.0,902.0,3.0
5,174.0,858.0,1.0
150,174.0,877.0,2.0
146,175.0,902.0,2.0
65,179.0,911.0,1.0
274,181.0,907.0,4.0
234,184.0,906.0,3.0
214,184.0,906.0,3.0
409,184.0,892.0,5.0
88,186.0,916.0,2.0
327,186.0,922.0,4.0
59,186.0,968.0,1.0
415,189.0,929.0,5.0
62,191.0,979.0,1.0
56,192.0,969.0,1.0
340,192.0,967.0,4.0
205,192.0,967.0,3.0
85,192.0,966.0,2.0
58,193.0,957.0,1.0
216,193.0,971.0,3.0
333,193.0,917.0,4.0
236,197.0,971.0,3.0
74,197.0,1005.0,2.0
18,200.0,1011.0,1.0
98,200.0,1012.0,2.0
127,202.0,1026.0,2.0
151,204.0,1034.0,2.0
104,207.0,1014.0,2.0
247,207.0,1030.0,3.0
231,211.0,1059.0,3.0
366,211.0,1073.0,5.0
238,214.0,1027.0,3.0
243,221.0,1080.0,3.0
123,224.0,1127.0,2.0
253,226.0,1139.0,3.0
314,226.0,1114.0,4.0
186,227.0,1154.0,3.0
355,228.0,1165.0,4.0
221,228.0,1105.0,3.0
131,229.0,1097.0,2.0
239,229.0,1108.0,3.0
102,229.0,1120.0,2.0
86,230.0,1133.0,2.0
51,233.0,1196.0,1.0
368,233.0,1141.0,5.0
300,234.0,1199.0,4.0
364,237.0,1136.0,5.0
126,238.0,1213.0,2.0
144,239.0,1301.0,2.0
280,242.0,1179.0,4.0
139,244.0,1185.0,2.0
31,244.0,1210.0,1.0
255,246.0,1208.0,3.0
227,246.0,1203.0,3.0
350,249.0,1220.0,4.0
320,252.0,1348.0,4.0
428,254.0,1264.0,5.0
163,255.0,1230.0,3.0
245,260.0,1250.0,3.0
26,263.0,1288.0,1.0
400,263.0,1203.0,5.0
202,264.0,1326.0,3.0
30,264.0,1365.0,1.0
203,264.0,1365.0,3.0
215,264.0,1326.0,3.0
122,264.0,1291.0,2.0
107,268.0,1354.0,2.0
357,269.0,1342.0,5.0
99,269.0,1298.0,2.0
339,269.0,1326.0,4.0
132,277.0,1403.0,2.0
441,277.0,1401.0,5.0
27,277.0,1403.0,1.0
89,277.0,1347.0,2.0
420,277.0,1345.0,5.0
193,281.0,1408.0,3.0
268,284.0,1348.0,4.0
443,284.0,1388.0,5.0
147,286.0,1471.0,2.0
305,287.0,1477.0,4.0
28,290.0,1469.0,1.0
8,290.0,1484.0,1.0
15,291.0,1459.0,1.0
309,292.0,1454.0,4.0
336,293.0,1401.0,4.0
112,294.0,1488.0,2.0
159,297.0,1539.0,2.0
124,297.0,1494.0,2.0
394,299.0,1500.0,5.0
49,301.0,1512.0,1.0
399,303.0,1504.0,5.0
402,305.0,1507.0,5.0
266,307.0,1577.0,4.0
138,307.0,1513.0,2.0
43,310.0,1590.0,1.0
392,311.0,1619.0,5.0
197,311.0,1595.0,4.0
67,313.0,1482.0,1.0
100,313.0,1602.0,2.0
92,314.0,1580.0,2.0
152,315.0,1636.0,2.0
276,315.0,1561.0,4.0
182,317.0,1552.0,3.0
382,319.0,1621.0,5.0
252,320.0,1607.0,3.0
174,321.0,1617.0,3.0
181,323.0,1671.0,3.0
190,324.0,1666.0,3.0
119,324.0,1587.0,2.0
71,325.0,1657.0,2.0
22,326.0,1671.0,1.0
189,327.0,1696.0,3.0
75,333.0,1689.0,2.0
204,334.0,1714.0,3.0
115,335.0,1681.0,2.0
66,337.0,1707.0,1.0
148,338.0,1781.0,2.0
416,340.0,1699.0,5.0
96,340.0,1710.0,2.0
145,343.0,1733.0,2.0
170,344.0,1753.0,3.0
141,345.0,1757.0,2.0
187,345.0,1655.0,3.0
137,345.0,1728.0,2.0
207,345.0,1742.0,4.0
367,347.0,1717.0,5.0
240,349.0,1780.0,3.0
233,349.0,1786.0,3.0
425,352.0,1772.0,5.0
