,transivity,density,nodes
19,0.0233098566372,0.00735475419941,721.0
29,0.0276777714425,0.00782798532672,599.0
36,0.0373395729418,0.0116162331987,412.0
46,0.0347872073429,0.0117374424414,447.0
14,0.0374623717083,0.0117825677872,433.0
3,0.0383316782522,0.0120941708172,417.0
7,0.0397238898733,0.0125258948788,408.0
61,0.0417629530528,0.0133613635081,377.0
2,0.0424830780192,0.0139137790139,374.0
37,0.0443740634791,0.0143011202678,353.0
66,0.0463902147971,0.0150752437474,337.0
67,0.0465615696227,0.0151757188498,313.0
22,0.0466137909815,0.0157715903728,326.0
43,0.0490708823646,0.0165988098966,310.0
49,0.0486194477791,0.0167441860465,301.0
15,0.0490816972768,0.0172887782913,291.0
28,0.0525227261796,0.0175277413197,290.0
8,0.0526586180324,0.0177067175755,290.0
27,0.0544254379206,0.0183513838748,277.0
26,0.0571932552021,0.0186921313093,263.0
30,0.0545707070707,0.0196595229865,264.0
31,0.0588371631018,0.0204074748701,244.0
51,0.0602747734581,0.0221252034927,233.0
18,0.0732304900181,0.0254020100503,200.0
58,0.0720039781203,0.0258257772021,193.0
56,0.0710289236605,0.0264234293194,192.0
62,0.0703488372093,0.0269771286856,191.0
59,0.073057701045,0.0281313571636,186.0
5,0.0738237172663,0.0285030894957,174.0
65,0.0723252220935,0.0285920532296,179.0
48,0.0753305063607,0.0305252132276,164.0
13,0.0771096023278,0.0307242657542,168.0
55,0.0782447623914,0.0311938592193,157.0
64,0.076881134133,0.0325412379553,157.0
1,0.0872438372438,0.0340595697739,148.0
52,0.0920444824636,0.0366550301492,138.0
47,0.104791258055,0.0390554722639,116.0
16,0.0995402298851,0.0394508863121,123.0
39,0.0946013705499,0.0400920542636,129.0
32,0.0955151060236,0.0401935483871,125.0
25,0.105249679898,0.0408545727136,116.0
6,0.104577850877,0.0454627133872,106.0
60,0.117752326414,0.0457575757576,100.0
54,0.102400519031,0.0464553794829,110.0
44,0.112547632009,0.0479853479853,105.0
9,0.115178822867,0.0487128712871,101.0
21,0.102732240437,0.0491038088125,104.0
23,0.128571428571,0.0527690700104,88.0
53,0.111062335382,0.0550774526678,84.0
63,0.107731015554,0.0606486210419,89.0
41,0.137839147287,0.0617543859649,76.0
10,0.136225266362,0.0637720488467,67.0
57,0.147125140924,0.0673486786019,69.0
42,0.137268847795,0.0720211161388,52.0
50,0.165408805031,0.0720779220779,56.0
4,0.173170731707,0.0859903381643,46.0
38,0.170387779083,0.0884353741497,49.0
40,0.179303278689,0.0914634146341,41.0
69,0.195478723404,0.104201680672,35.0
45,0.223958333333,0.105555555556,36.0
17,0.206601466993,0.109243697479,35.0
34,0.239010989011,0.109686609687,27.0
12,0.245714285714,0.109686609687,27.0
33,0.195652173913,0.111861861862,37.0
11,0.217153284672,0.113793103448,30.0
68,0.230263157895,0.114532019704,29.0
20,0.24882629108,0.123931623932,27.0
35,0.233201581028,0.125661375661,28.0
24,0.242608695652,0.139112903226,32.0
0,0.277777777778,0.157142857143,21.0
