,0,1,2,3
0,A2PAN,A2PANOO,0,KBPAN
1,A2PAN,CO,0,OH
2,A2PAN,HOCH2CHO,0,OH
3,A2PANO,HOCH2CHO,0,KDEC
4,A2PANOO,A2PAN,0,NO2
5,A2PANOO,A2PANO,[],[]
6,A2PANOO,C2OHOCO2H,[],[]
7,A2PANOO,C2OHOCOOH,0,HO2
8,ACBUOAOOH,ACBUONEAO,0,hv
9,ACBUOAOOH,ACBUONEAO2,0,OH
10,ACBUOAOOH,ACCOPRONE,0,OH
11,ACBUONANO3,ACBUONEAO,0,hv
12,ACBUONANO3,ACCOPRONE,0,OH
13,ACBUONAOH,ACCOPRONE,0,OH
14,ACBUONAOH,ACEETOHO2,0,hv
15,ACBUONAOH,CH3CO3,0,hv
16,ACBUONBOH,ACCOCOC2H5,0,OH
17,ACBUONBOH,C2H5CO3,0,hv
18,ACBUONBOH,METACETHO,0,hv
19,ACBUONBOOH,ACBUONEBO,0,hv
20,ACBUONBOOH,ACBUONEBO2,0,OH
21,ACBUONBOOH,ACCOCOC2H5,0,OH
22,ACBUONBOOH,C2H5CO3,0,hv
23,ACBUONBOOH,METACETHO,0,hv
24,ACBUONEAO,CH3O2,0,KDEC
25,ACBUONEAO,CO2C3CHO,0,KDEC
26,ACBUONEAO2,ACBUOAOOH,0,RO2HO2
27,ACBUONEAO2,ACBUONANO3,0,RO2NO
28,ACBUONEAO2,ACBUONAOH,0,RO2
29,ACBUONEAO2,ACBUONEAO,[],[]
30,ACBUONEAO2,ACCOPRONE,0,RO2
31,ACBUONEBO,CH3O2,0,KDEC
32,ACBUONEBO,EGLYOX,0,KDEC
33,ACBUONEBO2,ACBUONBOH,0,RO2
34,ACBUONEBO2,ACBUONBOOH,0,RO2HO2
35,ACBUONEBO2,ACBUONEBO,[],[]
36,ACBUONEBO2,ACCOCOC2H5,0,RO2
37,ACCOC3H6O,ACCOPRONE,0,O2
38,ACCOC3H6O,CH3CHO,0,Uni-molecular
39,ACCOC3H6O,MECOACETO2,0,Uni-molecular
40,ACCOC3H6O2,ACCOC3H6O,[],[]
41,ACCOC3H6O2,ACCOPROOH,0,RO2HO2
42,ACCOCOC2H5,ACCOCOETO2,0,OH
43,ACCOCOC2H5,C2H5CO3,0,hv
44,ACCOCOC2H5,CH3CO3,0,hv
45,ACCOCOEOOH,ACCOCOETO,0,hv
46,ACCOCOEOOH,ACCOCOETO2,0,OH
47,ACCOCOETO,CH3CHO,0,KDEC
48,ACCOCOETO,CH3CO3,0,KDEC
49,ACCOCOETO,CO,0,KDEC
50,ACCOCOETO2,ACCOCOEOOH,0,RO2HO2
51,ACCOCOETO2,ACCOCOETO,[],[]
52,ACCOCOMEO,CH3CO3,0,KDEC
53,ACCOCOMEO,CO,0,KDEC
54,ACCOCOMEO,HCHO,0,KDEC
55,ACCOCOMEO2,ACCOCOMEO,[],[]
56,ACCOCOMEO2,ACCOCOMOOH,0,RO2HO2
57,ACCOCOMOOH,ACCOCOMEO,0,hv
58,ACCOCOMOOH,ACCOCOMEO2,0,OH
59,ACCOCOMOOH,CH3CO3,0,hv
60,ACCOCOMOOH,CO,0,hv
61,ACCOCOMOOH,HCHO,0,hv
62,ACCOETO,ACCOMECHO,0,O2
63,ACCOETO2,ACCOETO,[],[]
64,ACCOETO2,ACCOETOOH,0,RO2HO2
65,ACCOETOOH,ACCOETO,0,hv
66,ACCOETOOH,ACCOETO2,0,OH
67,ACCOMCOMO,ACCOMECO3,0,KDEC
