HEXBO2+NO --> HEXBNO3  6 r:6 p:0 
CH3CHOOA --> CH3O2+HO2  1 r:2 p:1 
CH3CHOOA --> CH4  1 r:2 p:1 
GLYOX --> H2+CO  1 r:2 p:1 
GLYOX --> CO+HO2  1 r:2 p:1 
HCOOH+OH --> HO2  1 r:1 p:0 
BZEPOXMUC --> CO+MALDIAL+HO2  1 r:6 p:5 
MACROOA --> C3H6  1 r:4 p:3 
MACROOA --> HCHO+HO2+CH3CO3  1 r:4 p:3 
MVKOOA --> C3H6  1 r:4 p:3 
MVKOOA --> HCHO+CO+CH3O2+HO2  1 r:4 p:3 
HO2+CH3CO3 --> CH3O2+OH  1 r:2 p:1 
CH3CO3+NO --> CH3O2+NO2  1 r:2 p:1 
CH3CO3+NO3 --> CH3O2+NO2  1 r:2 p:1 
CH3CO3 --> CH3O2  1 r:2 p:1 
NOPINOOA --> C8BC  1 r:9 p:8 
LIMAO2+HO2 --> LIMAOOH  10 r:10 p:0 
HOCH2CH2O --> HCHO+HO2  1 r:2 p:1 
HEXBNO3 --> NO2+HEXBO  -6 r:0 p:6 
HEXBNO3+OH --> HEX2ONE+NO2  -6 r:0 p:6 
ETHENO3O --> HCHO+NO2  1 r:2 p:1 
CO+CH2OO --> HCHO  1 r:2 p:1 
CH3CHOO+CO --> CH3CHO  1 r:3 p:2 
HCOCO --> CO+HO2  1 r:2 p:1 
HCOCO --> CO+OH  1 r:2 p:1 
HO2+BZEMUCCO3 --> C5DIALO2+OH  1 r:6 p:5 
BZEMUCCO3+NO --> C5DIALO2+NO2  1 r:6 p:5 
BZEMUCCO3+NO3 --> C5DIALO2+NO2  1 r:6 p:5 
BZEMUCCO3 --> C5DIALO2  1 r:6 p:5 
GLYOOA --> HCHO  1 r:2 p:1 
GLYOOA --> CO+HO2  1 r:2 p:1 
GLYOOA --> CO+HO2+OH  1 r:2 p:1 
TLEMUCCO3+HO2 --> C615CO2O2+OH  1 r:7 p:6 
TLEMUCCO3+NO --> C615CO2O2+NO2  1 r:7 p:6 
TLEMUCCO3+NO3 --> C615CO2O2+NO2  1 r:7 p:6 
TLEMUCCO3 --> C615CO2O2  1 r:7 p:6 
MGLOOB --> CH3CHO  1 r:3 p:2 
MGLOOB --> HO2+CH3CO3  1 r:3 p:2 
NC4CHO --> ACETOL+CO+HO2+NO2  1 r:5 p:4 
MACO3+HO2 --> CH3C2H2O2+OH  1 r:4 p:3 
MACO3+NO --> NO2+CH3C2H2O2  1 r:4 p:3 
MACO3+NO3 --> NO2+CH3C2H2O2  1 r:4 p:3 
MACO3 --> CH3C2H2O2  1 r:4 p:3 
MGLOOA --> CH3CHO  1 r:3 p:2 
CO+MACROO --> MACR  1 r:5 p:4 
CO+MVKOO --> MVK  1 r:5 p:4 
HO2+M3BU3ECO3 --> C45O2+NO2+OH  1 r:5 p:4 
M3BU3ECO3+NO --> C45O2+NO2  1 r:5 p:4 
M3BU3ECO3+NO3 --> C45O2+NO2  1 r:5 p:4 
M3BU3ECO3 --> C45O2  1 r:5 p:4 
CO2C3OOA --> CH3COCH2O2+HO2  1 r:4 p:3 
CO2C3OOA --> CH3COCH3  1 r:4 p:3 
CH3CO2H+OH --> CH3O2  1 r:2 p:1 
CH3CO3H --> CH3O2+OH  1 r:2 p:1 
BIACET --> CH3CO3  2 r:4 p:2 
CO+APINBOO --> PINAL  1 r:11 p:10 
NOPINOO+CO --> NOPINONE  1 r:10 p:9 
LIMBOO+CO --> LIMAL  1 r:11 p:10 
LIMAOOH+OH --> LIMAO2  -10 r:0 p:10 
LIMAOOH --> LIMAO+OH  -10 r:0 p:10 
HO2+HOCH2CO3 --> HCHO+HO2+OH  1 r:2 p:1 
HOCH2CO3+NO --> HCHO+HO2+NO2  1 r:2 p:1 
HOCH2CO3+NO3 --> HCHO+HO2+NO2  1 r:2 p:1 
HOCH2CO3 --> HCHO+HO2  1 r:2 p:1 
C2H5CO3+HO2 --> C2H5O2+OH  1 r:3 p:2 
C2H5CO3+NO --> C2H5O2+NO2  1 r:3 p:2 
C2H5CO3+NO3 --> C2H5O2+NO2  1 r:3 p:2 
C2H5CO3 --> C2H5O2  1 r:3 p:2 
HO2+C3H7CO3 --> NC3H7O2+OH  1 r:4 p:3 
C3H7CO3+NO --> NC3H7O2+NO2  1 r:4 p:3 
C3H7CO3+NO3 --> NC3H7O2+NO2  1 r:4 p:3 
C3H7CO3 --> NC3H7O2  1 r:4 p:3 
IBUTOLCO2 --> HOIPRCHO  4 r:4 p:0 
HO2+IPRCO3 --> IC3H7O2+OH  1 r:4 p:3 
IPRCO3+NO --> IC3H7O2+NO2  1 r:4 p:3 
IPRCO3+NO3 --> IC3H7O2+NO2  1 r:4 p:3 
IPRCO3 --> IC3H7O2  1 r:4 p:3 
IBUTALBO2 --> HOIPRCHO  4 r:4 p:0 
C4H9CO3+HO2 --> NC4H9O2+OH  1 r:5 p:4 
C4H9CO3+NO --> NC4H9O2+NO2  1 r:5 p:4 
C4H9CO3+NO3 --> NC4H9O2+NO2  1 r:5 p:4 
C4H9CO3 --> NC4H9O2  1 r:5 p:4 
HO2+BUT2CO3 --> OH+SC4H9O2  1 r:5 p:4 
BUT2CO3+NO --> NO2+SC4H9O2  1 r:5 p:4 
BUT2CO3+NO3 --> NO2+SC4H9O2  1 r:5 p:4 
BUT2CO3 --> SC4H9O2  1 r:5 p:4 
TBUTCO3+HO2 --> TC4H9O2+OH  1 r:5 p:4 
TBUTCO3+NO --> TC4H9O2+NO2  1 r:5 p:4 
TBUTCO3+NO3 --> TC4H9O2+NO2  1 r:5 p:4 
TBUTCO3 --> TC4H9O2  1 r:5 p:4 
HO2+C5H11CO3 --> PEAO2+OH  1 r:6 p:5 
C5H11CO3+NO --> PEAO2+NO2  1 r:6 p:5 
C5H11CO3+NO3 --> PEAO2+NO2  1 r:6 p:5 
C5H11CO3 --> PEAO2  1 r:6 p:5 
NO3CH2CO3+HO2 --> HCHO+NO2+OH  1 r:2 p:1 
NO3CH2CO3+NO --> HCHO+NO2  1 r:2 p:1 
NO3CH2CO3+NO3 --> HCHO+NO2  1 r:2 p:1 
NO3CH2CO3 --> HCHO+NO2  1 r:2 p:1 
HO2+PRNO3CO3 --> CH3CHO+NO2+OH  1 r:3 p:2 
NO+PRNO3CO3 --> CH3CHO+NO2  1 r:3 p:2 
NO3+PRNO3CO3 --> CH3CHO+NO2  1 r:3 p:2 
PRNO3CO3 --> CH3CHO+NO2  1 r:3 p:2 
HO2+CH3CHOHCO3 --> CH3CHO+HO2+OH  1 r:3 p:2 
CH3CHOHCO3+NO --> CH3CHO+HO2+NO2  1 r:3 p:2 
CH3CHOHCO3+NO3 --> CH3CHO+HO2+NO2  1 r:3 p:2 
CH3CHOHCO3 --> CH3CHO+HO2  1 r:3 p:2 
HCOCO3+HO2 --> CO+HO2+OH  1 r:2 p:1 
