,Reactants,Products,DSMACC inorganics,Downloaded inorganics 
0,(['O']),(['O3']),6.00E-34*O2*O2*((TEMP/300)**-2.6)+5.60E-34*O2*N2*((TEMP/300)**-2.6),5.6E-34*N2*(TEMP/300)**-2.6*O2+6.0E-34*O2*(TEMP/300)**-2.6*O2
1,"(['O3', 'O'])",(['DUMMY']),8.00E-12*EXP(-2060/TEMP),8.0E-12*EXP(-2060/TEMP)
2,"(['NO2', 'O'])",(['NO']),5.50E-12*EXP(188/TEMP),5.5E-12*EXP(188/TEMP)
3,(['O1D']),(['O']),3.20E-11*O2*EXP(70/TEMP),3.2E-11*EXP(67/TEMP)*O2+2.0E-11*EXP(130/TEMP)*N2
4,(['O1D']),(['O']),1.80E-11*N2*EXP(110/TEMP),3.2E-11*EXP(67/TEMP)*O2+2.0E-11*EXP(130/TEMP)*N2
5,(['O1D']),(['O']),3.20E-11*O2*EXP(67/TEMP)+1.80E-11*N2*EXP(107/TEMP),3.2E-11*EXP(67/TEMP)*O2+2.0E-11*EXP(130/TEMP)*N2
6,"(['O3', 'NO'])",(['NO2']),1.40E-12*EXP(-1310/TEMP),1.4E-12*EXP(-1310/TEMP)
7,"(['O3', 'NO2'])",(['NO3']),1.40E-13*EXP(-2470/TEMP),1.4E-13*EXP(-2470/TEMP)
8,(['NO']),(['NO2']),3.30E-39*EXP(530/TEMP)*O2,3.3E-39*EXP(530/TEMP)*O2
9,"(['NO3', 'NO'])",(['NO2']),1.80E-11*EXP(110/TEMP),1.8E-11*EXP(110/TEMP)
10,"(['NO2', 'NO3'])","(['NO2', 'NO'])",4.50E-14*EXP(-1260/TEMP),4.50E-14*EXP(-1260/TEMP)
11,(['N2O5']),"(['NO2', 'NO3'])",KMT04+J(5)+J(6),KMT04
12,(['O1D']),(['OH']),2.20E-10*H2O,2.14E-10*H2O
13,"(['O3', 'OH'])",(['HO2']),1.70E-12*EXP(-940/TEMP),1.70E-12*EXP(-940/TEMP)
14,"(['H2', 'OH'])",(['HO2']),7.70E-12*EXP(-2100/TEMP),7.7E-12*EXP(-2100/TEMP)
15,"(['CO', 'OH'])",(['HO2']),1.44E-13*KMT05,KMT05
16,"(['H2O2', 'OH'])",(['HO2']),2.90E-12*EXP(-160/TEMP),2.9E-12*EXP(-160/TEMP)
17,"(['O3', 'HO2'])",(['OH']),2.03E-16*((TEMP/300)**4.57)*EXP(693/TEMP),2.03E-16*(TEMP/300)**4.57*EXP(693/TEMP)
18,"(['HO2', 'OH'])",(['DUMMY']),4.80E-11*EXP(250/TEMP),4.8E-11*EXP(250/TEMP)
19,(['HO2']),(['H2O2']),2.20E-13*KMT06*EXP(600/TEMP),2.20E-13*KMT06*EXP(600/TEMP)+1.90E-33*M*KMT06*EXP(980/TEMP)
20,(['HO2']),(['H2O2']),1.90E-33*M*KMT06*EXP(980/TEMP),2.20E-13*KMT06*EXP(600/TEMP)+1.90E-33*M*KMT06*EXP(980/TEMP)
21,(['HO2']),(['H2O2']),2.20E-13*KMT06*EXP(600/TEMP)+1.90E-33*M*KMT06*EXP(980/TEMP),2.20E-13*KMT06*EXP(600/TEMP)+1.90E-33*M*KMT06*EXP(980/TEMP)
22,"(['NO3', 'OH'])","(['HO2', 'NO2'])",2.00E-11*EXP(0./TEMP),2E-011
23,"(['HO2', 'NO'])","(['NO2', 'OH'])",3.60E-12*EXP(270/TEMP),3.45E-12*EXP(270/TEMP)
24,(['HO2NO2']),"(['HO2', 'NO2'])",KMT10+j(1300),KMT10
25,"(['HO2NO2', 'OH'])",(['NO2']),3.20E-12*EXP(690/TEMP),3.2E-13*EXP(690/TEMP)*1.0
26,"(['HO2', 'NO3'])","(['NO2', 'OH'])",4.00E-12*EXP(0./TEMP),4E-012
27,"(['HONO', 'OH'])",(['NO2']),2.50E-12*EXP(260/TEMP),2.5E-12*EXP(260/TEMP)
28,"(['SO2', 'O'])",(['SO3']),4.00E-32*EXP(-1000/TEMP)*M,4.0E-32*EXP(-1000/TEMP)*M
29,(['HSO3']),"(['SO3', 'HO2'])",1.30E-12*EXP(-330/TEMP)*O2,1.3E-12*EXP(-330/TEMP)*O2
