,name,smiles,inchi,synonyms
0,C918NO3,O=CCC(=O)C1CC(ON(=O)=O)C1(C)C,"InChI=1S/C9H13NO5/c1-9(2)6(7(12)3-4-11)5-8(9)15-10(13)14/h4,6,8H,3,5H2,1-2H3",
1,C134CO,OCCC(=O)C(=O)C(=O)C(C)(C)C(=O)CCC(=O)C,"InChI=1S/C13H18O6/c1-8(15)4-5-10(17)13(2,3)12(19)11(18)9(16)6-7-14/h14H,4-7H2,1-3H3",
2,NBUTACET,CCCCOC(=O)C,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","Butyl acetate;N-BUTYL ACETATE;Acetic acid, butyl ester;Butyl ethanoate;1-Butyl acetate"
3,C124O2,CCCCCCC(=O)C(O[O])CC(=O)CC,"InChI=1S/C12H21O4/c1-3-5-6-7-8-11(14)12(16-15)9-10(13)4-2/h12H,3-9H2,1-2H3",
4,PROL1MPAN,CCC(C)(O)C(=O)OON(=O)=O,"InChI=1S/C5H9NO6/c1-3-5(2,8)4(7)11-12-6(9)10/h8H,3H2,1-2H3",
5,BCCOOH,OCC1(OO)CC\C=C(\C)/CCC2C1CC2(C)C,"InChI=1S/C15H26O3/c1-11-5-4-8-15(10-16,18-17)13-9-14(2,3)12(13)7-6-11/h5,12-13,16-17H,4,6-10H2,1-3H3/b11-5-",
6,IPRHOCO2H,OC(=O)C(C)(C)O,"InChI=1S/C4H8O3/c1-4(2,7)3(5)6/h7H,1-2H3,(H,5,6)",2-HYDROXYISOBUTYRIC ACID;2-Methyllactic acid;2-Hydroxy-2-methylpropanoic acid;Acetonic acid;alpha-Hydroxyisobutyric acid
7,TM124NO2O,CC1=CC([O])(O)C2(OOC1(C)C2O)N(=O)=O,"InChI=1S/C8H10NO7/c1-4-3-7(11,12)8(9(13)14)5(10)6(4,2)15-16-8/h3,5,10-11H,1-2H3",
8,C3EODBCO2H,CCC(=CC(=O)O)C=O,"InChI=1S/C6H8O3/c1-2-5(4-7)3-6(8)9/h3-4H,2H2,1H3,(H,8,9)",
9,DMEBPOXMUC,CC(=CC(=O)CC)C1OC1(C)C=O,"InChI=1S/C10H14O3/c1-4-8(12)5-7(2)9-10(3,6-11)13-9/h5-6,9H,4H2,1-3H3",
10,DNMXYOLOOH,OOC1(O)C(=C(N(=O)=O)C2(OOC1(C)C2O)N(=O)=O)C,"InChI=1S/C8H10N2O10/c1-3-4(9(13)14)7(10(15)16)5(11)6(2,19-20-7)8(3,12)18-17/h5,11-12,17H,1-2H3",
11,C4ME2OHNO3,O=N(=O)OC(C)(C)C(C)(C)O,"InChI=1S/C6H13NO4/c1-5(2,8)6(3,4)11-7(9)10/h8H,1-4H3",
12,C920CO3,[O]OC(=O)CC1CC(C(=O)CO)C1(C)C,"InChI=1S/C10H15O5/c1-10(2)6(4-9(13)15-14)3-7(10)8(12)5-11/h6-7,11H,3-5H2,1-2H3",
13,MIPKAO,CC(=O)C(C)(C)[O],"InChI=1S/C5H9O2/c1-4(6)5(2,3)7/h1-3H3",
14,BUT2OLAO,CC([O])C(C)O,"InChI=1S/C4H9O2/c1-3(5)4(2)6/h3-5H,1-2H3",
15,C823CO,O=CC(CCC(=O)O)C(=C)C,"InChI=1S/C8H12O3/c1-6(2)7(5-9)3-4-8(10)11/h5,7H,1,3-4H2,2H3,(H,10,11)",
16,M3BU2OLOOH,OOCC(O)C(C)C,"InChI=1S/C5H12O3/c1-4(2)5(6)3-8-7/h4-7H,3H2,1-2H3",
17,METLBIPRO2,[O]OC1C=CC2(C)OOC1(CC)C2O,"InChI=1S/C9H13O5/c1-3-9-6(12-11)4-5-8(2,7(9)10)13-14-9/h4-7,10H,3H2,1-2H3",
18,PXYCATECH,Cc1ccc(C)c(O)c1O,"InChI=1S/C8H10O2/c1-5-3-4-6(2)8(10)7(5)9/h3-4,9-10H,1-2H3","3,6-dimethylbenzene-1,2-diol;3,6-Dimethylcatechol;3,6-Dimethylpyrocatechol;2785-78-6"
19,M3HEXBNO3,CCCC(C)(CC)ON(=O)=O,"InChI=1S/C7H15NO3/c1-4-6-7(3,5-2)11-8(9)10/h4-6H2,1-3H3",
20,C124OH,CCCCCCC(=O)C(O)CC(=O)CC,"InChI=1S/C12H22O3/c1-3-5-6-7-8-11(14)12(15)9-10(13)4-2/h12,15H,3-9H2,1-2H3",
21,PRCOOMCHO,CCCC(=O)OCC=O,"InChI=1S/C6H10O3/c1-2-3-6(8)9-5-4-7/h4H,2-3,5H2,1H3",
22,PTLQONE,O=C1C=CC(=O)C(=C1)C,"InChI=1S/C7H6O2/c1-5-4-6(8)2-3-7(5)9/h2-4H,1H3","p-Toluquinone;Toluquinone;Methyl-p-benzoquinone;Methyl-1,4-benzoquinone;Methylquinone"
23,TM123MUCO,OC(C(=O)C)C([O])C1OC1(C)C(=O)C,"InChI=1S/C9H13O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6-8,12H,1-3H3",
24,C137CO,O=CCC(=C)C1CC(C)(C)C1CCC(=O)O,"InChI=1S/C13H20O3/c1-9(6-7-14)10-8-13(2,3)11(10)4-5-12(15)16/h7,10-11H,1,4-6,8H2,2-3H3,(H,15,16)",
25,NO2,,,
26,NO3,,,
27,MBOAOOH,OCC(OO)C(C)(C)O,"InChI=1S/C5H12O4/c1-5(2,7)4(3-6)9-8/h4,6-8H,3H2,1-2H3",
28,C4M2NO33O,O=N(=O)OC(C)C(C)(C)[O],"InChI=1S/C5H10NO4/c1-4(5(2,3)7)10-6(8)9/h4H,1-3H3",
29,EPXDLCO2H,O=CC1OC1C(=O)O,"InChI=1S/C4H4O4/c5-1-2-3(8-2)4(6)7/h1-3H,(H,6,7)",
30,BOXCOCOMO,CCCC([O])OC(=O)C(=O)C,"InChI=1S/C7H11O4/c1-3-4-6(9)11-7(10)5(2)8/h6H,3-4H2,1-2H3",
31,ME3BU2OLO,[O]CC(O)C(C)C,"InChI=1S/C5H11O2/c1-4(2)5(7)3-6/h4-5,7H,3H2,1-2H3",
32,CLOHCO3H,OOC(=O)C(O)Cl,"InChI=1S/C2H3ClO4/c3-1(4)2(5)7-6/h1,4,6H",
33,BOXCOCOME,CCCCOC(=O)C(=O)C,"InChI=1S/C7H12O3/c1-3-4-5-10-7(9)6(2)8/h3-5H2,1-2H3",Butyl pyruvate;20279-44-1;Butyl 2-oxopropanoate;AC1LAYNX;butyl 2-oxidanylidenepropanoate
34,MALDIAL,O=CC=CC=O,InChI=1S/C4H4O2/c5-3-1-2-4-6/h1-4H,"Malealdehyde;AC1L2ONO;2363-83-9;AG-K-61355;1,2-Ethenedicarboxaldehyde;2-Butene-1,4-dione; Butenedial"
35,C6PAN21,CCC(C)(O)CC(=O)OON(=O)=O,"InChI=1S/C6H11NO6/c1-3-6(2,9)4-5(8)12-13-7(10)11/h9H,3-4H2,1-2H3",
36,DEMPHOLOOH,CCC12OOC(CC)(C=C(C)C2(O)OO)C1O,"InChI=1S/C11H18O6/c1-4-9-6-7(3)11(13,15-14)10(5-2,8(9)12)17-16-9/h6,8,12-14H,4-5H2,1-3H3",
37,C6PAN23,CCCCC(O)C(=O)OON(=O)=O,"InChI=1S/C6H11NO6/c1-2-3-4-5(8)6(9)12-13-7(10)11/h5,8H,2-4H2,1H3",
38,C6PAN22,CCCC(O)CC(=O)OON(=O)=O,"InChI=1S/C6H11NO6/c1-2-3-5(8)4-6(9)12-13-7(10)11/h5,8H,2-4H2,1H3",
39,HO13C5O2,OCCC(O)C(C)O[O],"InChI=1S/C5H11O4/c1-4(9-8)5(7)2-3-6/h4-7H,2-3H2,1H3",
40,EBZMUCOOH,CCC(=O)C(OO)C(O)C1OC1C=O,"InChI=1S/C8H12O6/c1-2-4(10)7(14-12)6(11)8-5(3-9)13-8/h3,5-8,11-12H,2H2,1H3",
41,NMETOL1O2,[O]Oc1c(CC)cc(C)cc1N(=O)=O,"InChI=1S/C9H10NO4/c1-3-7-4-6(2)5-8(10(11)12)9(7)14-13/h4-5H,3H2,1-2H3",
42,DMKOHOOH,OOC(C(=O)C)C(O)C(=O)C,"InChI=1S/C6H10O5/c1-3(7)5(9)6(11-10)4(2)8/h5-6,9-10H,1-2H3",
43,C9M2CO6O2,CCC(=O)C=C(C)C(O[O])C(=O)CC,"InChI=1S/C10H15O4/c1-4-8(11)6-7(3)10(14-13)9(12)5-2/h6,10H,4-5H2,1-3H3",
44,IPBZBPR2OH,OC1C=CC2(OOC1C2O)C(C)C,"InChI=1S/C9H14O4/c1-5(2)9-4-3-6(10)7(8(9)11)12-13-9/h3-8,10-11H,1-2H3",
