Name,pptv
Methane,1830000
Ethane,4287
Propane,1703
n-Butane,1366
iso-Butane,686
n-Pentane,340
iso-Pentane,751
Cyclopentane,106
n-Hexane,91
"Pentane, 2+3-methyl-",256
n-Heptane,66
"Butane, 2,2,3-trimethyl-",71
n-Octane,21
"Pentane, 2,2,4-trimethyl-",23
n-Nonane,128
n-Decane,132
"Nonane, 2-methyl-",43
n-Undecane,165
n-Dodecane,273
Ethene,638
Acetylene,374
Propene,199
Propadiene,6
"Butene, trans-2-",20
1-Butene,61
iso-Butene,53
"Butene, cis-2-",14
"1,2-Butadiene",143
"1,3-Butadiene",32
"Pentene, trans-2-",26
1-Pentene,25
Isoprene,117
Styrene,33
�-Pinene,94
Benzene,147
Toluene,481
"Benzene, ethyl-",81
m- and p-Xylene,113
o-Xylene,70
"Benzene, propyl-",12
"Toluene, 3-ethyl-",17
"Toluene, 4-ethyl-",12
"Benzene, 1,3,5-trimethyl-",12
"Toluene, 2-ethyl-",8
"Benzene, 1,2,4-trimethyl-",27
"Toluene, 4-iso-propyl-",35
"Benzene, 1,2,3-trimethyl-",7
"Benzene, tert-butyl-",10
"Benzene, 1,3-diethyl-",7
"Benzene, 1,4-diethyl-",3
Naphthalene,35
Acetaldehyde,4301
"Propanal, 2-methyl-",48
Butanal,13
"Butanal, 3-methyl-",28
"Butanal, 2-methyl-",21
Methacrolein,24
Pentanal,23
Hexanal,19
Benzaldehyde,13
Methanol,3376
Ethanol,4978
Propanol,252
Butanol,484
Acetone,2405
Butanone,64
"Ketone, methyl-vinyl-",33
"Pentanone, 2-",29
"Pentanone, 4-methyl-2-",51
"Hexanone, 2-",38
Cyclohexanone,17
"Acetate, ethyl-",46
"Methane, dichloro",35
Trichloroethylene,10
