,x,y,group
NO2,-0.6099646,-0.30798718,0
HO2,-0.6507343000000001,-0.14536425,-1
OH,-0.6043023,-0.1429981,-1
CO,-0.8545418,-0.33378989,-1
CH3CO3,-1.1786205,0.037083417,-1
HNO3,-0.77552015,-0.30414078,-1
HCHO,-0.8165190999999999,-0.17147066,-1
CH3O2,-1.6812055000000001,0.22885141,-1
O3,-0.6714054,-0.23353921,-1
MGLYOX,-0.7859994,-0.26566473,-1
CH3CHO,-1.143985,0.08823469,-1
CH3COCH3,-1.3024628,0.14330795,-1
GLYOX,-0.70449686,-0.5016889,-1
C2H5CO3,-1.4350946000000002,0.19039851,-1
NO3,-0.65544766,-0.23495395,-1
,-0.7553484,-0.3379233,-1
H2,-0.74591297,-0.20336866,-1
CH3COCH2O2,-1.4635782,0.11911689999999998,-1
HOCH2CHO,-0.7796623,-0.3497995,-1
C2H5O2,-49.61006,9.63986,-1
EGLYOX,-0.7993170999999999,-0.20346789999999998,-1
ACETOL,-0.8524046000000001,-0.17206046,23
C2H5CHO,-1.0597681,0.038687095,-1
PAN,-1.189935,0.04071875,-1
CH3CO3H,-1.3614452,0.112859815,-1
BIACET,-0.99242115,-0.080513395,-1
C3H7CHO,-0.9321992,-0.053775072,-1
HOCH2CO3,-0.75766855,-0.33448604,-1
CH3CO2H,-1.491184,0.17256948,-1
CO2C3CHO,-1.0984926000000002,0.005725039,-1
CL,-24.551964,4.9443455,57
MEK,-1.2073276000000002,0.09922927599999999,-1
HCOCH2O2,-0.8827739,-0.22244813,-1
CHOCL,-0.9545458,0.05456376,-1
IPRCHO,-0.8214196,-0.16564229999999996,-1
IBUTALOH,-0.81701165,-0.20705812,-1
C4H9CHO,-0.91145885,-0.049292866,23
IPRGLYOX,-0.7252528,-0.34275982,11
PGLYOX,-0.73573166,-0.30490100000000003,-1
C116CHO,-0.5997788000000001,-0.4726714,12
HMVKANO3,-0.6804444000000001,-0.43343276,-1
C3H7CO3,-1.0911349,0.021985479,-1
MACR,-0.69298357,-0.36858335,-1
ACR,-0.6815343,-0.38169092,4
HOCH2COCHO,-0.72187954,-0.34545347,11
HOC2H4CO3,-0.81997633,-0.21776865,-1
MVKNO3,-0.72658736,-0.32560626,11
NOA,-0.75312483,-0.27884972,-1
BCLKET,-0.59968853,-0.4743889,12
NOPINONE,-0.67433524,-0.3270073,7
LMLKET,-0.619959,-0.43961469999999997,10
NC3H7O2,-2.062977,0.3658744,-1
MACRNO3,-0.71118814,-0.35737315,11
CH3O,-1.4759412,0.17211173,-1
BENZAL,-0.63846314,-0.42239124,9
NO3CH2CHO,-0.702942,-0.37500159999999993,-1
HOCH2CH2O2,-1.1799296000000001,0.021807313,-1
BIACETO2,-1.0187447,-0.31862056,-1
CH3O2NO2,-1.5372648000000002,0.1895424,-1
HCOCH2CHO,-0.7044403,-4.4138103,47
C131CO2H,-0.5856503000000001,-0.6059054,19
HCOCH2CO3,-0.7707215999999999,-4.504544999999999,-1
ACCOMECHO,-0.82244694,-0.14551301,-1
PINAL,-0.66007346,-0.33398790000000006,-1
BCKSOZ,-0.5898886,-0.62700295,19
BCAL,-0.64482677,-0.3973756,-1
CO2C3CO3,-1.3773857,0.08324224,-1
CO14O3CHO,-0.71390814,-0.34644553,11
LIMAL,-0.62386125,-0.42709038,-1
CO3C4CHO,-1.5459045,0.24841148,33
HCOCO2H,-0.5187674,-2.0915055000000002,40
BCLKBOC,-0.57810897,-0.60481304,19
CH3OOH,-1.9275126,0.2842438,-1
IC3H7O2,-1.7365037,0.2837883,-1
BCKET,-0.6004467,-0.44777954,12
CH3COCO2H,-0.43974978,-0.40820152,-1
MVK,-0.72019094,-0.319154,-1
C131O2,-1.3486439,-8.418944,55
HOC2H4CHO,-0.6305188,-0.48356703,-1
CH3OH,-1.4339687,0.15424508,-1
CH3NO3,-1.6377188,0.21787518,-1
NC4MDCO2H,-3.8066785000000003,-25.216963,-1
MEKCO2,-2.0078735,0.3064504,-1
IPRCO3,-0.9196699,-0.116922565,23
MECOACETO2,-1.7547339,0.31416032,-1
CO3C4CO3,-1.5966848,0.24678561,-1
CO2H3CHO,-0.68578947,-0.5098876,-1
C532CO,-0.78413886,-0.20240228,-1
HCOCO,-0.7758423000000001,-0.42842895,-1
NC4MDCO2,-0.95819944,-6.698638000000001,53
MEKAO2,-1.9452213,0.30231583,-1
C147O2,-7.235978,-44.72907,-1
CO23C3CHO,-0.79956895,-0.33637214,-1
NO3CH2CO3,-0.6740833,-0.55545145,-1
PPN,-1.5450531,0.11921939,-1
CH3COCH2O,-1.4192154,-0.007296994300000001,-1
MEKBO2,-1.8012233,0.267662,-1
SO3,-0.9667193000000001,-0.32336748,-1
C33CO,-0.66491103,-0.39213485,4
C148O2,-6.965055,-42.65153,-1
NC4H9O2,-1.7419642,0.293475,-1
SA,-7.148332000000001,-20.333294,-1
C6H5O2,-0.8905857,-5.680823,-1
TC4H9O2,-2.3668058,0.4761855,39
CHOC2H4O2,-1.2550665,-8.196591999999999,-1
PERPROACID,-41.028183,7.851729400000001,-1
COCL2,-1.7825651999999998,0.34270263,-1
H2O2,-0.60300136,-0.21966682,-1
CHOOCH2O2,-1.7352018,0.28838488,-1
C132O2,-7.732504400000001,-48.040065999999996,-1
BIACETOH,-0.9096318999999999,-0.3023285,-1
PROPACID,-45.470528,8.660785,-1
C6H5CO3,-0.6305826,-2.8457162,41
CO2H3CO3,-0.5737613,-1.9079993999999998,40
CO2C4CO3,-1.0673861999999998,0.03258299,-1
HYPERACET,-1.4662495,0.03222888,-1
C2H5O,-36.692173,7.091733500000001,-1
CO13C4CHO,-0.9908724,0.016790815,-1
MEKAOH,-1.2147835,0.05520532,-1
MMALANHY,-7.250707000000001,-14.290314000000002,-1
C622CO3,-0.89941627,-5.9258966,-1
OXYL1O2,-0.9064542,-6.347299,-1
IPROPOLO2,-1.6727618000000002,0.2659287,-1
IPRHOCO3,-0.8199255999999999,-0.27349517,-1
METACETHO,-1.5628691000000001,0.23887292,-1
HYPROPO2,-1.6001089,0.23886088,-1
MMALANHYO2,-1.3320611999999998,-9.008356,55
C5DICARB,-0.6863169,-0.45057879999999995,-1
CO24C5,-2.1099427000000004,0.35762942,-1
HCOCH2O,-0.9134032,-0.49812624,-1
C4H9CO3,-1.2688915,0.13081634,-1
ECOCO2H,-0.41468996,-0.36011109999999996,-1
DM123O2,-0.9241174000000001,-6.072081,51
C927O2,-0.8774390999999999,-5.751823,-1
HCOCOHCO3,-0.5809003,-0.68739635,-1
CH3SO2,-0.8575488000000001,-0.11939758,23
METHACETO2,-1.9973063000000002,0.36810565,38
C5CO14O2,-0.6500216,-0.63892543,-1
C89O2,-21.841414999999998,4.4291754,57
C4MCO2O2,-0.6375982,-0.5840363000000001,-1
HO1C3O2,-0.69463086,-0.24983305,-1
C89CO3,-0.6950875,-0.34013566,-1
C517CHO,-0.6377013000000001,-3.2972038,42
SO2,-0.8263039000000001,-0.30117407,-1
ETHACETO2,-2.0488784,0.3866809,-1
ACETC2H4O2,-1.8686767,0.3361673,37
HEXAO2,-2.3145041,0.49126157,-1
TBUTOLO2,-1.1705836,0.12009611,27
C3ME3CHOO2,-0.78273135,-5.1120777,-1
HOIPRCHO,-1.0522871999999999,0.052581996,24
HMVKBCHO,-0.5405054,-1.728991,-1
CHOOCHO,-0.9517504999999999,-0.009435932,-1
C928CO3,-1.7223997,0.37450048,-1
C87CO3,-0.85791683,-2.8537602000000004,-1
CH3OCHO,-1.9070706000000002,0.3248621,37
C8OHCO2CO3,-0.612467,-4.313042,-1
SC4H9O2,-1.9135338,0.35817397,37
CO2C43CHO,-1.3817986999999998,0.17757404,-1
DIEKBO2,-2.0416274,0.41869685,-1
C117O2,-1.4865751,-10.133463,-1
C96CO3,-0.6720449000000001,-3.4640910000000003,43
HMVKBO2,-0.6788031999999999,-0.58866334,-1
C718CO3,-0.78810394,-5.309083,-1
MMCFO2,-1.0849109,-7.614431,-1
PHAN,-0.8296056,-0.3473313,-1
CHOC2CO2H,-5.8416185,-37.80192,58
C2H5OOH,-48.16592,9.196861,-1
C626CHO,-0.5243559,-1.2305647,-1
C817CO3,-0.7505451999999999,-4.3638244,-1
C829O2,-1.0125287,-6.740651,53
C127O2,-1.4391838,-9.916997,-1
CHOC2CO3,-0.6260246,-3.2817736000000006,42
CH2CLO2,-1.869091,0.3390126,37
C131CO,-4.875477,-31.151646000000003,-1
C3MDIALO2,-0.6525162,-0.5431205,-1
MCOCOMOXO2,-0.70502573,-0.34460437,11
IPROACETO2,-2.10526,0.45463365,-1
CH3SO3,-1.2255841,0.07503006599999999,-1
TOL1OHNO2,-0.59758705,-4.4068336,-1
HO2C3CHO,-1.1134691,0.05005156,-1
C512CO3,-1.544714,0.33555794,-1
HO2M2C4O2,-1.5931591,0.26836023,-1
MIPKAO,-2.7829766,0.5321958000000001,-1
HOIPRCO3,-1.2190162,0.12617095,28
HCOCH2OOH,-0.89403135,-0.48703906,-1
HMVKAO,-0.8562241,-0.43096292,-1
ETHFORM,-2.4738016,0.46874790000000005,39
CHOC3COCO3,-0.7847718000000001,-0.30099434,-1
MMCF,-4.187201,-27.866371,-1
C2H4,-0.9435965000000001,-0.39511263,-1
CHCL2O2,-2.037835,0.39139473,-1
CO24C53O2,-1.1436217,0.07274037,-1
METHCOACET,-2.3389902,0.4214335999999999,39
