,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1,ev  1
CO2,0.9824225308880429,0.9971754115709988,0.052777352068458426,0.2894736842105263,0.0,0.0,0.11320975511687287,0.05887904360379861,0.21052631578947367,0.0,0.0,0.21234545664636678
CH3O2NO2,0.6046166835886118,0.5459790659352598,0.009122901879480953,0.05263157894736842,0.7465174577594346,0.0,0.013013738068804081,0.008461315662676331,0.05263157894736842,0.7233193915218122,0.0,0.010289966450554801
CH3CO2H,0.8647013781891019,0.8549341740129908,0.013763190700203048,0.23684210526315788,1.7487023938890143,0.08890469416785207,0.0717109007369208,0.014403951821751788,0.23684210526315788,1.6177997344828074,0.0860597439544808,0.09859263275253366
CH3OH,0.8150108554540856,0.7982468491220901,0.012533945131241092,0.21052631578947367,0.21433196240834684,0.0,0.08774269285887139,0.01080547276600222,0.21052631578947367,0.5025949171384304,0.0,0.06830119988220852
CH4,1.0,1.0,0.008654109852018314,0.02631578947368421,2.283260978632992,0.0,9.651298517460707e-11,0.008189341553361694,0.02631578947368421,2.0901183304552973,0.0,5.249447991541966e-10
ETHGLY,0.4302222025836196,0.3465343898749247,0.015109696722868578,0.21052631578947367,1.9916255692404243,0.0,0.05258414400579104,0.015528188367474376,0.21052631578947367,1.9559794116071554,0.0,0.06321928678726386
C2H6,0.973176532817056,0.9604500169402361,0.008654109852018314,0.02631578947368421,3.4728121036188,0.0,9.651298517460707e-11,0.008189341553361694,0.02631578947368421,3.930786721144528,0.0,5.249447991541966e-10
ETHOHNO3,0.4246434351247727,0.4172134612607042,0.008939073105569257,0.05263157894736842,2.3649648523977267,0.0,0.00037065392196542174,0.008594059683026125,0.05263157894736842,2.316215423194885,0.0,0.000752287435811381
HCOCO2H,0.5461004736691724,0.47163958847928844,0.019069585051241247,0.23684210526315788,0.5089919453312136,0.013513513513513514,0.13235993060344456,0.025555952633976524,0.23684210526315788,0.5089919453312136,0.004267425320056899,0.20978398894046452
HOCH2CO2H,0.6052311432958355,0.5596155681299985,0.027348469725318698,0.23684210526315788,0.340918460234266,0.0,0.13172589955910755,0.030315632030626663,0.23684210526315788,0.6268571318666619,0.0,0.19833200078028226
CH3CO3H,0.8239222596401058,0.8096797166159536,0.010125867693061116,0.10526315789473684,2.159296564063443,0.0,0.01249521199407913,0.0112404634309803,0.05263157894736842,2.0177231484722973,0.0,0.032866474606282226
CH3O,0.2619999735386017,0.08175153213472508,0.030322862126528016,0.2631578947368421,0.06658415932589817,0.0,0.21926751555633606,0.014226803550937521,0.21052631578947367,0.08102019741527262,0.0,0.1576243174995201
C2H5OH,0.7138116651951423,0.6651892711288295,0.01486503775492774,0.2631578947368421,3.6837174513186324,0.09601706970128024,0.0887047305714099,0.01766180567925508,0.2631578947368421,3.5803544145243014,0.08392603129445235,0.11292367818640664
HCOCO3H,0.5370735517193317,0.48223956359100983,0.00989249446948231,0.10526315789473684,4.279588197246284,0.0,0.007000526011617535,0.01136998330228012,0.05263157894736842,4.1969026302962185,0.0,0.020407764343205115
CH3OOH,0.8264848764799632,0.8089108236640621,0.010268569066365061,0.10526315789473684,1.5744776336204303,0.0,0.04481763340008692,0.009229377894039456,0.07894736842105263,1.4800647614078177,0.0,0.039349108180591646
CH3NO3,0.7139559609827716,0.7246456177487517,0.008654109852018314,0.07894736842105263,0.2703061934033019,0.005689900426742532,9.651298517460707e-11,0.008189341553361694,0.05263157894736842,1.031811883851147,0.007823613086770981,5.249447991541966e-10
HOCH2CH2O,0.0,0.0,0.02469006117812527,0.23684210526315788,0.6902556105022821,0.0,0.10988318862390255,0.01933543538821883,0.21052631578947367,0.6859226463210809,0.0,0.1440436981561639
HOCH2CO3H,0.5703880232550934,0.5291147860303088,0.011035540569044808,0.10526315789473684,3.478913649937025,0.0,0.005000244964833196,0.011506094474514804,0.05263157894736842,3.3806673673617076,0.0,0.012835227714782134
HCOCH2O,0.0,0.0,0.02301669942805961,0.2631578947368421,0.0837617338184726,0.0,0.12297443861615924,0.0260355308372602,0.23684210526315788,0.0837617338184726,0.0,0.16979154264485039
HCOCO,0.0,0.0,0.014757422112970382,0.10526315789473684,0.7892202345771838,0.05761024182076814,0.019059845901185948,0.04507570406140243,0.10526315789473684,0.785246315844322,0.05938833570412518,0.034853809121225175
C2H5O,0.2009356840690965,0.0,0.03171134325556317,0.2894736842105263,0.7666428911605963,0.0,0.09842716311067398,0.021981455187703353,0.23684210526315788,0.7653043393373169,0.0,0.12753095995239597
C2H5OOH,0.8248787433429614,0.7933512213351979,0.009204854395614984,0.10526315789473684,2.930136505862231,0.0,9.388127177696728e-09,0.009487801632180186,0.07894736842105263,3.1785697449406274,0.0,8.833450809797645e-08
C2H5NO3,0.7831563403740488,0.7848948448625733,0.008654109852018314,0.07894736842105263,3.5310543733689688,0.04836415362731152,9.651298517460707e-11,0.008189341553361694,0.05263157894736842,3.5081605072912128,0.015647226173541962,5.249447991541966e-10
HYETHO2H,0.5365329215710428,0.476700034636788,0.009567476525328496,0.10526315789473684,3.0410646352649366,0.0,0.0011880229285258265,0.009506623022379904,0.07894736842105263,2.9691564655563467,0.0,0.0024485530716052708
PAN,0.8629288307475683,0.8069299766510463,0.009843423025247692,0.10526315789473684,1.134548291996927,0.001422475106685633,0.01009725910043881,0.010693080526118497,0.10526315789473684,1.0968800985054676,0.0,0.026970103770631037
PHAN,0.6196073782855118,0.536547092483346,0.011288738369877191,0.10526315789473684,1.442249315282019,0.0,0.005531879580625382,0.011858737337284684,0.10526315789473684,1.425234751749122,0.0,0.014199891097351026
HCOCH2OOH,0.6744181532023674,0.6488724031596159,0.009330752353658586,0.15789473684210525,2.924587640153311,0.0,0.0020377831485920905,0.009603632897101606,0.07894736842105263,2.9030798657041332,0.0,0.004085737793774113
C2H5O2,0.7560709354772903,0.598851682374193,0.016821415306291717,0.47368421052631576,3.8722428908063042,0.026315789473684213,6.706776736116469e-09,0.019496856405445247,0.47368421052631576,4.48813985122401,0.042674253200568994,5.931687802001316e-08
GLYOX,0.7123534795431508,0.6822383614264901,0.03850737901999002,0.3157894736842105,0.7232842939285489,0.05689900426742532,0.07883773606099824,0.043397117095972944,0.2631578947368421,0.6670737003842714,0.05689900426742532,0.10781567366840832
CO,0.9632271031404108,0.9693615405473388,0.1591713652191684,0.3157894736842105,0.0,0.005689900426742532,0.6255298627771956,0.11582950801514971,0.21052631578947367,0.0,0.007823613086770981,0.44736330774444766
HCOCH2O2,0.6394431872760888,0.4850964517168663,0.0117206528622644,0.4473684210526315,4.520773355719077,0.2147937411095306,0.014632595583958482,0.022475481932009475,0.4473684210526315,4.4936155284104835,0.1849217638691323,0.024740115759018397
HOCH2CH2O2,0.46748816369517,0.2795480206749171,0.013680705212464138,0.47368421052631576,4.484110547707214,0.11735419630156473,0.004704557769228061,0.01726926719736586,0.47368421052631576,4.334331920188729,0.10526315789473685,0.0072511559889371765
HCHO,0.8483966934198334,0.8507849336561978,0.10719605194767813,0.5,0.12192745768819009,0.008534850640113799,0.5942464356002332,0.0759874139428404,0.42105263157894735,0.45858305948939865,0.022048364153627313,0.6168315395748035
CH3O2,0.7712963479982866,0.6890457284725622,0.050905850044308074,0.631578947368421,2.150926648556512,0.14295874822190613,0.15674449317845804,0.0362062522075618,0.5789473684210527,1.968978254209186,0.1422475106685633,0.10451336587316531
CH3CO3,0.7262093780643434,0.6456363434043951,0.024233018561354402,0.5526315789473684,3.300788028595694,0.0817923186344239,0.04246305155573027,0.051466816817560226,0.5526315789473684,2.972714570971754,0.0817923186344239,0.08482312048284726
HOCH2CHO,0.6247739641535717,0.5747812759859667,0.055510367297680045,0.3421052631578947,3.331855694013177,0.12233285917496445,0.19597954992310904,0.053532502525471516,0.3421052631578947,3.2332948365488665,0.12446657183499289,0.28287116742029694
HCOCO3,0.4915747179264405,0.2459833260522461,0.013756589085347777,0.5,7.736802896619945,0.08250355618776672,0.023794207143025117,0.030625205638456193,0.5,7.418588210951784,0.08321479374110953,0.05266787009064067
CH3CHO,0.8287240948936565,0.8172355163464201,0.045330619710572465,0.39473684210526316,3.3263998378882413,0.24893314366998578,0.15559415648274302,0.041630873596325724,0.3421052631578947,3.304832865432639,0.2190611664295875,0.22012502169073103
HOCH2CO3,0.4900009134170486,0.37494993374051755,0.03996418961657138,0.5263157894736842,4.894159386683563,0.16998577524893316,0.02326575707754585,0.04796919262140449,0.5263157894736842,4.684440182929649,0.1721194879089616,0.044648305509816376
