index,APINENE,BENZAL,BENZENE,BUT1ENE,BUT2CHO,C2H2,C2H4,C2H5OH,C2H6,C3H6,C3H7CHO,C3H8,C3ME3CHO,C4H6,C4H9CHO,C5H11CHO,C5H8,CH2CL2,CH3CHO,CH3COCH3,CH3O2,CH3OH,CH4,CO,CYHEXONE,EBENZ,ETHACET,HCHO,HEX2ONE,HNO3,HO2,HONO,IC4H10,IC5H12,IPRCHO,LIMONENE,MACR,MEK,MEPROPENE,METHTOL,MPRK,MVK,NC10H22,NC11H24,NC12H26,NC4H10,NC5H12,NC6H14,NC7H16,NC8H18,NC9H20,NO,NO2,NPROPOL,O3,OETHTOL,OH,OXYL,PAN,PBENZ,PETHTOL,PXYL+MXYL,STYRENE,TM123B,TM124B,TM135B,TOLUENE,TRICLETH
0,6.518535714285717e-11,1.3277157894736836e-11,1.5263069956686518e-10,2.8867968304876472e-11,1.9754859813084117e-11,3.5175490106866597e-10,6.211130684066573e-10,6.986601209136335e-09,5.356289421767762e-09,1.9042716909387507e-10,1.287651376146788e-11,1.7880596030453279e-09,2.5090089285714297e-11,3.8722847765801335e-11,2.2167321428571427e-11,1.884710280373832e-11,2.9570771625970215e-11,4.0301250000000036e-11,4.386433284634172e-09,2.2769101494030893e-09,9869371.165882353,3.209488105864943e-09,1.8622009569377983e-06,2.318007827777779e-07,1.59612e-11,8.296798876076504e-11,4.1981428571428565e-11,8.054961623001416e-09,3.3535446428571416e-11,4.668912037446789e-10,3734834.4067254905,4.717938519242528e-10,6.460366562864007e-10,7.501369208662005e-10,4.4142499999999985e-11,4.481428571428574e-11,2.287018431833186e-11,5.962428571428569e-11,5.0787222822950106e-11,1.6922475247524753e-11,2.5936160714285723e-11,1.630958277493905e-10,1.3303107142857138e-10,2.0586160714285715e-10,3.111347321428571e-10,1.2456445354689943e-09,3.7053211536263497e-10,1.0303831133901262e-10,6.339270914062237e-11,2.5070493237037766e-11,1.5446633928571423e-10,2.6928416498158035e-09,1.5010712197321092e-08,2.374143100591161e-10,2.0682184620334616e-08,8.512448979591839e-12,143715.61152941178,7.258767198784342e-11,5.7075396825396826e-11,1.0785514018691585e-11,1.9494017857142863e-11,1.2144060341860924e-10,2.943687499999999e-11,6.289175257731959e-12,2.011500000000001e-11,1.3806923076923079e-11,5.086343065408075e-10,1.2358839285714295e-11
1,6.926741071428571e-11,1.3776966292134835e-11,1.4873075910298904e-10,2.718798005758029e-11,1.534980952380952e-11,3.2843113738947913e-10,5.691126621930048e-10,6.548859887649312e-09,6.332788059114157e-09,1.7391168850383322e-10,1.0145555555555555e-11,1.9740987833189443e-09,1.960258928571428e-11,3.692834137480417e-11,1.777642857142859e-11,1.463238095238096e-11,2.5471491753949623e-11,4.1933125000000005e-11,4.444910445367054e-09,2.242757314774364e-09,15770049.638554217,3.2540970340503184e-09,1.8745627784194017e-06,2.1906975851173375e-07,1.2515789473684213e-11,8.470042934400747e-11,3.300044642857145e-11,7.494577333333335e-09,2.6949821428571453e-11,4.442593615577518e-10,4288980.5666867485,4.5744538677043816e-10,6.512176701846255e-10,7.313594970141676e-10,3.654348214285717e-11,3.493571428571426e-11,1.906766191078515e-11,4.974526785714283e-11,4.712357599825977e-11,1.6017735849056597e-11,2.044732142857143e-11,1.6420529754848737e-10,1.4325241071428564e-10,2.1420214285714286e-10,3.3504026785714285e-10,1.2613577210165012e-09,3.624004818745771e-10,1.0612583439371601e-10,6.73725807728707e-11,2.6268591347556563e-11,1.6633517857142868e-10,1.6167658983528114e-09,1.3317122333173278e-08,2.48690040476927e-10,2.0488729784427285e-08,7.331555555555557e-12,221903.92493975902,7.488842908073349e-11,5.264558232931727e-11,1.2523809523809521e-11,1.4385818181818179e-11,1.2394132880401687e-10,3.062991071428569e-11,6.624731182795696e-12,3.1218971962616824e-11,1.2922941176470585e-11,5.188006030944173e-10,1.2859553571428583e-11
2,5.956633928571427e-11,1.4096736842105266e-11,1.399359047539293e-10,2.584244113809129e-11,1.3058691588785057e-11,3.377877635165951e-10,5.416535298537312e-10,6.0321268226624126e-09,6.6457434190977786e-09,1.5853460265223571e-10,8.649821428571425e-12,1.9824188062884155e-09,1.7300892857142864e-11,3.056851033314428e-11,1.5934017857142864e-11,1.2442149532710282e-11,2.2677232755742517e-11,4.099258928571431e-11,4.43526852207441e-09,2.178913472749528e-09,15545796.905,3.2709993700215516e-09,1.908204091734039e-06,2.1330550605004787e-07,1.054625e-11,8.288497744346196e-11,2.923339285714287e-11,7.260155922865015e-09,2.4187499999999994e-11,4.3737510935816815e-10,4791444.615,4.6555012306190797e-10,6.271941965337753e-10,6.883541381534939e-10,3.3356250000000015e-11,3.079116071428571e-11,1.6935518567469335e-11,4.560098214285718e-11,4.298887028826502e-11,1.2779479166666662e-11,1.814553571428571e-11,1.6444036735661459e-10,1.394353571428571e-10,2.0939624999999994e-10,3.2611285714285705e-10,1.1962254783965985e-09,3.4173343353843024e-10,9.544383348969174e-11,6.776485715343231e-11,2.5639394263455904e-11,1.6190330357142875e-10,1.4858742543678018e-09,1.2705142811556288e-08,2.524739528717725e-10,1.9764284065315315e-08,8.432446808510644e-12,260490.78444444446,7.102422779438208e-11,5.169007936507938e-11,1.2815151515151513e-11,1.613281553398058e-11,1.208734516460277e-10,2.99425e-11,5.508977272727273e-12,1.4758627450980387e-11,1.018050505050505e-11,5.114746333484651e-10,1.2571785714285727e-11
3,5.241383928571429e-11,1.4922282608695657e-11,1.4860638742532563e-10,2.72641015250002e-11,1.0974752475247527e-11,3.6282012848855936e-10,6.061329914663515e-10,6.309424198379566e-09,7.557053844530575e-09,1.7166992655735904e-10,7.291574074074071e-12,2.1841966966792828e-09,1.458305555555555e-11,3.060139874118292e-11,1.3761111111111114e-11,1.0448118811881188e-11,2.395448722798548e-11,3.855883928571429e-11,4.89627757965831e-09,2.1763204736771694e-09,11613067.220930232,3.4995265921221696e-09,1.9271654842435246e-06,2.1777469977091327e-07,1.0150641025641027e-11,9.234819750510248e-11,2.4785833333333334e-11,7.585866666666663e-09,2.0926018518518523e-11,4.352516879366129e-10,5308581.47383721,5.15721167784802e-10,7.033855773900323e-10,7.269103108238291e-10,2.888169642857142e-11,2.5899259259259262e-11,1.805239094913183e-11,3.9784107142857184e-11,4.573849120298285e-11,1.625227722772277e-11,1.5427592592592577e-11,1.996854044529507e-10,1.2812187499999992e-10,1.9696455357142849e-10,2.996539285714287e-10,1.2850363518863788e-09,3.606901760905652e-10,1.0062942170740675e-10,7.72137851986705e-11,2.5517610658484122e-11,1.4876705357142856e-10,2.4295743972370427e-09,1.3653887841150669e-08,2.7386420988482364e-10,1.7681437234395115e-08,6.168426966292136e-12,171391.90510240968,8.046753751500128e-11,4.789186507936508e-11,1.1061428571428565e-11,1.524730769230769e-11,1.3672132308149928e-10,2.816499999999998e-11,5.441686746987954e-12,2.7218599999999987e-11,1.114939393939394e-11,5.616677973535984e-10,1.1825803571428583e-11
4,6.0964375e-11,1.772393258426968e-11,1.6390410377793244e-10,3.055645267345811e-11,9.588599999999992e-12,3.9642262057985263e-10,6.657927761503515e-10,6.4924162289978394e-09,8.844508044124594e-09,1.9149550877149171e-10,6.389816513761466e-12,2.535526306611152e-09,1.2569369369369377e-11,3.152164169687945e-11,1.2150090090090092e-11,9.122799999999999e-12,2.714595073379949e-11,4.034116071428571e-11,5.208904061990488e-09,2.228320617236364e-09,9853924.881309526,3.5435775816603e-09,1.9625763075400095e-06,2.2215371995090998e-07,8.756363636363637e-12,1.0331431503102394e-10,2.1491441441441445e-11,7.755716518641176e-09,1.8509999999999996e-11,4.416627265091918e-10,3851559.8541666665,5.437332390462251e-10,8.093379741424901e-10,8.410820028543268e-10,2.6653214285714288e-11,2.227459459459459e-11,1.656242904701121e-11,3.688535714285714e-11,5.1242284954280974e-11,2.3811442307692326e-11,1.3413963963963957e-11,1.9556988834714482e-10,1.3306526785714285e-10,2.0606553571428587e-10,3.112166964285715e-10,1.4689203219570003e-09,4.1870743517097755e-10,1.2114383663463088e-10,8.683222377693014e-11,2.669776903756966e-11,1.545070535714286e-10,4.36288753515837e-09,1.5481930763745826e-08,2.981373692663328e-10,1.4510181236003865e-08,9.828636363636361e-12,103845.68237500003,9.12735324766716e-11,4.321566265060242e-11,1.1296504854368923e-11,1.557858585858587e-11,1.4973109589063858e-10,2.946598214285714e-11,6.395934065934069e-12,2.4099702970297016e-11,1.5187835051546405e-11,6.327518437743565e-10,1.2371428571428575e-11
5,6.02832142857143e-11,1.7847954545454548e-11,1.7123314906881586e-10,3.2962629325581863e-11,9.482783505154631e-12,4.169258360931844e-10,7.396771208507121e-10,6.5949475855072145e-09,8.705015659189151e-09,2.1168888005496803e-10,6.370380952380956e-12,2.869037894018647e-09,1.2307339449541296e-11,3.372129308874327e-11,1.1940642201834865e-11,9.021134020618556e-12,3.915096074936273e-11,4.19467857142857e-11,5.312241926897939e-09,2.185758055886477e-09,5410721.04,4.25889809735916e-09,1.9673568718033323e-06,2.3306179051604413e-07,8.157974683544304e-12,1.0463050714228292e-10,2.1062752293577975e-11,8.371549333333335e-09,1.8195137614678895e-11,4.5294104853429185e-10,2361346.3600000003,6.183982484222228e-10,1.0553500049211449e-09,8.843351122221189e-10,2.5993571428571435e-11,2.1804128440366963e-11,1.7587209402150126e-11,3.602919642857141e-11,5.921998321034514e-11,1.7457500000000008e-11,1.3152568807339458e-11,1.8947798148064073e-10,1.3850812500000007e-10,2.1427098214285715e-10,3.239450000000001e-10,2.1328952561600513e-09,4.4261075073914757e-10,1.27817928696392e-10,9.094194772926036e-11,2.7813425013389823e-11,1.6082607142857144e-10,8.657969084032008e-09,1.8157594699603315e-08,3.0356710313195165e-10,1.3123377384652501e-08,9.317789473684209e-12,46362.991691358024,9.640408871561779e-11,3.905238095238094e-11,1.0561473684210524e-11,1.765430000000001e-11,1.5323385937112092e-10,3.063892857142857e-11,7.401374999999999e-12,3.32384e-11,1.6549320388349522e-11,6.569763283579705e-10,1.2863928571428583e-11
6,9.00010714285714e-11,1.962755555555556e-11,1.8343045717109774e-10,3.35807851017921e-11,1.225775510204082e-11,4.6530908539977647e-10,8.381548440408945e-10,7.087553465241013e-09,7.018874510955424e-09,2.450350890087748e-10,7.863644859813081e-12,2.767135639359061e-09,1.505928571428571e-11,3.098479760213954e-11,1.4142232142857148e-11,1.1674591836734695e-11,6.417674042669675e-11,4.4113839285714293e-11,5.271944575732106e-09,2.1565576158824347e-09,13674132.063766234,4.474824932472047e-09,1.9398944068635553e-06,2.535166384171455e-07,1.1378831168831175e-11,1.0746221668160199e-10,2.5565982142857148e-11,9.25714778911565e-09,2.149794642857143e-11,4.456103414432711e-10,1953791.2089870137,6.018282565765275e-10,1.1697298309300504e-09,8.873184412453392e-10,3.025348214285716e-11,2.6757410714285688e-11,1.7488357551903804e-11,4.156714285714284e-11,6.556068030977537e-11,2.0660092592592583e-11,1.5904553571428558e-11,1.8288611923858214e-10,1.450033035714286e-10,2.2533839285714267e-10,3.3913812500000005e-10,2.3643541930676633e-09,4.4041910141113154e-10,1.2404486500817777e-10,8.737648553736639e-11,2.848675587142758e-11,1.6836955357142865e-10,9.854458424989423e-09,1.952250980379321e-08,2.9649881052582055e-10,1.3532800963642213e-08,8.578999999999997e-12,296684.77897260274,9.993621229262118e-11,3.786425702811244e-11,1.1886442307692305e-11,2.0183883495145643e-11,1.5723898382228156e-10,3.222223214285715e-11,5.636585365853658e-12,3.405431372549021e-11,1.8431538461538477e-11,6.712011246136303e-10,1.3529464285714294e-11
7,1.180566964285714e-10,1.959241379310345e-11,1.8712090956496536e-10,3.371211893606733e-11,1.3935794392523366e-11,4.976589277303631e-10,8.97166661071289e-10,6.415844454514098e-09,5.306337764033173e-09,2.6200652625539784e-10,9.464074074074067e-12,2.536007593865789e-09,1.875963302752292e-11,2.932933355485637e-11,1.7102293577981648e-11,1.327943925233645e-11,1.0397225663851426e-10,4.952187500000001e-11,5.161829445908478e-09,2.278201357919371e-09,15143955.320987655,3.772969186300994e-09,1.8964298859035708e-06,2.5878090248682947e-07,1.1275979381443303e-11,1.0763124629523209e-10,3.162091743119266e-11,1.1088533183113183e-08,2.5938532110091735e-11,4.837631939356308e-10,1681197.0987654321,5.727261103123207e-10,1.1367810650569474e-09,8.901841593618681e-10,3.4688482142857137e-11,3.341871559633025e-11,2.0857481676745426e-11,4.7333392857142845e-11,6.654765257391116e-11,2.3045420560747666e-11,1.960495412844036e-11,1.7395265151451385e-10,1.6103874999999996e-10,2.5296482142857125e-10,3.7664044642857186e-10,2.2335448430847507e-09,4.344413030283199e-10,1.1694969877315007e-10,8.337179693500865e-11,2.943102039643808e-11,1.869882142857142e-10,9.481123391799269e-09,1.8505086591330264e-08,3.030111684629108e-10,1.636948041452167e-08,8.799700000000001e-12,443185.2838157894,1.0665230418874058e-10,4.232559523809524e-11,1.572689320388348e-11,2.143182692307695e-11,1.561552157556805e-10,3.6172410714285695e-11,7.2330526315789374e-12,4.3088240740740777e-11,1.9597383177570093e-11,6.468956289289227e-10,1.5188303571428582e-11
8,1.2544678571428565e-10,1.558061224489797e-11,1.7735904643982597e-10,3.496523089289071e-11,1.6478932038834952e-11,5.211080259257634e-10,7.914291617307448e-10,5.403504089077862e-09,4.010106097233416e-09,2.4760085561157546e-10,1.0714859813084122e-11,2.2899713442517926e-09,2.1429813084112138e-11,3.0809039633734535e-11,1.92381308411215e-11,1.571300970873786e-11,1.461802540726734e-10,4.8862500000000015e-11,4.867753482981756e-09,2.2637676153660706e-09,27971892.034090914,3.127733414752191e-09,1.8609290271132388e-06,2.4746396216337105e-07,1.4036888888888883e-11,1.011167306272448e-10,3.5989719626168236e-11,1.0285365578413833e-08,2.9141775700934575e-11,5.420818091931716e-10,2724317.4227272724,5.071993509380221e-10,1.1867012953823456e-09,9.135727689434557e-10,3.7760714285714283e-11,3.8223177570093424e-11,2.06498737540035e-11,5.1326517857142844e-11,6.583943133430215e-11,2.4069038461538442e-11,2.2273177570093447e-11,1.9568756906767065e-10,1.562662500000002e-10,2.495949107142856e-10,3.6547767857142855e-10,2.298206420200069e-09,4.150959930773522e-10,1.0797495218141833e-10,8.109947172266479e-11,2.7996686057637024e-11,1.8144633928571428e-10,7.382002402013469e-09,1.5816393420800585e-08,2.744098606549484e-10,2.1424825851297724e-08,9.677722772277226e-12,556275.3987678571,9.197129509965007e-11,5.2435140562249016e-11,1.63455238095238e-11,2.1284095238095246e-11,1.4346628297679604e-10,3.569008928571429e-11,8.900000000000003e-12,5.21349541284404e-11,1.60345283018868e-11,6.010138340551933e-10,1.4985714285714293e-11
9,1.3456919642857149e-10,1.6132352941176467e-11,1.526697878084165e-10,3.4864771274722686e-11,1.598650943396226e-11,4.311587560685766e-10,6.939926624391949e-10,4.702928237828305e-09,3.037310981408487e-09,2.229677448481674e-10,1.0613333333333333e-11,1.8799115010695462e-09,2.1225462962962964e-11,2.5646978559585982e-11,1.9074537037037048e-11,1.5241320754716986e-11,1.6424662866347055e-10,4.253758928571431e-11,4.41296874076515e-09,2.3758178797847774e-09,35959967.75842697,3.2036078380586875e-09,1.8441307814992048e-06,2.3965931515393513e-07,1.2313823529411761e-11,8.92365117323118e-11,3.5655740740740735e-11,1.0385152263374493e-08,2.88975925925926e-11,5.911045113887459e-10,4925378.185393258,4.6096113045502445e-10,8.9595012745406e-10,9.561125633095024e-10,3.7750446428571456e-11,3.785518518518519e-11,1.8704153913568946e-11,5.1313214285714273e-11,5.945286820315352e-11,2.6135192307692292e-11,2.2070092592592584e-11,1.8619228843823862e-10,1.438411607142858e-10,2.172882142857146e-10,3.364174999999998e-10,1.8640392791475637e-09,4.016221290076563e-10,1.0619720890131918e-10,7.693542231356188e-11,2.6020173135752327e-11,1.6701830357142856e-10,5.129074654687892e-09,1.3187628728314847e-08,2.5798036415939403e-10,2.5945947639961402e-08,1.2305212765957446e-11,868498.0196629212,7.726025235116848e-11,7.407590361445783e-11,1.9852019230769242e-11,2.4548653846153848e-11,1.2200187366822796e-10,3.1071071428571413e-11,1.0002061855670102e-11,4.018990476190477e-11,1.686948453608249e-11,5.13185408035258e-10,1.3046071428571434e-11
