,x,y,count,mean,std,min,25%,50%,75%,max
ANHY,0.34611964,-0.5924049,432.0,4.934444425128404,0.002835468010511485,4.9253770251598095,4.933714844147772,4.93580296174941,4.936226056944,4.9364358336216965
APINENE,-0.62511003,-0.2916056,432.0,4.695327847307909,0.11093883203812391,4.422539174331768,4.63252955713719,4.716433220316587,4.785291864489372,4.867647883993394
ARNOH14,-0.858823,-0.15966977,432.0,4.935049721800684,0.0017367599164381559,4.929326380785993,4.934635006848886,4.935785816307156,4.936224209333037,4.936392421919565
ARNOH17,-0.3187329,-0.44791344,432.0,4.933640107195125,0.003009095207026042,4.923506348874569,4.933098261808991,4.93475751295993,4.935775040719933,4.936171101101829
AROH14,0.25341293,-0.63716394,432.0,4.8951627786434715,0.04302277886446858,4.759723960750434,4.883135411183155,4.911987666081666,4.926394559430884,4.931946846816101
AROH17,0.23982494,-0.63681763,432.0,4.856182547076181,0.06888316295037143,4.643784105001052,4.837387258274732,4.878154151411694,4.909918302203069,4.923693435802289
BENZAL,-0.18558979,-0.5400891,432.0,4.917775642876382,0.025195914656136863,4.84213507068759,4.910116727656751,4.930494329166548,4.93407712500742,4.935839802255435
BENZENE,0.5217799,-0.3666043,432.0,4.934834975746598,0.0023026959578486116,4.927466453569767,4.934244454773463,4.935938109484753,4.936281090900286,4.936451122548159
BOX2PROL,0.34430522,-0.4318566,432.0,4.9018947303465135,0.04474357099853214,4.76578563900684,4.887314148972115,4.923457339855508,4.931149506415672,4.935018330640245
BPINENE,-0.29028937,-0.4676615,432.0,4.807684370488979,0.10306612655611347,4.51911639336161,4.771509764963565,4.8452192041559465,4.886555174292761,4.908422775203129
BUOX2ETOH,0.29746225,-0.66899055,432.0,4.907264800900556,0.03814522773036123,4.790336010243904,4.8952513165471006,4.925640290899391,4.932054001587062,4.93527188669871
BUT1ENE,-0.17152016,-0.4845403,432.0,4.873597596743906,0.0535768363120418,4.716367044140843,4.8576767992699255,4.893907606346767,4.913094587638318,4.92450447215313
BUT2OL,0.61736363,-0.487194,432.0,4.924869062906817,0.015663798185448517,4.875557394741162,4.920512854137531,4.932394166753374,4.934834591224275,4.936048806825214
C2H2,0.5554355,-0.67690086,432.0,4.935466411199701,0.0014396899944038835,4.9308545499043435,4.935099204563532,4.936155968456779,4.936369784600386,4.936475759508789
C2H4,-0.76768637,-0.27296174,432.0,4.921774877002805,0.015190498545196104,4.874386916312626,4.917904003872419,4.928172747495001,4.932245951914661,4.934111023882253
C2H5CHO,-1.0624547,-0.24382609,432.0,4.905039863087186,0.042646819063471765,4.7839732874500305,4.89181654048448,4.927296615768481,4.93279588112426,4.935486510486019
C2H5CO3,-1.1626265,-0.0753572,432.0,1.460787382827097,0.5576465887990063,0.6621950575105733,0.8579036278920791,1.4540466851881066,2.036314511763883,2.3516699578378466
C2H5CO3H,0.25575584,-0.29582477,432.0,4.924461675026548,0.017835319215521166,4.875489790580582,4.919751693635469,4.934273576374231,4.935654981782216,4.936278831177177
C2H5NO3,0.530857,-0.6675638,432.0,4.934743579554579,0.0027951343809335797,4.926878131843632,4.934329878324553,4.936265812953085,4.936420350042685,4.936489996747502
C2H5O2,-1.367813,0.034644634,432.0,3.111575862785413,0.7212607867161579,1.5371434473166612,2.684952452737112,3.239455781001749,3.6552598387028454,4.1682257289058
C2H5OH,0.30015984,-0.6644149,432.0,4.932118511567676,0.00599257429976823,4.913029509685892,4.930546069740176,4.934991776017824,4.935895517950127,4.936343977483628
C2H5OOH,-0.061726823,-0.58015317,432.0,4.913078430612268,0.032035322195089956,4.821900244045374,4.90309844820607,4.9298419152321,4.933871101161044,4.935785610685593
C2H6,0.6127999,-0.61599797,432.0,4.936182082464253,0.00045910959744824796,4.934709596930378,4.9360657055304715,4.93640192594115,4.936469885931718,4.936503560868146
C3H6,-0.60519993,-0.33058795,432.0,4.876906354335948,0.0500492473764162,4.729624261820274,4.860936987342818,4.895560213782707,4.913849661593904,4.925105698013969
C3H7CHO,0.39220354,-0.6376696,432.0,4.897222307589332,0.05281927959051682,4.749798502675481,4.879706625992859,4.924948700300925,4.931880705974808,4.935231616873104
C3H8,0.61240506,-0.6537101,432.0,4.935039353992865,0.0020235854705664487,4.928561738515116,4.934521319041736,4.936008711746274,4.936309837043663,4.936459107928226
C4H6,-0.5793847,-0.29798847,432.0,4.8486097746580965,0.09025033696930417,4.589338320545197,4.813523069106209,4.8884306546154885,4.913570961911709,4.92506313906544
C4H9CHO,0.3904307,-0.6550495,432.0,4.892098471624451,0.05881119412068571,4.7278540253015136,4.871598831972442,4.922747615533552,4.93095313727563,4.934973190777394
C5H8,-0.63994247,-0.34666845,432.0,4.807129162006549,0.11898103400444218,4.476657439729266,4.755954971741996,4.856748342388043,4.896332159801546,4.915053581558458
CARB10,-0.19917354,-0.46322998,432.0,4.926050038259188,0.014683131075581769,4.8829810159981175,4.922283424647328,4.933669622993724,4.935374672368799,4.936201426206023
CARB11,-0.9831992,-0.11308121,432.0,4.903914636439293,0.043919791706891115,4.778452187569561,4.89026811267701,4.9265901243694525,4.9325157505418336,4.935409892677623
CARB11A,-0.52071476,-0.3238435,432.0,4.932282964442124,0.006708199689815739,4.913427408181534,4.931401310758373,4.935929628781722,4.936291347996372,4.936454423884205
CARB12,0.18318668,-0.6377473,432.0,4.691151565908829,0.3863908463749783,3.9106874976635115,4.399260316353842,4.935814981332948,4.936247340906797,4.936442286991301
CARB13,-0.65596175,-0.2683151,432.0,4.90832063075934,0.03867805750578296,4.798016403922889,4.897407857705758,4.9285477623350005,4.933309085483896,4.935629916644103
CARB14,-1.0272777,-0.09970348,432.0,4.902099443820185,0.04770739353334444,4.768503985806905,4.888459948276283,4.9273521856107845,4.9328832133913085,4.93551184114465
CARB15,0.13876513,-0.6040577,432.0,4.689577119448152,0.38652430726670656,3.909535550859151,4.396319225028723,4.9340762257169235,4.935579046783174,4.93625786596855
CARB16,-0.650826,-0.23109266,432.0,4.9122525238428345,0.034206002703680564,4.815242904987185,4.903590807256545,4.9303188374316935,4.934084469922331,4.935844681650353
CARB17,-0.70876586,-0.22201604,432.0,4.927179273386554,0.013540535117853691,4.888060285269926,4.924637198812773,4.934344700742663,4.935666665268283,4.93628205668372
CARB18,0.24158925,-0.6406128,432.0,4.68889649671886,0.38658421015511585,3.908597200625416,4.395047995874816,4.93332306976862,4.935289058344435,4.936177777438545
CARB19,-0.5017388,-0.33304274,432.0,4.922522913926086,0.019469899880202618,4.8655997364934755,4.91721920729425,4.93260079619509,4.934944826877017,4.93608265790408
CARB20,0.3865684,-0.5457311,432.0,4.9234357140243485,0.018075691812999138,4.870101812771358,4.918279776542878,4.932699798256987,4.9349798210069,4.936092330125546
CARB21,0.4603537,-0.40830788,432.0,4.688213311536434,0.38664565826970915,3.907654596189878,4.393772108355532,4.9325661761609325,4.934997319129294,4.936097166317059
CARB22,0.1525067,-0.623362,432.0,4.92130782045204,0.02150219656219346,4.859222942299287,4.916151795623211,4.932608149135724,4.9349623235894935,4.936087493987887
CARB23,0.4137857,-0.5275348,432.0,4.919137963282543,0.023620106610405665,4.84862776951894,4.912344820959358,4.931101953533124,4.934323331484498,4.93590913186756
CARB24,0.59883606,-0.67513025,432.0,4.687532120718913,0.38670822905806046,3.906714033178421,4.39250008313068,4.931810599448291,4.934705775759865,4.9360165701553465
CARB25,0.1402942,-0.6363461,432.0,4.9196540163550235,0.025241564362739496,4.848877568355514,4.914578428907491,4.933332252037722,4.935269602965172,4.936172402898253
CARB26,0.40976453,-0.53769225,432.0,4.9174059342213186,0.02583801604197107,4.840109942326187,4.910033080364356,4.930493594772379,4.934052380026074,4.935833940877311
CARB27,0.506502,-0.42569637,432.0,4.686852906703471,0.3867718987158147,3.9057755027678156,4.391231896339231,4.931056335055974,4.9344144279733815,4.935935988947856
CARB28,0.10887849,-0.62550795,432.0,4.9167440740811745,0.030267481580374952,4.833150010627653,4.911298837206427,4.933267525522275,4.935255984718245,4.936168640759623
CARB29,0.4250654,-0.54590005,432.0,4.915570256806617,0.028176947616266147,4.831165358716564,4.90716499775124,4.929808133518384,4.933762262356813,4.93575339354552
CARB3,-0.16526529,-0.55629957,432.0,4.79301681155397,0.22723214817571705,4.2957185445645525,4.66707454364354,4.931608280843295,4.934627657146874,4.935994967882876
CARB30,0.6569324,-0.676262,432.0,4.686175652223808,0.38683664401404305,3.90483899619191,4.389967524344076,4.930303378433061,4.934123275507603,4.9358554226890385
CARB31,-0.26325902,-0.500397,432.0,4.914127249086326,0.03278667123093195,4.822371511464987,4.9072778350855675,4.931813051084369,4.934672746522002,4.936007436867234
CARB32,0.53970116,-0.6955961,432.0,4.913875158421671,0.030325657739074013,4.822980084682851,4.9044726939142445,4.9291523218975115,4.933491660609385,4.935678229511649
CARB33,0.6514869,-0.6255633,432.0,4.685500340302513,0.3869024422815021,3.9039045047411416,4.388706943729207,4.929551725052264,4.933832318100819,4.935774871373349
CARB34,-0.17648023,-0.5272503,432.0,4.908672489832484,0.042632047010359386,4.792663517560801,4.90049075589481,4.932061643971998,4.934791274865415,4.936040210145945
CARB35,0.21912277,-0.6426085,432.0,4.91219714531686,0.032441978673996924,4.8149462314106675,4.901844593263512,4.9284974991108506,4.93322122736506,4.935603078484284
CARB6,-0.48019636,-0.4996782,432.0,4.786288847233379,0.23530478870102473,4.275748799911636,4.651333795909894,4.929910391463412,4.933971192737453,4.9358133235689445
CARB7,-0.42555478,-0.53021336,432.0,4.927888225852471,0.012297739871951515,4.89199670262795,4.925050248333632,4.934331413232181,4.9356486292334045,4.9362770773773565
CARB9,0.10689104,-0.5853555,432.0,4.691677240242541,0.3863478992670418,3.9110208781438964,4.4002424000332985,4.936394421626552,4.936469684044831,4.93650359878571
CBUT2ENE,-0.10500173,-0.51276493,432.0,4.6580378377250815,0.12120247888151556,4.369530878484432,4.589408600222108,4.677534693392628,4.7557956497991,4.85586088951108
