,CH3NO3,CH3OH,O1D,O3,NO2,NO3,N2O5,H2O2,TEMP,NO,NA,CH4,HO2NO2,LMP2,PRESS,LMP1,HSO3,CO,CL,O,HNO3,SO3,SO2,HO2,OH,H2,HONO,H2O,TIME,CH3OOH,SA
0,0.0,0.0,0.0,1.70430932036e+11,78149939660.5,0.0,0.0,0.0,298.0,1.07198571321e+11,0.0,2.13184975322e+11,0.0,0.0,1013.0,0.0,0.0,1.35612348476e+11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23110166372e+13,0.0,2.46220332744e+17,0.0,0.0,0.0
1,0.0,0.0,0.00480557474912,1.53710083013e+11,93506176379.1,206452.060183,530290.287076,0.0,298.0,90501534981.4,4931130.53455,2.13183757691e+11,73523.480623,0.0,1013.0,1217630.8161,0.0,1.35584577797e+11,0.0,3580.91938259,766854142.379,0.0,0.0,64833.3799514,401997.160107,1.23109427018e+13,567673792.059,2.46220332744e+17,15791451.84,0.0,0.0
2,0.0,0.0,0.0020774754297,1.3765467769e+11,1.08756031455e+11,262279.722965,782856.938073,0.0,298.0,74630870798.4,17216470.0837,2.13183023258e+11,53383.9962625,0.0,1013.0,1952063.69376,0.0,1.35567830155e+11,0.0,2547.38181571,1290714631.07,0.0,0.0,40419.5962393,208519.458043,1.23108981065e+13,651796249.228,2.46220332744e+17,15793251.84,0.0,0.0
3,0.0,0.0,0.000775018618473,1.19057072321e+11,1.26942027699e+11,354927.021553,1235492.06862,0.0,298.0,56190931208.2,34273818.5037,2.13182674594e+11,35126.789853,0.0,1013.0,2300727.7326,0.0,1.35559880098e+11,0.0,1550.41040079,1570827112.55,0.0,0.0,22772.374444,89379.7507806,1.23108769354e+13,607590105.52,2.46220332744e+17,15795051.84,0.0,0.0
4,0.0,0.0,0.000243697835229,99034173245.2,1.46779688086e+11,534101.957779,2146183.16351,0.0,298.0,36261216314.9,54337280.233,2.1318253582e+11,22133.4069455,0.0,1013.0,2439501.96694,0.0,1.35556715965e+11,0.0,730.741435653,1689758680.48,0.0,0.0,12406.2968637,31774.044404,1.23108685089e+13,558662018.201,2.46220332744e+17,15796851.84,0.0,0.0
5,0.0,0.0,0.0,74908212703.3,1.70830306068e+11,1381588.74722,6332026.86922,0.0,298.0,12174877696.6,77553012.7028,2.13182497685e+11,0.221101943269,0.0,1013.0,2477637.2555,0.0,1.35555846471e+11,0.0,-1.94950558074e-232,1713843970.13,0.0,0.0,0.0674119983337,0.00367314105885,1.23108661933e+13,537884591.259,2.46220332744e+17,15798651.84,0.0,0.0
6,0.0,0.0,0.0,63878419569.6,1.81663269647e+11,10194758.729,49898347.3881,0.0,298.0,1214894375.62,127036866.445,2.13182497685e+11,2.15002589787e-09,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1695434048.05,0.0,0.0,9.30484376815e-10,5.08344018272e-12,1.23108661933e+13,537884591.277,2.46220332744e+17,15800451.84,0.0,0.0
7,0.0,0.0,0.0,62341521516.2,1.82155177903e+11,53809358.3312,266376105.234,0.0,298.0,48847130.4498,342817905.143,2.13182497685e+11,3.03211212178e-10,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1677221883.04,0.0,0.0,1.37044118928e-10,5.39047255219e-14,1.23108661933e+13,537884591.277,2.46220332744e+17,15802251.84,0.0,0.0
8,0.0,0.0,0.0,61605318913.3,1.80950549268e+11,112295578.24,557909760.288,0.0,298.0,3405954.20928,969350717.768,2.13182497685e+11,2.24157374986e-10,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1659205351.1,0.0,0.0,1.02063599818e-10,3.20754687295e-14,1.23108661933e+13,537884591.277,2.46220332744e+17,15804051.84,0.0,0.0
9,0.0,0.0,0.0,60899154830.2,1.79680353284e+11,144047378.506,712789604.533,0.0,298.0,3522716.82373,1915741450.84,2.13182497685e+11,1.56721724404e-10,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1641382350.75,0.0,0.0,7.18190597762e-11,2.74874330751e-14,1.23108661933e+13,537884591.277,2.46220332744e+17,15805851.84,0.0,0.0
10,0.0,0.0,0.0,60205652834.3,1.7843760267e+11,159388971.526,784098717.671,0.0,298.0,3592114.88696,3018094395.06,2.13182497685e+11,1.04301491784e-10,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1623750803.09,0.0,0.0,4.81152787698e-11,2.00727812192e-14,1.23108661933e+13,537884591.277,2.46220332744e+17,15807651.84,0.0,0.0
11,0.0,0.0,0.0,59524614791.2,1.77219590649e+11,166308453.571,812940566.413,0.0,298.0,3608866.57906,4188928636.43,2.13182497685e+11,6.77787463071e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1606308651.57,0.0,0.0,3.14774371795e-11,1.3658348443e-14,1.23108661933e+13,537884591.277,2.46220332744e+17,15809451.84,0.0,0.0
12,0.0,0.0,0.0,58855769678.2,1.76024561292e+11,168914903.434,820299848.401,0.0,298.0,3604254.59385,5383892381.89,2.13182497685e+11,4.35737404504e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1589053861.71,0.0,0.0,2.03724442055e-11,8.99435404707e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15811251.84,0.0,0.0
13,0.0,0.0,0.0,58198823045.5,1.7485136434e+11,169319639.299,816876965.634,0.0,298.0,3590004.27051,6580614055.08,2.13182497685e+11,2.79001985304e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1571984420.89,0.0,0.0,1.31317419407e-11,5.83525456189e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15813051.84,0.0,0.0
14,0.0,0.0,0.0,57553477732.8,1.73699159577e+11,168607702.084,808127665.38,0.0,298.0,3571255.68096,7767934186.46,2.13182497685e+11,1.78543268401e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1555098338.12,0.0,0.0,8.45924969472e-12,3.76259810071e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15814851.84,0.0,0.0
15,0.0,0.0,0.0,56919441004.9,1.72567270451e+11,167336843.064,796832677.735,0.0,298.0,3550447.09062,8940409649.5,2.13182497685e+11,1.14394137293e-11,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1538393643.78,0.0,0.0,5.45554680968e-12,2.42205590822e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15816651.84,0.0,0.0
16,0.0,0.0,0.0,56296427319.0,1.71455110817e+11,165793762.557,784407545.141,0.0,298.0,3528781.20937,10095509549.4,2.13182497685e+11,7.34480806828e-12,0.0,1013.0,2477637.25572,0.0,1.35555846471e+11,0.0,0.0,1521868389.42,0.0,0.0,3.52559394488e-12,1.56003044771e-15,1.23108661933e+13,537884591.277,2.46220332744e+17,15818451.84,0.0,0.0
