number,species
1,C918NO3
2,C134CO
3,NBUTACET
4,C124O2
5,PROL1MPAN
6,BCCOOH
7,IPRHOCO2H
8,TM124NO2O
9,C3EODBCO2H
10,DMEBPOXMUC
11,DNMXYOLOOH
12,C4ME2OHNO3
13,C920CO3
14,MIPKAO
15,BUT2OLAO
16,C823CO
17,M3BU2OLOOH
18,METLBIPRO2
19,PXYCATECH
20,M3HEXBNO3
21,C124OH
22,PRCOOMCHO
23,PTLQONE
24,TM123MUCO
25,C137CO
28,MBOAOOH
29,C4M2NO33O
30,EPXDLCO2H
31,BOXCOCOMO
32,ME3BU2OLO
33,CLOHCO3H
34,BOXCOCOME
35,MALDIAL
36,C6PAN21
37,DEMPHOLOOH
38,C6PAN23
39,C6PAN22
40,HO13C5O2
41,EBZMUCOOH
42,NMETOL1O2
43,DMKOHOOH
44,C9M2CO6O2
45,IPBZBPR2OH
46,MPRK
47,NOA
48,BIACETOOH
49,HEPTOH
50,C6CO4MEDB
51,ACBUONEAO
52,PEBQONE
53,C42OH
55,C63NO3
56,TBOCOCH2O
57,NPETOLO2
58,NPTLQO
59,C514OH
60,C620O2
61,ACETC2CO2H
62,C917NO3
63,METHACETO2
64,C44O
65,C620OH
66,C711O2
67,CNO3OCL
68,NEBNZOLOOH
69,C514O2
70,NPETOLOH
71,C731OOH
72,IC3H7O
73,HO2C54O
74,C42O2
75,NC524OOH
76,C51NO324CO
77,C62NO335CO
78,C1011O
79,C925OOH
80,H14CO23C4
81,C624CO
82,T124CAT1O2
83,CO24M3C5
84,H3C2C4CO2H
85,CO2C4CHO
86,MIBKBOOH
87,NPETLQO2
88,HC4CO3
89,C6H5OOH
90,C3MDIALO
91,HEPTO2
92,PXYMUCNO3
93,H13C43CO3
94,CHOC4PAN
95,C624NO3
96,CO25C74OOH
97,C514O
98,C1010OOH
99,DIIPRETOH
100,ME2BUOLO
101,C4MCODBCO2
102,C4MCODBCO3
103,C46PAN
104,TMB2FUOOH
105,MIBKHO4O
106,CL2OHCH2O
107,H3C25CCO3H
108,ETBEAOH
109,C126NO3
110,ETBEAO2
111,HM22C4O
112,C823OOH
113,C616O2
114,C88OOH
115,C1013CO2H
116,DIIPRETO2
117,M2BKAOOH
118,MMALANHY
119,C312COCO3H
120,MEK2OO
121,C7EDCOOH
122,NMXYQO2
123,PXYL1O2
124,C827OOH
125,NDNPBZLOOH
126,CO23C5
127,CO23C6
128,TOL1O
129,CH3SOO2
130,IPROPOLPER
131,NDNPETLOOH
132,C61O
133,C3NO3COOOH
134,C1312O
135,PROL1MCO3
136,CH3CHOHCHO
137,C78O
138,MNO3COC4O
139,BZEMUCCO3H
140,MACRNB
141,COHM2CO3H
142,TL4OHNO2O2
143,PHIC3O
144,OTNCATECO
145,OTNCATECH
146,DM124O
147,PTCATEC1O
148,DMMBO2
149,MTBKNO3
150,NISOPNO3
151,HNC524CO
152,C720O
153,C139NO3
154,H3M3C5CHO
155,C5ONO34OOH
156,IPECO
157,IPROACET
158,HODMSO2
159,NMXYOL1O2
160,METLOBPROH
161,DMMBOH
162,NPHENOOH
163,SBUACONEO
164,HO1C3O2
165,C57NO3
166,C1313NO3
167,HEXBOH
168,M3HEXAO2
169,ETOHOCHO
170,C51CO2H
171,C117NO3
172,C112O
173,BCALBCO
174,IPBZMUCOH
175,C9M2CO6OH
176,H3M3C5NO3
177,C152OOH
178,CO235C6CHO
179,NPHENO
180,C3PAN2
181,C3PAN1
182,IPBZMUCO2
183,NBUTOLBO
184,HO13C3CO3H
185,PE1ENEBO2
186,C82OOH
187,HEXBO2
188,M3HEXAOH
189,C716OOH
190,HMVKBO
191,C83COOHOOH
192,CH3NO3
193,EPXMC4DIAL
194,MTBEBOH
195,HMVKANO3
196,CO2OH3MPAN
197,NC4IPDCO2
198,HOACETETO2
199,C151OH
200,C151O2
201,ISOPCO2
202,NC4OHCO3
203,C629OOH
204,BPINBO2
205,MIBKCOOHO2
206,H2M2C4CO2H
207,C134O
208,C817CO3
209,MTBEBO2
210,C917O
211,ACPRONEOH
212,DMC
213,C920CO3H
214,LIMCOH
215,IPRBQONE
216,MO2EOLB2OH
217,C7M3CO
218,DMM
219,DMS
220,C6PAN20
221,C71O2
222,PXYFUOOH
223,C735OOA
224,MO2EOLBO
225,C735OOH
226,ACPRONEO2
227,CATEC1O
228,LIMCO2
229,C8M2CO6OH
230,TM123BO
231,PETCATECH
232,CO25C6CO2H
233,NDNT124LO
234,PETLMUCO2H
235,C88PAN
236,BIACETO
237,ACEC2CHO
238,C822PAN
239,C89NO3
240,C720OH
241,C121OOH
242,BCALBOOH
243,C5MDICARB
244,C720O2
245,MCATECHOL
246,C1011CO3H
247,C617PAN
248,PENT1ENE
249,PGAOOB
250,LIMALACO
251,C8M2CO6O2
252,MOCOCH2OOH
253,HO1C5OOH
254,NC623O
255,LIMBOOH
256,CH3SCH2O
257,CHOC4CO3H
258,C733OOH
259,C78O2
260,C815CO2OOH
261,MC3CODBCO3
262,MC3CODBCO2
263,H2M3C4O
264,C42O
265,C918CO3H
266,DM23BU2ENE
267,ETBEANO3
268,HO2C6OOH
269,C78OH
270,NOPINCO
271,DNPHEN
272,TM135BPNO3
273,MIBKAOH3CO
