index,APINENE,BENZAL,BENZENE,BUT1ENE,BUT2CHO,C2H2,C2H4,C2H5OH,C2H6,C3H6,C3H7CHO,C3H8,C3ME3CHO,C4H6,C4H9CHO,C5H11CHO,C5H8,CH2CL2,CH3CHO,CH3COCH3,CH3O2,CH3OH,CH4,CO,CYHEXONE,EBENZ,ETHACET,HCHO,HEX2ONE,HNO3,HO2,HONO,IC4H10,IC5H12,IPRCHO,LIMONENE,MACR,MEK,MEPROPENE,METHTOL,MPRK,MVK,NC10H22,NC11H24,NC12H26,NC4H10,NC5H12,NC6H14,NC7H16,NC8H18,NC9H20,NO,NO2,NOY,NPROPOL,O3,OETHTOL,OH,OXYL,PAN,PBENZ,PETHTOL,PXYL+MXYL,STYRENE,TM123B,TM124B,TM135B,TOLUENE,TRICLETH
0,6.316906934996631e-11,1.3921959899499862e-11,1.4407697853742817e-10,2.684529581565434e-11,1.5723539333578844e-11,3.448752853119568e-10,5.686250784422686e-10,6.231220249427015e-09,6.198040225780592e-09,1.690250281645395e-10,1.0307197005958458e-11,1.9080131495964005e-09,2.0493241768020366e-11,3.271836958715325e-11,1.829354607615841e-11,1.4650052431388254e-11,2.6725097173176495e-11,4.115730003039517e-11,4.390713272109929e-09,2.2051830610980595e-09,14237172.843040308,3.2536776228591544e-09,1.8903503612291889e-06,2.1997394569364978e-07,1.2712601546554922e-11,8.243673907482572e-11,3.4457606883959715e-11,7.420910012380207e-09,2.8018449721233727e-11,4.5853422540893325e-10,4567986.817459397,4.625021259077113e-10,6.259887064271377e-10,6.939580620042382e-10,3.849190140731917e-11,3.6807539490610335e-11,1.921236327450113e-11,5.2277553534052996e-11,4.573158418270864e-11,1.4544745995716458e-11,2.133812283299736e-11,1.6284797713599795e-10,1.3940764869732636e-10,2.1023713558767023e-10,3.2604839302837883e-10,1.205165760236756e-09,3.414314852319678e-10,9.564832484923205e-11,6.601852298861077e-11,2.5570770934731812e-11,1.6187110107230648e-10,1.5836472895294283e-09,1.3438022913839481e-08,1.750176881316443e-08,2.478669365906929e-10,2.0339581619652724e-08,8.433798649842727e-12,217116.1789418693,7.116530808572815e-11,5.534464796605918e-11,1.2704326518018983e-11,1.6340489443944164e-11,1.2016088479950333e-10,3.006281589924953e-11,6.081875177504403e-12,1.8695575554417187e-11,1.1235381111279518e-11,5.093506746238611e-10,1.2622160392672641e-11
1,6.285871589452034e-11,1.3938849037700786e-11,1.4386252443017897e-10,2.676383930855603e-11,1.5561000655917492e-11,3.4357748900844935e-10,5.667370076063164e-10,6.235242448627332e-09,6.231329715575574e-09,1.6836348704520274e-10,1.0203755290098599e-11,1.914468728476295e-09,2.0281709649311017e-11,3.2707984011814914e-11,1.8124924129224243e-11,1.451417172716519e-11,2.596401701312175e-11,4.118630422427757e-11,4.395006104510776e-09,2.2042003656551185e-09,14253179.002378682,3.2539786859171702e-09,1.891468481667448e-06,2.1951992211121262e-07,1.2589000240847644e-11,8.251067648556604e-11,3.411146068765278e-11,7.410455106983321e-09,2.7764618357539045e-11,4.538180827738723e-10,4560829.385783225,4.6307234229075864e-10,6.267853698381888e-10,6.945313919499893e-10,3.812616926605301e-11,3.6394201281959277e-11,1.9071238425793688e-11,5.180211567716714e-11,4.554926505818491e-11,1.4514647113008943e-11,2.112656191584902e-11,1.6292244846646106e-10,1.3958146930042767e-10,2.103852949882236e-10,3.2645490952945867e-10,1.205638319757502e-09,3.4199470929519855e-10,9.589391360154549e-11,6.615858095119648e-11,2.5607808811642704e-11,1.6207292917283127e-10,1.5939281133575232e-09,1.3407979625689232e-08,1.747092409235427e-08,2.4833604952029224e-10,2.0255799441382084e-08,8.425221257794572e-12,218087.204541189,7.124952737394009e-11,5.4710078818836826e-11,1.2715166884966929e-11,1.633635447732411e-11,1.203138812781071e-10,3.0084005205758165e-11,6.080375083062088e-12,1.8636802360932103e-11,1.1239269663818482e-11,5.097868024580618e-10,1.2631046318679098e-11
2,6.26215298123458e-11,1.3950685196513061e-11,1.4362523812364593e-10,2.6688929423292433e-11,1.5380602323966312e-11,3.425389244464899e-10,5.647661711822671e-10,6.231515204814646e-09,6.2643660318859894e-09,1.6767335952452268e-10,1.009089106718736e-11,1.920723906562484e-09,2.0054095795816744e-11,3.2649643289747015e-11,1.7952123263015234e-11,1.4368348185187057e-11,2.5462345899399433e-11,4.119492066453903e-11,4.399092565161501e-09,2.203056632455508e-09,14320485.155673122,3.2546725022133085e-09,1.8925597540404933e-06,2.1903327721483725e-07,1.2446868597314506e-11,8.257597633757891e-11,3.373899007664214e-11,7.4010029036716724e-09,2.749148231177586e-11,4.5078517176802095e-10,4564560.332135327,4.6343299683852986e-10,6.274052145354588e-10,6.949019542830666e-10,3.774061871684432e-11,3.595821668757613e-11,1.891829099244261e-11,5.1300903100180953e-11,4.536499645799699e-11,1.4443745429084088e-11,2.089893133163752e-11,1.6303554806398291e-10,1.3966999476233852e-10,2.1042933583748082e-10,3.2666192980611006e-10,1.2059199498560587e-09,3.424506999854753e-10,9.608090707695089e-11,6.629970952989268e-11,2.563047160036557e-11,1.6217571745126185e-10,1.5969566408080564e-09,1.3364072348052654e-08,1.7421171102056776e-08,2.487286356698922e-10,2.019755671052956e-08,8.412088351911122e-12,220329.1354623211,7.130719063956186e-11,5.4269510270775194e-11,1.2719294265349012e-11,1.6317175168078954e-11,1.2043599997518556e-10,3.0090301813803695e-11,6.060506831822588e-12,1.8533477663616985e-11,1.121240928738677e-11,5.101004110266305e-10,1.2633684766951577e-11
3,6.250153386724044e-11,1.3958461154872307e-11,1.435563356163864e-10,2.666518761902441e-11,1.5294754766416695e-11,3.4229709616711445e-10,5.642198950390158e-10,6.2292835915987196e-09,6.281602814414857e-09,1.6743628972437586e-10,1.0037244679068712e-11,1.9240232062921e-09,1.9947305151282505e-11,3.261169056586006e-11,1.7872014254659996e-11,1.4297815491830728e-11,2.531089875315485e-11,4.118431984229484e-11,4.402570281129859e-09,2.2024892578862106e-09,14340536.651693553,3.2560010864296672e-09,1.8930994334105864e-06,2.1884946754186583e-07,1.2383394257757532e-11,8.263802929224525e-11,3.356423374529119e-11,7.398356734919089e-09,2.7363331728037652e-11,4.4986602607385274e-10,4570585.368396986,4.6374930166537427e-10,6.27904804665557e-10,6.951195597447403e-10,3.756303520780034e-11,3.575647975351027e-11,1.8857626726157787e-11,5.1070042976861493e-11,4.5299630929262126e-11,1.4418948408866587e-11,2.0792134345894156e-11,1.632315988577572e-10,1.3964256708228654e-10,2.1037520140274505e-10,3.265977756902447e-10,1.206298382430009e-09,3.42664392308353e-10,9.615413475899116e-11,6.639535732262525e-11,2.563605967304142e-11,1.6214387071642433e-10,1.6002497609375913e-09,1.3347560546769131e-08,1.7406401260504522e-08,2.489632443625466e-10,2.016955826589997e-08,8.398033990067759e-12,221109.4815221671,7.136077705650777e-11,5.4111303798014286e-11,1.2713420851244675e-11,1.6304055172723793e-11,1.2054173512248346e-10,3.008256025357674e-11,6.047963773014945e-12,1.8521711247001572e-11,1.1197336547680285e-11,5.104092579692227e-10,1.263043559319046e-11
4,6.242338720644982e-11,1.397873298579709e-11,1.4360069090958468e-10,2.6667896103355943e-11,1.5219050072185804e-11,3.424038041802202e-10,5.643358713405335e-10,6.228728048296564e-09,6.302636956806949e-09,1.6739776830122758e-10,9.989649225355088e-12,1.928536904459681e-09,1.985235677047015e-11,3.258161652833056e-11,1.780029546545449e-11,1.4233547808002722e-11,2.5240145649638047e-11,4.117289217025431e-11,4.408076013903741e-09,2.202239016108958e-09,14334610.376196567,3.258069752636298e-09,1.893713933913693e-06,2.1875535837076795e-07,1.2329974802825482e-11,8.276214389956196e-11,3.3408859095126066e-11,7.398334621751668e-09,2.7249392962055847e-11,4.493622521630693e-10,4571883.312118023,4.6427326654335075e-10,6.289565471834622e-10,6.958405818304993e-10,3.7411390848177013e-11,3.557937876534629e-11,1.881206482905205e-11,5.0872895818717927e-11,4.5286131174494037e-11,1.4441791999932975e-11,2.0697181338416996e-11,1.6349314658745438e-10,1.3959189055528397e-10,2.1031682674067558e-10,3.2647925767524974e-10,1.2076093975133343e-09,3.4309837022462313e-10,9.629643178842058e-11,6.653889254509503e-11,2.564299450704763e-11,1.620850301599537e-10,1.613447752586786e-09,1.3346353844176533e-08,1.741820583925543e-08,2.4930815845895504e-10,2.013000964859795e-08,8.395023317020598e-12,221109.9039967921,7.147555285325108e-11,5.398002206390222e-11,1.2703490834423342e-11,1.6292618033363563e-11,1.2072750556193303e-10,3.007421115889369e-11,6.041027199841121e-12,1.8537274995466997e-11,1.1203352934393841e-11,5.111064152601629e-10,1.2626930880179612e-11
5,6.238842432794775e-11,1.4006117860842267e-11,1.4374375426387552e-10,2.6697182173132958e-11,1.5159233914197857e-11,3.4278008985146666e-10,5.651311895968665e-10,6.2299203780094295e-09,6.3231149456921096e-09,1.675717541691516e-10,9.952006844188845e-12,1.9347361002058917e-09,1.9775788676443457e-11,3.257232070577879e-11,1.7741864201385652e-11,1.4181373822354858e-11,2.5268243281083056e-11,4.117305918806674e-11,4.414444889147404e-09,2.2020937069700452e-09,14295958.692536768,3.2631041313423417e-09,1.894327937379907e-06,2.1877101358383815e-07,1.228636358461291e-11,8.29154174245408e-11,3.3283565433181527e-11,7.4023167287612534e-09,2.7157510235242932e-11,4.491603974366598e-10,4562081.653105816,4.651532637834528e-10,6.312583628507997e-10,6.970302397965714e-10,3.7292661916418136e-11,3.5437866964060236e-11,1.8783585516006563e-11,5.071853997976509e-11,4.534031119393243e-11,1.4469127498220434e-11,2.0620612840345024e-11,1.637047263803875e-10,1.3957195367707003e-10,2.1031768121858276e-10,3.264326335698809e-10,1.212144473439343e-09,3.437504820266746e-10,9.650714583052971e-11,6.67107751865409e-11,2.5656099253658588e-11,1.6206187920270988e-10,1.649736931870342e-09,1.3366505804172065e-08,1.747546184149601e-08,2.497039580294249e-10,2.008105463821207e-08,8.40138191033508e-12,220388.6050507798,7.163668669690101e-11,5.385608376070379e-11,1.2690935121319981e-11,1.6293313097963216e-11,1.2095227475612253e-10,3.007432912350725e-11,6.0439621841948675e-12,1.85964825956654e-11,1.1230721671473594e-11,5.12070751101838e-10,1.2626979754660856e-11
6,6.250151722338844e-11,1.4039107945961806e-11,1.4396446715284073e-10,2.6738877879997947e-11,1.512851429701862e-11,3.434275942693351e-10,5.665877344547474e-10,6.233848840329544e-09,6.3323676564104585e-09,1.6797389480102524e-10,9.931700086662133e-12,1.940675706982714e-09,1.9732036046143196e-11,3.256670467281955e-11,1.7708542743977253e-11,1.4154843213601552e-11,2.5454500106074724e-11,4.119082038983386e-11,4.4199471182504545e-09,2.201832544742201e-09,14277511.841086283,3.2705561059269128e-09,1.8947239845559056e-06,2.189318557227481e-07,1.2266911165083557e-11,8.306574058880202e-11,3.321197217791061e-11,7.411912742071021e-09,2.7105007450858923e-11,4.490970341995235e-10,4544727.828391549,4.660767452930874e-10,6.345643599686228e-10,6.982944816943201e-10,3.7226180096190606e-11,3.535706515683785e-11,1.8768299499319422e-11,5.0632110056520845e-11,4.545280706270764e-11,1.4495426597724945e-11,2.057686294433631e-11,1.638088976849189e-10,1.3960922891706194e-10,2.1040840676273944e-10,3.2651982271441613e-10,1.2193311960735816e-09,3.444123486275943e-10,9.670655636597943e-11,6.685444746437565e-11,2.567445243315513e-11,1.6210516352589026e-10,1.7016256416366317e-09,1.3402227982876031e-08,1.7565119312494784e-08,2.500270389762791e-10,2.0036346162573577e-08,8.40746684067917e-12,220437.9211918284,7.181049030929442e-11,5.3744196223580314e-11,1.2684214409054957e-11,1.6313313468495453e-11,1.2117266735165562e-10,3.008730017073701e-11,6.045263173209026e-12,1.8679936714422236e-11,1.1272651641447882e-11,5.130675024107529e-10,1.2632427620317554e-11
7,6.282228418434884e-11,1.4070571608249915e-11,1.4420874261625524e-10,2.6778685665948684e-11,1.5127572110624076e-11,3.442741122257957e-10,5.684470889664165e-10,6.236231560023309e-09,6.324782443778879e-09,1.6851959959104367e-10,9.931717815908738e-12,1.9442168624387797e-09,1.97303760292584e-11,3.255194488604102e-11,1.7708138859808685e-11,1.415545191352037e-11,2.5879587604690305e-11,4.1238931738355504e-11,4.423420718174622e-09,2.201999308113612e-09,14292467.885734573,3.275179603101595e-09,1.8947194954215701e-06,2.191796846118297e-07,1.2266364850467595e-11,8.318894317999404e-11,3.320925755560006e-11,7.431153804360861e-09,2.7103017722629767e-11,4.492366333580496e-10,4525690.21389748,4.66693622676624e-10,6.377411613417617e-10,6.993458776730238e-10,3.7219553180049466e-11,3.535300644113108e-11,1.8774886418771733e-11,5.062349795335919e-11,4.5582817616499943e-11,1.4528547200141169e-11,2.057520679608123e-11,1.6379566496921559e-10,1.397426020291794e-10,2.106541675951648e-10,3.2683176359483443e-10,1.2261945643896336e-09,3.4491477089673823e-10,9.682414946642549e-11,6.693398774483236e-11,2.5696636243858556e-11,1.622600319009421e-10,1.7509402536769887e-09,1.3435668929834677e-08,1.7654354669338776e-08,2.502666014814146e-10,2.001486089248434e-08,8.41117698469115e-12,221881.040758373,7.198808403034584e-11,5.367402208483895e-11,1.2699461603929854e-11,1.6347545130161556e-11,1.2134831312277772e-10,3.012244196267022e-11,6.048904499183505e-12,1.879669541533031e-11,1.1320026370895154e-11,5.137970347708499e-10,1.264718754388265e-11
8,6.325302974651864e-11,1.4078769122425871e-11,1.4438042446612388e-10,2.6814442051232696e-11,1.515276600952084e-11,3.451938074507903e-10,5.697776514711967e-10,6.232138504445456e-09,6.302882316082453e-09,1.6898884353494485e-10,9.948233296273848e-12,1.94453768270514e-09,1.9764274753557024e-11,3.253793194423841e-11,1.7735735224988395e-11,1.4180312745383209e-11,2.6568960970378694e-11,4.1297392818749034e-11,4.423919568564857e-09,2.202467323150541e-09,14376813.888970718,3.273692525410336e-09,1.894317564508265e-06,2.1937829851849112e-07,1.2285313876007508e-11,8.324980832611445e-11,3.326472666230158e-11,7.450720117894481e-09,2.7143695257339818e-11,4.4973225017318577e-10,4513849.990424487,4.667208866956487e-10,6.403575910827343e-10,7.001867425276996e-10,3.725967622776196e-11,3.541348333757228e-11,1.8794009649130504e-11,5.06756610160693e-11,4.569222297048847e-11,1.4567351516901672e-11,2.0609100987935695e-11,1.6381033341235195e-10,1.3989946497895515e-10,2.1095279194908922e-10,3.2719863464962313e-10,1.231514649465917e-09,3.451527372036005e-10,9.68311974110671e-11,6.695276153307534e-11,2.5711762759453575e-11,1.62442172744965e-10,1.7794780916628821e-09,1.3448118177714736e-08,1.770183088970895e-08,2.503154595460652e-10,2.003372665113948e-08,8.416695828462308e-12,224432.87320742183,7.208335756114748e-11,5.368453741985252e-11,1.2730825387882296e-11,1.638267675219903e-11,1.2141617324526434e-10,3.016514168788662e-11,6.0618512954176605e-12,1.8956715318891563e-11,1.1347436603216849e-11,5.140320046098945e-10,1.2665121602547485e-11
9,6.369579493598425e-11,1.4070354107963963e-11,1.4436663878887765e-10,2.6843037957696413e-11,1.5185779461801912e-11,3.4563292378236974e-10,5.700191775479847e-10,6.2211653498866826e-09,6.27305626197305e-09,1.6920124987501984e-10,9.96992830968089e-12,1.9412860397563512e-09,1.980990715718359e-11,3.250810379716193e-11,1.7772475150191204e-11,1.4212260014047575e-11,2.7386902780018387e-11,4.1321863345350105e-11,4.4206872677817154e-09,2.203434380923768e-09,14529174.824480157,3.2688468234325988e-09,1.8936948504964042e-06,2.194600558858621e-07,1.2305679415065582e-11,8.321219335565407e-11,3.333939577611703e-11,7.465670506073032e-09,2.7198454502659783e-11,4.5059182669650593e-10,4518510.092375611,4.661804922751167e-10,6.410787052989072e-10,7.009927963122751e-10,3.731595095871179e-11,3.549535336759582e-11,1.8806464819910236e-11,5.074881946057127e-11,4.574209203984528e-11,1.461187443687672e-11,2.0654727763965518e-11,1.6383700641780137e-10,1.3997640659766798e-10,2.1107779132892215e-10,3.273785787956262e-10,1.2333559983662585e-09,3.45142320629563e-10,9.676640346772385e-11,6.692172968003792e-11,2.571020821950997e-11,1.6253150837352227e-10,1.7800081145741043e-09,1.343287387730706e-08,1.769013186994417e-08,2.5015974493313356e-10,2.0093948012041173e-08,8.434433017746131e-12,228430.1194590761,7.203917865497344e-11,5.3834761311480616e-11,1.2778832082868462e-11,1.6423946246532082e-11,1.213142973120138e-10,3.0183015608546387e-11,6.084190735706498e-12,1.9071844877591952e-11,1.1357782718451095e-11,5.135641048528368e-10,1.2672630004269342e-11
10,6.413535777600094e-11,1.4057219224633516e-11,1.4418242117765157e-10,2.685834054716947e-11,1.523775807528431e-11,3.454167950472879e-10,5.694966211876491e-10,6.206215359286826e-09,6.24315820611438e-09,1.6917398281756483e-10,1.0004046933480464e-11,1.93614711847484e-09,1.98804844784664e-11,3.2477151399204605e-11,1.7829047584438268e-11,1.4256961896758772e-11,2.820106961774835e-11,4.129844705697741e-11,4.415267270235153e-09,2.2057683686858295e-09,14704994.158841053,3.263956548107866e-09,1.8930251636102852e-06,2.19399994907678e-07,1.2337208197605201e-11,8.311525750456503e-11,3.3454888965376265e-11,7.477480429403156e-09,2.7283149450467088e-11,4.516067894318992e-10,4543173.056366376,4.653804774848029e-10,6.399727743618137e-10,7.014664574282023e-10,3.7412717689163764e-11,3.562226468199948e-11,1.8832013483209287e-11,5.0874620843708915e-11,4.572148462788351e-11,1.464658095348414e-11,2.0725303528507066e-11,1.639892300377868e-10,1.3990834633385966e-10,2.1095818695593328e-10,3.272193867827619e-10,1.2317735048632664e-09,3.4490025549290237e-10,9.664292004703487e-11,6.684857180879567e-11,2.568975627672306e-11,1.6245247463007992e-10,1.761588047652394e-09,1.3400475254380568e-08,1.7633984249730293e-08,2.499080386283204e-10,2.0186021106733268e-08,8.454548789192293e-12,233461.50972997112,7.188950466912623e-11,5.420204099846752e-11,1.2803427218427702e-11,1.642560520571136e-11,1.2108023902680905e-10,3.0165917301152227e-11,6.10271645298331e-12,1.9099014813919987e-11,1.135565553595238e-11,5.125532623530605e-10,1.2665451074862149e-11
11,6.446012755371493e-11,1.4040181576254524e-11,1.4389156779905933e-10,2.6864972101650884e-11,1.529905138165626e-11,3.4472215533640284e-10,5.686101465858128e-10,6.19096143665638e-09,6.217805983090382e-09,1.689770945286054e-10,1.0043605482503935e-11,1.9298064430539573e-09,1.9961420732229788e-11,3.2473845839303786e-11,1.7887989863670688e-11,1.4301036157004008e-11,2.89226459012837e-11,4.1225645334257206e-11,4.409002388799374e-09,2.2091796938687143e-09,14856735.399600621,3.2605028294893794e-09,1.8923488218698874e-06,2.1922229818867087e-07,1.237150502957332e-11,8.296986635156463e-11,3.3587336708595765e-11,7.486277330742509e-09,2.7380273761001875e-11,4.5262983855497035e-10,4581212.48063535,4.644947037760885e-10,6.375743119596601e-10,7.013647569113115e-10,3.752858514233734e-11,3.576788650260297e-11,1.8866949877387673e-11,5.102525103298763e-11,4.565258062285382e-11,1.4637833190730527e-11,2.0806239697197226e-11,1.6424157077887064e-10,1.396795610022915e-10,2.1058632668789643e-10,3.266842961764531e-10,1.2274835237802249e-09,3.444159040259609e-10,9.644527632270687e-11,6.67434540920308e-11,2.564847514761026e-11,1.621868212890946e-10,1.7340927807030811e-09,1.3359365165783556e-08,1.7553530616369897e-08,2.4976715099128857e-10,2.029781739501065e-08,8.473075088475864e-12,238944.1073464196,7.167796789166596e-11,5.488148852498845e-11,1.2795654938253574e-11,1.6368684842794542e-11,1.207706428776923e-10,3.011275009042592e-11,6.108004555753224e-12,1.904652721283046e-11,1.133977874675682e-11,5.112009705910823e-10,1.2643127386396774e-11
12,6.467408711059315e-11,1.400608008185666e-11,1.4355064643844032e-10,2.6865436360146896e-11,1.5365659137776023e-11,3.4382436697881125e-10,5.67355080958763e-10,6.176622814846789e-09,6.198508024105784e-09,1.6867796475628076e-10,1.0079596700187552e-11,1.9228884835405837e-09,2.0035745749514197e-11,3.2461845292750634e-11,1.7937645798816353e-11,1.4345366494297163e-11,2.9496620345632917e-11,4.1127554107843085e-11,4.403171478252453e-09,2.2127895051433007e-09,14948791.305474933,3.2580014871881334e-09,1.8916850335445698e-06,2.1898163809910003e-07,1.240643884654734e-11,8.277388774895605e-11,3.370896385076795e-11,7.48920729098987e-09,2.74694666270976e-11,4.5395886541295535e-10,4623191.6764309965,4.635457906398256e-10,6.345867645111186e-10,7.005071386181241e-10,3.7647107779767354e-11,3.591511834326522e-11,1.8921470889355924e-11,5.117933099254354e-11,4.556067955148414e-11,1.459493171768324e-11,2.0888053838272683e-11,1.6456017156209342e-10,1.3936995449461918e-10,2.1008528482018568e-10,3.259601896789927e-10,1.2219382376845172e-09,3.4367221884574036e-10,9.617918513409774e-11,6.66072203887935e-11,2.5598177821859555e-11,1.6182732675023903e-10,1.7043988682931649e-09,1.3310723230144568e-08,1.7468458184723534e-08,2.4990529746010007e-10,2.041958442524141e-08,8.468424189615514e-12,244243.40972311623,7.144642318339834e-11,5.6025460633974747e-11,1.2757078354537688e-11,1.6293922480084097e-11,1.20414932391407e-10,3.00411053814179e-11,6.097259218795052e-12,1.896677985827928e-11,1.1294038913606636e-11,5.096644373200964e-10,1.2613047539935973e-11
13,6.479310382259911e-11,1.3967576557522204e-11,1.4321665312452447e-10,2.6860480949507326e-11,1.5441019659361477e-11,3.4288955795224e-10,5.658154029174849e-10,6.163220460059353e-09,6.1843195817709645e-09,1.6834296740410016e-10,1.0117921085328184e-11,1.9158216524401454e-09,2.011394940299854e-11,3.2409507486022617e-11,1.799627314509743e-11,1.439516176133877e-11,2.9959468135092264e-11,4.1032508437444515e-11,4.3971258958290005e-09,2.215976127134724e-09,15004470.746216692,3.2557662555788943e-09,1.8910372742686514e-06,2.1871856954110102e-07,1.2451219263343041e-11,8.253840473125273e-11,3.383693621693928e-11,7.492503030532482e-09,2.7563313313181174e-11,4.56015559023794e-10,4671865.564712841,4.624718882973947e-10,6.313930220779294e-10,6.990711340519336e-10,3.7776718153303544e-11,3.607766869043385e-11,1.8989883461137227e-11,5.134782136805628e-11,4.5461742967893374e-11,1.4533538654423031e-11,2.0978368233126034e-11,1.6488278457018576e-10,1.3905381606539939e-10,2.0959979284031605e-10,3.252208116334738e-10,1.215819970926715e-09,3.42751872192766e-10,9.587188712859801e-11,6.647936533003594e-11,2.5544676130134908e-11,1.61460250417698e-10,1.676402440421825e-09,1.3260233435600334e-08,1.7389402762824343e-08,2.501832584489228e-10,2.0540760509855675e-08,8.45062830842335e-12,249125.53553507174,7.120642199383132e-11,5.758661769375486e-11,1.2713086987143013e-11,1.622325657721405e-11,1.2003174959549913e-10,2.997168429440077e-11,6.079298031348216e-12,1.888565386283642e-11,1.1243673503684665e-11,5.080601186652424e-10,1.2583899149099123e-11
14,6.486038137717187e-11,1.3933577086614849e-11,1.4293082992384874e-10,2.685089767442625e-11,1.5516619231111428e-11,3.4210907134569337e-10,5.643278151172023e-10,6.149967478254521e-09,6.173555664264588e-09,1.6800482725648344e-10,1.016204282502417e-11,1.909257751505413e-09,2.0202630761580135e-11,3.2378074504299225e-11,1.8069393681027854e-11,1.445112522511817e-11,3.026235653686914e-11,4.0965129167012025e-11,4.391757477941069e-09,2.218323318626391e-09,15038766.25557259,3.2534688021967998e-09,1.8904184947005173e-06,2.1847657202621065e-07,1.2506242635729706e-11,8.232526991507537e-11,3.398205267960874e-11,7.496653156977595e-09,2.76697296912814e-11,4.5917799060272133e-10,4728006.120440136,4.614064255907997e-10,6.283924682160639e-10,6.973484983349901e-10,3.79092931051245e-11,3.62458293678636e-11,1.9070654346089568e-11,5.1520160383143205e-11,4.537273694725381e-11,1.4460485196281464e-11,2.1071793606334423e-11,1.650614157252605e-10,1.3878788622689383e-10,2.092556100266987e-10,3.245988641421809e-10,1.2098360098029114e-09,3.418144206773987e-10,9.559226259503562e-11,6.634789050190145e-11,2.5495520385661688e-11,1.6115147515540585e-10,1.6522159721280013e-09,1.3216445069563203e-08,1.732549450457471e-08,2.502099325261964e-10,2.064903017137037e-08,8.426110229678477e-12,253037.65715975934,7.100162725697772e-11,5.922641173750467e-11,1.2673505438713354e-11,1.6178378798257596e-11,1.1970914969163946e-10,2.9922469068946314e-11,6.058295577866639e-12,1.8787128721786523e-11,1.1196068369384563e-11,5.066210196028363e-10,1.2563234386772637e-11
15,6.491111586503301e-11,1.3904726038888862e-11,1.4271027532130174e-10,2.683755264557469e-11,1.557825611505932e-11,3.4139480454400345e-10,5.630021443374929e-10,6.137891015305529e-09,6.165654098355827e-09,1.6771761513170968e-10,1.0202968530501315e-11,1.903578614761038e-09,2.0284251056287225e-11,3.237239705672703e-11,1.8139415502083506e-11,1.4513199821029179e-11,3.046811161914516e-11,4.092481479835456e-11,4.387259890434171e-09,2.2195653784206104e-09,15070482.362307033,3.2509880737855747e-09,1.889856637006822e-06,2.182841062642638e-07,1.2561094038896716e-11,8.214788188748586e-11,3.411561172632204e-11,7.499124548173043e-09,2.7767669419912923e-11,4.62821176183023e-10,4783828.589119825,4.6052687070350013e-10,6.257895147394905e-10,6.957895460921317e-10,3.8020457297134385e-11,3.6387749046927846e-11,1.914579820264745e-11,5.166466583143991e-11,4.530135002120708e-11,1.439074245929712e-11,2.115063760642372e-11,1.649969583912121e-10,1.385917521037351e-10,2.0904967721436683e-10,3.2414015251995546e-10,1.2045950597672048e-09,3.4102381531392095e-10,9.537447920633043e-11,6.621271255495294e-11,2.5454702351951615e-11,1.6092374082966873e-10,1.6327625210836497e-09,1.3183698143545978e-08,1.727903033458501e-08,2.498897834424083e-10,2.0735493999585796e-08,8.40394076021582e-12,254642.16367036346,7.083031340872458e-11,6.050546687228019e-11,1.2641906058556884e-11,1.615864591623777e-11,1.1946060742343868e-10,2.9893023699799445e-11,6.039808146899577e-12,1.8681643041476628e-11,1.1162329153974802e-11,5.054788023980543e-10,1.2550868625880756e-11
16,6.488873085613161e-11,1.3887374175521358e-11,1.4257370414803402e-10,2.6814126914973465e-11,1.5631748331389197e-11,3.407810270983126e-10,5.619286650601591e-10,6.128799013082628e-09,6.160552292280687e-09,1.6747838273305613e-10,1.0240831713764525e-11,1.8992053114933283e-09,2.0359552621219175e-11,3.234166084445148e-11,1.8199481587250488e-11,1.4575955981418345e-11,3.0541365610264896e-11,4.090626387759331e-11,4.382847649669227e-09,2.2193579126677026e-09,15100076.494736392,3.2482881725909212e-09,1.8894104850325183e-06,2.1817716286404752e-07,1.2615937748668612e-11,8.200178436285925e-11,3.4238832267596574e-11,7.499895227587554e-09,2.7858027647695606e-11,4.658465700168059e-10,4820937.892948336,4.5984072121613447e-10,6.23793299793749e-10,6.94451019208826e-10,3.81177227925491e-11,3.651272344944722e-11,1.9206494321636544e-11,5.179110621391254e-11,4.5251726217829426e-11,1.4335824239313457e-11,2.1220064408881284e-11,1.647739304568223e-10,1.3847334648644509e-10,2.0895491820301558e-10,3.2386323579706544e-10,1.200645238974951e-09,3.4042588866938333e-10,9.524251038339903e-11,6.608337082695616e-11,2.542457021528943e-11,1.6078626106488185e-10,1.6175552052705482e-09,1.3164076964717658e-08,1.7254508786454696e-08,2.4937677350667825e-10,2.0793454841522246e-08,8.386627311762635e-12,254595.16067875648,7.068876974748645e-11,6.111955603044485e-11,1.262257428420857e-11,1.6157097975320557e-11,1.1927570013226264e-10,2.9879475937187154e-11,6.030852324651411e-12,1.8578657989246852e-11,1.1150802632710238e-11,5.047446091677472e-10,1.2545177448571546e-11
