CH4,C
CH3O2,CO[O]
CH3O,C[O]
CH3NO3,CON(=O)=O
CH3O2NO2,COON(=O)=O
CH3OOH,COO
C2H6,CC
C2H5O2,CCO[O]
C2H5O,CC[O]
C2H5NO3,CCON(=O)=O
C2H5OOH,CCOO
C3H8,CCC
NC3H7O2,CCCO[O]
NC3H7O,CCC[O]
NC3H7NO3,CCCON(=O)=O
NC3H7OOH,CCCOO
IC3H7O2,[O]OC(C)C
IC3H7O,CC(C)[O]
IC3H7NO3,CC(C)ON(=O)=O
IC3H7OOH,OOC(C)C
NC4H10,CCCC
NC4H9O2,CCCCO[O]
NC4H9O,CCCC[O]
NC4H9NO3,CCCCON(=O)=O
HO1C4O2,OCCCCO[O]
HO1C4O,OCCCC[O]
HOC3H6CHO,OCCCC=O
HO1C4NO3,OCCCCON(=O)=O
NC4H9OOH,CCCCOO
HO1C4OOH,OCCCCOO
HOC4H8OH,OCCCCO
HO1C3O2,OCCCO[O]
HOC3H6CO3,OCCCC(=O)O[O]
HO1C3NO3,OCCCON(=O)=O
HO1C3O,OCCC[O]
HOC2H4CHO,OCCC=O
C4PAN1,OCCCC(=O)OON(=O)=O
HOC3H6CO3H,OCCCC(=O)OO
HOC3H6CO2H,OCCCC(=O)O
HO1C3OOH,OCCCOO
HOC3H6OH,OCCCO
HOC2H4CO3,OCCC(=O)O[O]
C3PAN1,OCCC(=O)OON(=O)=O
HOC2H4CO3H,OCCC(=O)OO
HOC2H4CO2H,OCCC(=O)O
SC4H9O2,CC(CC)O[O]
SC4H9NO3,CCC(C)ON(=O)=O
SC4H9O,CCC(C)[O]
SC4H9OOH,CC(CC)OO
IC4H10,CC(C)C
IC4H9O2,[O]OCC(C)C
IC4H9NO3,CC(C)CON(=O)=O
IC4H9O,[O]CC(C)C
IC4H9OOH,OOCC(C)C
TC4H9O2,[O]OC(C)(C)C
TC4H9NO3,O=N(=O)OC(C)(C)C
TC4H9O,CC(C)(C)[O]
TC4H9OOH,OOC(C)(C)C
NC5H12,CCCCC
PEAO2,CCCCCO[O]
PEANO3,CCCCCON(=O)=O
PEAO,CCCCC[O]
HO1C5O2,OCCCC(C)O[O]
HO1C5O,OCCCC(C)[O]
HO2C4CHO,O=CCCC(C)O
PEAOOH,CCCCCOO
PEAOH,CCCCCO
HO1C5OOH,OCCCC(C)OO
HO1C5NO3,OCCCC(C)ON(=O)=O
CO2C5OH,OCCCC(=O)C
HO2C5OH,OCCCC(C)O
HO2C4O2,[O]OCCC(C)O
HO2C4CO3,[O]OC(=O)CCC(C)O
HO2C4NO3,CC(O)CCON(=O)=O
HO2C4O,[O]CCC(C)O
HO2C3CHO,CC(O)CC=O
HO13C4O2,OCCC(O)CO[O]
HO13C4O,OCCC(O)C[O]
HO13C4NO3,OCCC(O)CON(=O)=O
C5PAN1,CC(O)CCC(=O)OON(=O)=O
HO2C4CO2H,CC(O)CCC(=O)O
HO2C4CO3H,OOC(=O)CCC(C)O
HO2C4OOH,OOCCC(C)O
HO2C4OH,OCCC(C)O
HO13C4OOH,OCCC(O)COO
HO13C4OH,OCCC(O)CO
HO13C3CHO,OC(CCO)C=O
HO13C3CO3,OCCC(O)C(=O)O[O]
CO13C4OH,OCC(=O)CC=O
C4PAN2,OCCC(O)C(=O)OON(=O)=O
HO13C3CO3H,OCCC(O)C(=O)OO
CO2C3CHO,O=CCC(=O)C
HO2C3CO3,[O]OC(=O)CC(C)O
C4PAN3,CC(O)CC(=O)OON(=O)=O
HO2C3CO3H,OOC(=O)CC(C)O
HO2C3CO2H,CC(O)CC(=O)O
PEBO2,CC(CCC)O[O]
PEBNO3,CCCC(C)ON(=O)=O
PEBO,CCCC(C)[O]
HO2C5O2,[O]OCCCC(C)O
HO2C5O,[O]CCCC(C)O
HO2C5NO3,CC(O)CCCON(=O)=O
PEBOOH,CC(CCC)OO
PEBOH,CCCC(C)O
HO2C5OOH,OOCCCC(C)O
C51O2,OCC(O[O])CC(=O)C
CO2C4CHO,O=CCCC(=O)C
C51NO3,OCC(CC(=O)C)ON(=O)=O
C51O,CC(=O)CC([O])CO
C51OOH,OCC(OO)CC(=O)C
C51OH,CC(=O)CC(O)CO
HO1CO24C5,CC(=O)CC(=O)CO
CO24C4CHO,O=CC(=O)CC(=O)C
CO2C4CO3,CC(=O)CCC(=O)O[O]
CO2C4CO3H,CC(=O)CCC(=O)OO
CO2C4CO2H,CC(=O)CCC(=O)O
C5PAN2,CC(=O)CCC(=O)OON(=O)=O
PECO2,CCC(CC)O[O]
PECNO3,CCC(CC)ON(=O)=O
PECO,CCC([O])CC
PECOOH,CCC(CC)OO
PECOH,CCC(O)CC
IC5H12,CCC(C)C
IPEAO2,CC(CO[O])CC
IPEAO,CCC(C)C[O]
IPEANO3,CCC(C)CON(=O)=O
BUT2CHO,CC(CC)C=O
C52O2,[O]OCCC(C)CO
C52O,[O]CCC(C)CO
