,load00,load01,load02,load03,load04,load05,load06,load07,load08,load09,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,fluxx00,fluxx01,fluxx02,fluxx03,fluxx04,fluxx05,fluxx06,fluxx07,fluxx08,fluxx09,fluxx10,fluxx11,fluxx12,fluxx13,fluxx14,fluxx15,fluxx16,fluxx17,fluxx18,fluxx19,fluxx20,fluxx21,fluxx22,fluxx23,fluxy00,fluxy01,fluxy02,fluxy03,fluxy04,fluxy05,fluxy06,fluxy07,fluxy08,fluxy09,fluxy10,fluxy11,fluxy12,fluxy13,fluxy14,fluxy15,fluxy16,fluxy17,fluxy18,fluxy19,fluxy20,fluxy21,fluxy22,fluxy23,eigen00,eigen01,eigen02,eigen03,eigen04,eigen05,eigen06,eigen07,eigen08,eigen09,eigen10,eigen11,eigen12,eigen13,eigen14,eigen15,eigen16,eigen17,eigen18,eigen19,eigen20,eigen21,eigen22,eigen23,degree00,degree01,degree02,degree03,degree04,degree05,degree06,degree07,degree08,degree09,degree10,degree11,degree12,degree13,degree14,degree15,degree16,degree17,degree18,degree19,degree20,degree21,degree22,degree23,closeness00,closeness01,closeness02,closeness03,closeness04,closeness05,closeness06,closeness07,closeness08,closeness09,closeness10,closeness11,closeness12,closeness13,closeness14,closeness15,closeness16,closeness17,closeness18,closeness19,closeness20,closeness21,closeness22,closeness23,fluxnet00,fluxnet01,fluxnet02,fluxnet03,fluxnet04,fluxnet05,fluxnet06,fluxnet07,fluxnet08,fluxnet09,fluxnet10,fluxnet11,fluxnet12,fluxnet13,fluxnet14,fluxnet15,fluxnet16,fluxnet17,fluxnet18,fluxnet19,fluxnet20,fluxnet21,fluxnet22,fluxnet23,betweenness00,betweenness01,betweenness02,betweenness03,betweenness04,betweenness05,betweenness06,betweenness07,betweenness08,betweenness09,betweenness10,betweenness11,betweenness12,betweenness13,betweenness14,betweenness15,betweenness16,betweenness17,betweenness18,betweenness19,betweenness20,betweenness21,betweenness22,betweenness23,conc00,conc01
HCHO,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.301561820442928,0.4452398301832946,0.301561820442928,0.4452398301832946,0.301561820442928,0.4452398301832946,0.301561820442928,0.4452398301832946,1.1789872651802071e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.0154329215998327e-08,1.0154329215998327e-08,1.0154329215998327e-08,1.0154329215998327e-08,0.2825426813170479,0.20632665012331636,0.20632665012331636,0.20632665012331636,0.3646093706208996,0.3646093706208996,0.3646093706208996,0.3646093706208996,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,5024.7883319644925,5029.378042101522
CO2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301561820716728,0.32236642303914287,0.301561820716728,0.32236642303914287,0.301561820716728,0.32236642303914287,0.301561820716728,0.32236642303914287,1.0817714012787778e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.075856976219165e-08,1.075856976219165e-08,1.075856976219165e-08,1.075856976219165e-08,0.28254268249280584,0.20632665025525973,0.20632665025525973,0.20632665025525973,0.3646093702870486,0.3646093702870486,0.3646093702870486,0.3646093702870486,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5024.787640543552,5029.377472739057
CO,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,1.00000001,1e-08,1.00000001,1e-08,1.00000001,1e-08,1.00000001,0.24021479778994834,1.0000000055511151e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.0029350244442795e-08,1.0029350244442795e-08,1.0029350244442795e-08,1.0029350244442795e-08,1.00000001,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5024.790261902727,5029.381586653698
CH3O2NO2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3015618213528567,0.44523983018329455,0.3015618213528567,0.44523983018329455,0.3015618213528567,0.44523983018329455,0.3015618213528567,0.44523983018329455,1.4786919369343444e-08,1.0000000111022303e-08,1.0000000111022303e-08,1.0000000111022303e-08,1.0614214623308258e-08,1.0614214623308258e-08,1.0614214623308258e-08,1.0614214623308258e-08,0.282542680258884,0.2063266494803621,0.2063266494803621,0.2063266494803621,0.36460937089050777,0.36460937089050777,0.36460937089050777,0.36460937089050777,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,5024.787464170677,5029.377180825969
CH3NO3,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3015618206357888,0.45403003796331687,0.3015618206357888,0.45403003796331687,0.3015618206357888,0.45403003796331687,0.3015618206357888,0.45403003796331687,1.1499223055996955e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.0000000055511151e-08,1e-08,1e-08,1e-08,1e-08,0.28254268197423593,0.2063266489006642,0.2063266489006642,0.2063266489006642,0.36460937071361493,0.36460937071361493,0.36460937071361493,0.36460937071361493,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,5024.787467969638,5029.377186313264
CH3OH,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015618209250825,0.6308249769733633,0.3015618209250825,0.6308249769733633,0.3015618209250825,0.6308249769733633,0.3015618209250825,0.6308249769733633,1e-08,1.0000000027755576e-08,1.0000000027755576e-08,1.0000000027755576e-08,1.0544989331176635e-08,1.0544989331176635e-08,1.0544989331176635e-08,1.0544989331176635e-08,0.28254267924940507,0.20632665006992468,0.20632665006992468,0.20632665006992468,0.3646093717846186,0.3646093717846186,0.3646093717846186,0.3646093717846186,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5024.787464451666,5029.377181187046
CH4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30156182009063254,0.4592164838605813,0.30156182009063254,0.4592164838605813,0.30156182009063254,0.4592164838605813,0.30156182009063254,0.4592164838605813,1.1543845933243222e-08,1.0000000062450045e-08,1.0000000062450045e-08,1.0000000062450045e-08,1.0484013178043095e-08,1.0484013178043095e-08,1.0484013178043095e-08,1.0484013178043095e-08,0.282542679805583,0.20632664994807953,0.20632664994807953,0.20632664994807953,0.3646093707031096,0.3646093707031096,0.3646093707031096,0.3646093707031096,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5025.78746416809,5030.377180825942
CH3OOH,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30156182089098543,0.4364496224032721,0.30156182089098543,0.4364496224032721,0.30156182089098543,0.4364496224032721,0.30156182089098543,0.4364496224032721,1.2838314704036976e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.0000000055511151e-08,1.0386244286366731e-08,1.0386244286366731e-08,1.0386244286366731e-08,1.0386244286366731e-08,0.28254268011915473,0.20632664977604365,0.20632664977604365,0.20632664977604365,0.3646093711104693,0.3646093711104693,0.3646093711104693,0.3646093711104693,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,5024.787467643061,5029.377185176679
CH3O,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40279910613561276,1e-08,0.40279910613561276,1e-08,0.40279910613561276,1e-08,0.40279910613561276,1e-08,0.5060067258774177,1e-08,1e-08,1e-08,1.0990001191655187e-08,1.0990001191655187e-08,1.0990001191655187e-08,1.0990001191655187e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5024.78746416809,5029.377180825941
CH3O2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00000001,0.7579689586366172,1.00000001,0.7579689586366172,1.00000001,0.7579689586366172,1.00000001,0.7579689586366172,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,0.11664583387173691,0.26541083771216123,0.26541083771216123,0.26541083771216123,0.6318380186375254,0.6318380186375254,0.6318380186375254,0.6318380186375254,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,1.00000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,0.50000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5024.78857219161,5029.377487046408
